Name,Type,Total,Mud,Wood,BurntBrick,Stone,Cement,FloorTiles,Other
District - Faridabad,Total,"432,086","49,145",649,"20,331","57,977","266,420","35,253","2,311"
District - Faridabad,Rural,"81,893","24,808",83,"4,516","4,287","45,927","2,014",258
District - Faridabad,Urban,"350,193","24,337",566,"15,815","53,690","220,493","33,239","2,053"
District - Palwal,Total,"231,502","94,255",299,"12,216","12,448","105,544","6,248",492
District - Palwal,Rural,"175,250","86,083",262,"9,192","5,476","71,441","2,535",261
District - Palwal,Urban,"56,252","8,172",37,"3,024","6,972","34,103","3,713",231
STATE - HIMACHAL PRADESH,Total,"2,575,947","1,063,673","166,582","12,729","87,179","1,141,984","98,246","5,554"
STATE - HIMACHAL PRADESH,Rural,"2,315,162","1,046,195","162,454","11,319","79,229","945,615","66,536","3,814"
STATE - HIMACHAL PRADESH,Urban,"260,785","17,478","4,128","1,410","7,950","196,369","31,710","1,740"
District - Chamba,Total,"175,596","108,622","1,696",256,"3,558","56,692","4,646",126
District - Chamba,Rural,"163,948","107,610","1,453",218,"3,388","48,199","2,974",106
District - Chamba,Urban,"11,648","1,012",243,38,170,"8,493","1,672",20
District - Kangra,Total,"556,859","259,849","1,884","3,582","14,185","244,448","31,126","1,785"
District - Kangra,Rural,"523,807","256,098","1,813","3,477","13,219","220,926","26,684","1,590"
District - Kangra,Urban,"33,052","3,751",71,105,966,"23,522","4,442",195
District - Lahul & Spiti,Total,"14,942","10,279",687,20,62,"3,861",28,5
District - Lahul & Spiti,Rural,"14,942","10,279",687,20,62,"3,861",28,5
District - Lahul & Spiti,Urban,0,0,0,0,0,0,0,0
District - Kullu,Total,"163,819","44,651","38,812",180,"17,808","58,483","3,796",89
District - Kullu,Rural,"146,100","43,440","38,263",128,"17,515","44,983","1,685",86
District - Kullu,Urban,"17,719","1,211",549,52,293,"13,500","2,111",3
District - Mandi,Total,"418,839","205,011","19,331","1,025","9,089","167,990","15,805",588
District - Mandi,Rural,"392,720","202,530","19,249",936,"8,972","149,300","11,394",339
District - Mandi,Urban,"26,119","2,481",82,89,117,"18,690","4,411",249
District - Hamirpur,Total,"187,196","79,423",172,"1,261","4,245","91,812","9,680",603
District - Hamirpur,Rural,"174,580","78,033",133,"1,237","3,793","83,246","7,681",457
District - Hamirpur,Urban,"12,616","1,390",39,24,452,"8,566","1,999",146
District - Una,Total,"177,834","65,510",226,"2,213","5,965","98,401","4,950",569
District - Una,Rural,"160,727","63,168",198,"1,803","4,837","86,533","3,796",392
District - Una,Urban,"17,107","2,342",28,410,"1,128","11,868","1,154",177
District - Bilaspur,Total,"148,117","61,893",234,666,"1,868","78,863","4,366",227
District - Bilaspur,Rural,"138,122","61,031",191,649,"1,771","70,962","3,337",181
District - Bilaspur,Urban,"9,995",862,43,17,97,"7,901","1,029",46
District - Solan,Total,"209,291","70,363",625,"1,587","3,083","122,939","10,056",638
District - Solan,Rural,"169,735","68,641",491,"1,306","1,504","92,839","4,641",313
District - Solan,Urban,"39,556","1,722",134,281,"1,579","30,100","5,415",325
District - Sirmaur,Total,"176,442","67,424","14,074",926,"10,250","79,965","3,311",492
District - Sirmaur,Rural,"157,942","66,842","14,028",774,"8,630","65,787","1,686",195
District - Sirmaur,Urban,"18,500",582,46,152,"1,620","14,178","1,625",297
District - Shimla,Total,"311,224","77,861","80,666",953,"16,816","124,896","9,657",375
District - Shimla,Rural,"236,751","75,736","77,773",711,"15,288","65,345","1,805",93
District - Shimla,Urban,"74,473","2,125","2,893",242,"1,528","59,551","7,852",282
District - Kinnaur,Total,"35,788","12,787","8,175",60,250,"13,634",825,57
District - Kinnaur,Rural,"35,788","12,787","8,175",60,250,"13,634",825,57
District - Kinnaur,Urban,0,0,0,0,0,0,0,0
STATE - JAMMU & KASHMIR,Total,"3,275,945","1,658,168","141,583","19,803","45,442","1,357,770","45,819","7,360"
STATE - JAMMU & KASHMIR,Rural,"2,461,419","1,529,769","121,655","14,643","26,283","752,019","12,182","4,868"
STATE - JAMMU & KASHMIR,Urban,"814,526","128,399","19,928","5,160","19,159","605,751","33,637","2,492"
District - Kupwara,Total,"173,293","95,011","16,491",714,"5,717","54,938",98,324
District - Kupwara,Rural,"151,635","88,586","15,183",525,"5,164","41,789",82,306
District - Kupwara,Urban,"21,658","6,425","1,308",189,553,"13,149",16,18
District - Badgam,Total,"176,191","79,853","19,903",930,"3,220","71,454",116,715
District - Badgam,Rural,"152,757","74,694","18,752",624,"3,045","54,868",84,690
District - Badgam,Urban,"23,434","5,159","1,151",306,175,"16,586",32,25
District - Leh (ladakh),Total,"41,411","31,283",645,300,111,"8,804",95,173
District - Leh (ladakh),Rural,"29,027","25,349",506,253,85,"2,667",25,142
District - Leh (ladakh),Urban,"12,384","5,934",139,47,26,"6,137",70,31
District - Kargil,Total,"40,384","35,623",796,28,78,"3,831",14,14
District - Kargil,Rural,"34,192","31,376",693,23,64,"2,012",11,13
District - Kargil,Urban,"6,192","4,247",103,5,14,"1,819",3,1
District - Punch,Total,"131,690","98,591",78,112,168,"32,101",546,94
District - Punch,Rural,"119,301","96,103",72,91,135,"22,606",227,67
District - Punch,Urban,"12,389","2,488",6,21,33,"9,495",319,27
District - Rajouri,Total,"191,779","132,948",106,497,574,"56,253","1,298",103
District - Rajouri,Rural,"178,646","132,016",101,475,414,"44,846",707,87
District - Rajouri,Urban,"13,133",932,5,22,160,"11,407",591,16
District - Kathua,Total,"196,106","114,340",340,678,"2,769","73,638","4,069",272
District - Kathua,Rural,"168,345","109,843",282,581,"1,699","53,286","2,470",184
District - Kathua,Urban,"27,761","4,497",58,97,"1,070","20,352","1,599",88
District - Baramula,Total,"247,186","122,938","15,057","1,157","4,902","102,153",286,693
District - Baramula,Rural,"201,842","113,357","14,319",890,"4,360","68,114",169,633
District - Baramula,Urban,"45,344","9,581",738,267,542,"34,039",117,60
District - Bandipore,Total,"93,843","53,693","5,792",464,"3,344","30,098",100,352
District - Bandipore,Rural,"77,275","47,953","4,939",412,"3,086","20,540",52,293
District - Bandipore,Urban,"16,568","5,740",853,52,258,"9,558",48,59
District - Srinagar,Total,"238,847","27,125","6,265","1,435","2,627","197,222","3,521",652
District - Srinagar,Rural,"4,377","1,709",256,13,10,"2,382",2,5
District - Srinagar,Urban,"234,470","25,416","6,009","1,422","2,617","194,840","3,519",647
District - Ganderbal,Total,"73,062","32,866","4,286",241,852,"34,412",87,318
District - Ganderbal,Rural,"60,343","29,635","3,597",224,766,"25,767",69,285
District - Ganderbal,Urban,"12,719","3,231",689,17,86,"8,645",18,33
District - Pulwama,Total,"159,509","66,667","19,259",729,"1,379","70,121",155,"1,199"
District - Pulwama,Rural,"140,376","62,918","18,560",609,"1,071","55,985",86,"1,147"
District - Pulwama,Urban,"19,133","3,749",699,120,308,"14,136",69,52
District - Shupiyan,Total,"74,969","36,991","2,968",722,338,"33,737",53,160
District - Shupiyan,Rural,"70,287","36,395","2,733",697,262,"30,010",35,155
District - Shupiyan,Urban,"4,682",596,235,25,76,"3,727",18,5
District - Anantnag,Total,"255,545","114,776","32,464",966,"1,266","105,356",424,293
District - Anantnag,Rural,"194,083","99,313","27,199",626,"1,078","65,544",106,217
District - Anantnag,Urban,"61,462","15,463","5,265",340,188,"39,812",318,76
District - Kulgam,Total,"113,524","60,355","12,835",446,959,"38,737",76,116
District - Kulgam,Rural,"90,097","51,233","10,613",320,845,"26,936",52,98
District - Kulgam,Urban,"23,427","9,122","2,222",126,114,"11,801",24,18
District - Doda,Total,"121,838","86,678",201,113,636,"33,713",443,54
District - Doda,Rural,"111,916","85,712",190,85,99,"25,624",157,49
District - Doda,Urban,"9,922",966,11,28,537,"8,089",286,5
District - Ramban,Total,"77,108","61,141",442,263,529,"14,392",315,26
District - Ramban,Rural,"73,095","60,644",420,244,504,"11,077",182,24
District - Ramban,Urban,"4,013",497,22,19,25,"3,315",133,2
District - Kishtwar,Total,"70,911","52,184","2,657",72,165,"14,964",845,24
District - Kishtwar,Rural,"66,161","51,765","2,651",59,146,"11,224",293,23
District - Kishtwar,Urban,"4,750",419,6,13,19,"3,740",552,1
District - Udhampur,Total,"158,161","111,853",210,402,511,"42,805","2,302",78
District - Udhampur,Rural,"131,239","107,940",181,208,151,"22,239",470,50
District - Udhampur,Urban,"26,922","3,913",29,194,360,"20,566","1,832",28
District - Reasi,Total,"94,032","72,125",74,129,523,"19,676","1,452",53
District - Reasi,Rural,"84,309","70,862",62,108,95,"12,741",395,46
District - Reasi,Urban,"9,723","1,263",12,21,428,"6,935","1,057",7
District - Jammu,Total,"443,790","132,198",593,"7,985","13,391","261,630","26,396","1,597"
District - Jammu,Rural,"236,357","115,636",253,"6,371","2,249","107,019","4,520",309
District - Jammu,Urban,"207,433","16,562",340,"1,614","11,142","154,611","21,876","1,288"
District - Samba,Total,"102,766","38,929",121,"1,420","1,383","57,735","3,128",50
District - Samba,Rural,"85,759","36,730",93,"1,205",955,"44,743","1,988",45
District - Samba,Urban,"17,007","2,199",28,215,428,"12,992","1,140",5
STATE - JHARKHAND,Total,"7,323,748","4,775,788","16,646","188,797","20,431","2,216,556","101,410","4,120"
STATE - JHARKHAND,Rural,"5,476,304","4,384,916","10,485","123,860","9,699","938,204","7,230","1,910"
STATE - JHARKHAND,Urban,"1,847,444","390,872","6,161","64,937","10,732","1,278,352","94,180","2,210"
District - Garhwa,Total,"276,706","241,837",169,"4,669",329,"29,186",464,52
District - Garhwa,Rural,"259,815","234,670",157,"3,496",303,"21,018",123,48
District - Garhwa,Urban,"16,891","7,167",12,"1,173",26,"8,168",341,4
District - Chatra,Total,"203,637","162,268",458,"5,273",279,"35,077",225,57
District - Chatra,Rural,"190,945","158,173",447,"5,032",276,"26,837",125,55
District - Chatra,Urban,"12,692","4,095",11,241,3,"8,240",100,2
District - Kodarma,Total,"142,332","80,014",217,"7,933",527,"51,899","1,689",53
District - Kodarma,Rural,"110,939","71,734",150,"6,140",246,"32,487",154,28
District - Kodarma,Urban,"31,393","8,280",67,"1,793",281,"19,412","1,535",25
District - Giridih,Total,"478,225","318,931",758,"16,081",857,"139,648","1,848",102
District - Giridih,Rural,"434,412","309,432",644,"14,164",446,"109,207",441,78
District - Giridih,Urban,"43,813","9,499",114,"1,917",411,"30,441","1,407",24
District - Deoghar,Total,"306,241","209,971",422,"10,847",645,"80,868","3,398",90
District - Deoghar,Rural,"248,654","197,650",299,"8,081",268,"42,098",211,47
District - Deoghar,Urban,"57,587","12,321",123,"2,766",377,"38,770","3,187",43
District - Godda,Total,"278,821","213,187",678,"9,252",560,"54,481",560,103
District - Godda,Rural,"264,977","209,736",633,"8,780",514,"44,963",251,100
District - Godda,Urban,"13,844","3,451",45,472,46,"9,518",309,3
District - Sahibganj,Total,"252,963","203,661",915,"4,720",733,"42,446",429,59
District - Sahibganj,Rural,"217,623","188,645",829,"3,402",606,"23,937",152,52
District - Sahibganj,Urban,"35,340","15,016",86,"1,318",127,"18,509",277,7
District - Pakur,Total,"211,035","178,848",744,"3,758",263,"26,978",387,57
District - Pakur,Rural,"195,335","172,181",646,"3,411",234,"18,717",94,52
District - Pakur,Urban,"15,700","6,667",98,347,29,"8,261",293,5
District - Dhanbad,Total,"608,530","207,471","2,069","26,616","2,906","360,289","8,778",401
District - Dhanbad,Rural,"244,001","134,937",569,"8,729",591,"98,631",470,74
District - Dhanbad,Urban,"364,529","72,534","1,500","17,887","2,315","261,658","8,308",327
District - Bokaro,Total,"474,522","203,648","1,334","14,079",879,"249,571","4,525",486
District - Bokaro,Rural,"239,085","156,820",368,"7,403",229,"73,877",317,71
District - Bokaro,Urban,"235,437","46,828",966,"6,676",650,"175,694","4,208",415
District - Lohardaga,Total,"105,239","84,270",86,"1,561",106,"18,633",549,34
District - Lohardaga,Rural,"91,899","80,532",67,"1,052",63,"10,100",59,26
District - Lohardaga,Urban,"13,340","3,738",19,509,43,"8,533",490,8
District - Purbi Singhbhum,Total,"555,135","242,970","1,369","9,953","2,703","270,926","26,646",568
District - Purbi Singhbhum,Rural,"250,164","200,676",418,"3,482",468,"44,141",901,78
District - Purbi Singhbhum,Urban,"304,971","42,294",951,"6,471","2,235","226,785","25,745",490
District - Palamu,Total,"389,799","317,938",954,"8,744",843,"59,272","1,803",245
District - Palamu,Rural,"341,800","300,356",789,"6,630",479,"32,999",342,205
District - Palamu,Urban,"47,999","17,582",165,"2,114",364,"26,273","1,461",40
District - Latehar,Total,"150,132","128,400",391,"2,489",117,"18,518",178,39
District - Latehar,Rural,"137,588","123,686",266,"1,999",97,"11,457",48,35
District - Latehar,Urban,"12,544","4,714",125,490,20,"7,061",130,4
District - Hazaribagh,Total,"358,179","208,884",817,"10,430",704,"132,546","4,575",223
District - Hazaribagh,Rural,"295,577","199,395",584,"8,396",430,"86,015",645,112
District - Hazaribagh,Urban,"62,602","9,489",233,"2,034",274,"46,531","3,930",111
District - Ramgarh,Total,"228,668","100,120",521,"5,038",731,"120,042","2,111",105
District - Ramgarh,Rural,"125,001","78,190",154,"2,869",173,"43,361",208,46
District - Ramgarh,Urban,"103,667","21,930",367,"2,169",558,"76,681","1,903",59
District - Dumka,Total,"311,476","256,668",673,"7,705",491,"45,075",739,125
District - Dumka,Rural,"290,571","250,841",648,"7,001",455,"31,290",226,110
District - Dumka,Urban,"20,905","5,827",25,704,36,"13,785",513,15
District - Jamtara,Total,"177,178","132,992",263,"3,192",190,"40,108",359,74
District - Jamtara,Rural,"158,703","128,386",230,"2,905",174,"26,855",88,65
District - Jamtara,Urban,"18,475","4,606",33,287,16,"13,253",271,9
District - Ranchi,Total,"677,483","357,183","1,398","22,734","3,807","254,800","36,895",666
District - Ranchi,Rural,"394,962","307,339",783,"10,820","1,539","72,711","1,523",247
District - Ranchi,Urban,"282,521","49,844",615,"11,914","2,268","182,089","35,372",419
District - Khunti,Total,"127,273","108,855",201,"1,566",516,"15,683",383,69
District - Khunti,Rural,"116,252","104,770",146,"1,163",416,"9,646",75,36
District - Khunti,Urban,"11,021","4,085",55,403,100,"6,037",308,33
District - Gumla,Total,"219,060","190,677",288,"2,606",512,"24,162",716,99
District - Gumla,Rural,"204,352","186,496",265,"1,951",437,"14,916",201,86
District - Gumla,Urban,"14,708","4,181",23,655,75,"9,246",515,13
District - Simdega,Total,"147,593","131,203",296,"1,505",147,"14,184",204,54
District - Simdega,Rural,"137,655","126,723",245,"1,084",129,"9,402",31,41
District - Simdega,Urban,"9,938","4,480",51,421,18,"4,782",173,13
District - Pashchimi Singhbhum,Total,"376,072","309,818",891,"3,796",784,"59,390","1,218",175
District - Pashchimi Singhbhum,Rural,"320,430","293,344",607,"2,863",613,"22,697",176,130
District - Pashchimi Singhbhum,Urban,"55,642","16,474",284,933,171,"36,693","1,042",45
District - Saraikela-kharsawan,Total,"267,449","185,974",734,"4,250",802,"72,774","2,731",184
District - Saraikela-kharsawan,Rural,"205,564","170,204",541,"3,007",513,"30,842",369,88
District - Saraikela-kharsawan,Urban,"61,885","15,770",193,"1,243",289,"41,932","2,362",96
STATE - KARNATAKA,Total,"16,141,834","3,560,828","60,755","69,940","3,409,766","5,944,424","3,025,746","70,375"
STATE - KARNATAKA,Rural,"9,560,389","3,247,784","45,518","44,691","2,367,909","3,305,312","515,312","33,863"
STATE - KARNATAKA,Urban,"6,581,445","313,044","15,237","25,249","1,041,857","2,639,112","2,510,434","36,512"
District - Belgaum,Total,"1,167,654","455,977","4,031","4,616","342,872","174,365","179,160","6,633"
District - Belgaum,Rural,"850,868","420,967","3,133","3,002","261,271","82,799","75,499","4,197"
District - Belgaum,Urban,"316,786","35,010",898,"1,614","81,601","91,566","103,661","2,436"
District - Bagalkot,Total,"427,612","105,848","2,424",570,"227,221","36,300","53,525","1,724"
District - Bagalkot,Rural,"280,680","90,601","1,824",327,"148,950","20,936","16,938","1,104"
District - Bagalkot,Urban,"146,932","15,247",600,243,"78,271","15,364","36,587",620
District - Bijapur,Total,"471,535","116,043","2,406","1,071","270,462","15,793","63,206","2,554"
District - Bijapur,Rural,"352,876","109,753","1,969",599,"203,679","10,618","25,071","1,187"
District - Bijapur,Urban,"118,659","6,290",437,472,"66,783","5,175","38,135","1,367"
District - Bidar,Total,"365,377","166,808","1,494","1,020","161,452","13,723","19,082","1,798"
District - Bidar,Rural,"268,980","152,029",967,703,"96,697","9,334","7,948","1,302"
District - Bidar,Urban,"96,397","14,779",527,317,"64,755","4,389","11,134",496
District - Raichur,Total,"419,209","122,717","3,353","2,068","212,747","42,083","33,889","2,352"
District - Raichur,Rural,"303,946","111,306","2,611","1,332","148,438","27,335","11,326","1,598"
District - Raichur,Urban,"115,263","11,411",742,736,"64,309","14,748","22,563",754
District - Koppal,Total,"303,547","79,553","2,871",739,"145,766","48,785","24,086","1,747"
District - Koppal,Rural,"245,494","74,654","2,370",550,"118,570","36,321","11,448","1,581"
District - Koppal,Urban,"58,053","4,899",501,189,"27,196","12,464","12,638",166
District - Gadag,Total,"255,372","71,069","2,867",889,"136,553","20,969","21,948","1,077"
District - Gadag,Rural,"158,554","60,146","2,056",639,"77,073","13,257","4,589",794
District - Gadag,Urban,"96,818","10,923",811,250,"59,480","7,712","17,359",283
District - Dharwad,Total,"436,432","119,874","1,365","2,036","159,834","51,801","100,206","1,316"
District - Dharwad,Rural,"181,039","100,327",584,493,"57,424","16,467","5,274",470
District - Dharwad,Urban,"255,393","19,547",781,"1,543","102,410","35,334","94,932",846
District - Uttara Kannada,Total,"426,093","142,912",792,"1,231","22,324","219,021","39,474",339
District - Uttara Kannada,Rural,"304,882","130,010",547,790,"12,746","145,808","14,807",174
District - Uttara Kannada,Urban,"121,211","12,902",245,441,"9,578","73,213","24,667",165
District - Haveri,Total,"379,898","176,261","2,185","1,442","121,127","52,913","25,543",427
District - Haveri,Rural,"291,054","163,475","1,774","1,009","84,134","32,355","7,980",327
District - Haveri,Urban,"88,844","12,786",411,433,"36,993","20,558","17,563",100
District - Bellary,Total,"556,895","88,897","3,270","2,084","316,706","61,965","80,319","3,654"
District - Bellary,Rural,"330,127","75,609","2,290",858,"201,483","32,537","15,808","1,542"
District - Bellary,Urban,"226,768","13,288",980,"1,226","115,223","29,428","64,511","2,112"
District - Chitradurga,Total,"411,130","131,847","2,671","1,632","136,678","101,599","35,391","1,312"
District - Chitradurga,Rural,"322,640","125,120","2,413","1,201","119,873","60,543","12,692",798
District - Chitradurga,Urban,"88,490","6,727",258,431,"16,805","41,056","22,699",514
District - Davanagere,Total,"485,693","144,748","3,922","1,835","147,604","121,874","64,873",837
District - Davanagere,Rural,"324,446","132,364","3,321","1,194","107,667","62,988","16,330",582
District - Davanagere,Urban,"161,247","12,384",601,641,"39,937","58,886","48,543",255
District - Shimoga,Total,"509,719","177,302",876,"2,972","14,973","257,877","54,953",766
District - Shimoga,Rural,"328,501","163,415",679,"2,098","11,149","140,592","10,201",367
District - Shimoga,Urban,"181,218","13,887",197,874,"3,824","117,285","44,752",399
District - Udupi,Total,"349,921","34,268",389,"1,173","9,136","246,552","57,889",514
District - Udupi,Rural,"249,277","31,208",246,916,"6,372","183,494","26,848",193
District - Udupi,Urban,"100,644","3,060",143,257,"2,764","63,058","31,041",321
District - Chikmagalur,Total,"346,870","98,608","1,004","1,743","48,760","165,610","30,529",616
District - Chikmagalur,Rural,"274,707","93,006",850,"1,536","42,252","122,945","13,623",495
District - Chikmagalur,Urban,"72,163","5,602",154,207,"6,508","42,665","16,906",121
District - Tumkur,Total,"798,831","151,238","5,394","3,490","199,179","354,240","80,973","4,317"
District - Tumkur,Rural,"617,544","142,945","4,490","2,893","176,712","262,087","25,420","2,997"
District - Tumkur,Urban,"181,287","8,293",904,597,"22,467","92,153","55,553","1,320"
District - Bangalore,Total,"2,883,595","56,917","3,406","9,715","45,285","1,255,320","1,494,956","17,996"
District - Bangalore,Rural,"247,150","18,352",538,"1,367","8,631","156,607","60,668",987
District - Bangalore,Urban,"2,636,445","38,565","2,868","8,348","36,654","1,098,713","1,434,288","17,009"
District - Mandya,Total,"514,556","136,241","2,863","3,460","5,357","332,297","32,262","2,076"
District - Mandya,Rural,"421,029","129,943","2,465","3,108","4,567","267,311","11,793","1,842"
District - Mandya,Urban,"93,527","6,298",398,352,790,"64,986","20,469",234
District - Hassan,Total,"562,012","145,241","1,146","4,168","46,524","314,429","49,271","1,233"
District - Hassan,Rural,"445,126","140,360",893,"3,519","42,949","243,015","13,591",799
District - Hassan,Urban,"116,886","4,881",253,649,"3,575","71,414","35,680",434
District - Dakshina Kannada,Total,"585,155","99,347",698,"2,439","15,454","360,779","104,451","1,987"
District - Dakshina Kannada,Rural,"310,958","87,000",412,"1,526","5,269","196,730","19,630",391
District - Dakshina Kannada,Urban,"274,197","12,347",286,913,"10,185","164,049","84,821","1,596"
District - Kodagu,Total,"184,199","47,699",237,"1,380","1,121","115,639","17,847",276
District - Kodagu,Rural,"156,163","46,333",187,"1,244",954,"96,555","10,682",208
District - Kodagu,Urban,"28,036","1,366",50,136,167,"19,084","7,165",68
District - Mysore,Total,"840,563","190,063","1,787","6,237","6,556","490,526","141,877","3,517"
District - Mysore,Rural,"494,485","177,834","1,397","4,689","3,742","292,052","12,766","2,005"
District - Mysore,Urban,"346,078","12,229",390,"1,548","2,814","198,474","129,111","1,512"
District - Chamrajnagar,Total,"284,817","66,308","1,197","3,275","2,710","196,325","11,176","3,826"
District - Chamrajnagar,Rural,"233,418","62,962",995,"2,898","2,232","157,186","3,533","3,612"
District - Chamrajnagar,Urban,"51,399","3,346",202,377,478,"39,139","7,643",214
District - Gulbarga,Total,"549,124","84,910","1,857","1,111","407,393","16,150","34,667","3,036"
District - Gulbarga,Rural,"363,772","78,726","1,361",359,"266,219","7,055","8,755","1,297"
District - Gulbarga,Urban,"185,352","6,184",496,752,"141,174","9,095","25,912","1,739"
District - Yadgir,Total,"235,966","63,476","1,356",414,"138,555","20,961","10,376",828
District - Yadgir,Rural,"187,010","58,682","1,186",356,"103,479","18,662","3,952",693
District - Yadgir,Urban,"48,956","4,794",170,58,"35,076","2,299","6,424",135
District - Kolar,Total,"420,781","92,958",887,"2,648","12,739","259,393","51,293",863
District - Kolar,Rural,"287,394","87,899",726,"1,886","9,060","169,632","17,888",303
District - Kolar,Urban,"133,387","5,059",161,762,"3,679","89,761","33,405",560
District - Chikkaballapura,Total,"366,228","79,359","1,620","1,231","36,321","210,268","36,377","1,052"
District - Chikkaballapura,Rural,"283,271","75,820","1,421",966,"31,402","156,946","15,908",808
District - Chikkaballapura,Urban,"82,957","3,539",199,265,"4,919","53,322","20,469",244
District - Bangalore Rural,Total,"285,843","41,219","1,221","1,254","14,890","174,590","51,842",827
District - Bangalore Rural,Rural,"203,395","38,501",928,979,"12,624","124,685","25,071",607
District - Bangalore Rural,Urban,"82,448","2,718",293,275,"2,266","49,905","26,771",220
District - Ramanagara,Total,"317,207","73,120","1,166","1,997","3,467","212,277","24,305",875
District - Ramanagara,Rural,"241,603","68,437",885,"1,654","2,291","158,460","9,273",603
District - Ramanagara,Urban,"75,604","4,683",281,343,"1,176","53,817","15,032",272
STATE - KERALA,Total,"9,935,155","930,269","15,585","36,300","340,139","6,435,879","2,017,436","159,547"
STATE - KERALA,Rural,"5,228,235","675,248","9,855","18,761","135,437","3,557,545","770,363","61,026"
STATE - KERALA,Urban,"4,706,920","255,021","5,730","17,539","204,702","2,878,334","1,247,073","98,521"
District - Kasaragod,Total,"366,992","56,217",274,911,"12,401","236,765","56,389","4,035"
District - Kasaragod,Rural,"224,302","48,318",175,741,"5,907","143,776","23,839","1,546"
District - Kasaragod,Urban,"142,690","7,899",99,170,"6,494","92,989","32,550","2,489"
District - Kannur,Total,"753,451","88,412",505,"1,628","33,825","475,594","141,076","12,411"
District - Kannur,Rural,"269,591","46,333",218,585,"7,005","181,773","31,078","2,599"
District - Kannur,Urban,"483,860","42,079",287,"1,043","26,820","293,821","109,998","9,812"
District - Wayanad,Total,"244,548","57,003",984,529,"4,167","160,101","20,170","1,594"
District - Wayanad,Rural,"234,951","56,040",931,514,"3,976","153,971","18,017","1,502"
District - Wayanad,Urban,"9,597",963,53,15,191,"6,130","2,153",92
District - Kozhikode,Total,"876,575","77,742",745,"2,536","47,894","533,258","198,061","16,339"
District - Kozhikode,Rural,"287,763","39,651",199,542,"11,879","185,383","45,952","4,157"
District - Kozhikode,Urban,"588,812","38,091",546,"1,994","36,015","347,875","152,109","12,182"
District - Malappuram,Total,"997,373","78,548","1,131","2,726","55,777","638,146","193,170","27,875"
District - Malappuram,Rural,"552,280","57,517",706,"1,499","26,559","361,806","92,691","11,502"
District - Malappuram,Urban,"445,093","21,031",425,"1,227","29,218","276,340","100,479","16,373"
District - Palakkad,Total,"796,474","106,508","1,258","5,135","19,528","534,363","119,979","9,703"
District - Palakkad,Rural,"597,974","92,751",999,"4,169","14,802","409,725","68,703","6,825"
District - Palakkad,Urban,"198,500","13,757",259,966,"4,726","124,638","51,276","2,878"
District - Thrissur,Total,"942,069","47,171",934,"7,626","34,408","588,697","244,718","18,515"
District - Thrissur,Rural,"304,805","22,887",353,"1,994","9,305","204,038","61,048","5,180"
District - Thrissur,Urban,"637,264","24,284",581,"5,632","25,103","384,659","183,670","13,335"
District - Ernakulam,Total,"1,027,261","48,219",971,"2,350","41,901","623,627","289,313","20,880"
District - Ernakulam,Rural,"332,055","30,298",288,737,"8,864","224,253","63,059","4,556"
District - Ernakulam,Urban,"695,206","17,921",683,"1,613","33,037","399,374","226,254","16,324"
District - Idukki,Total,"358,947","56,710",877,895,"3,322","266,057","28,979","2,107"
District - Idukki,Rural,"341,001","56,325",853,864,"3,085","254,442","23,529","1,903"
District - Idukki,Urban,"17,946",385,24,31,237,"11,615","5,450",204
District - Kottayam,Total,"611,896","30,253",912,"1,407","9,462","426,434","138,486","4,942"
District - Kottayam,Rural,"437,432","25,580",722,"1,036","6,349","317,850","82,689","3,206"
District - Kottayam,Urban,"174,464","4,673",190,371,"3,113","108,584","55,797","1,736"
District - Alappuzha,Total,"659,461","40,535","1,189","2,305","15,325","484,583","109,131","6,393"
District - Alappuzha,Rural,"302,454","23,429",587,"1,261","7,128","221,970","45,782","2,297"
District - Alappuzha,Urban,"357,007","17,106",602,"1,044","8,197","262,613","63,349","4,096"
District - Pathanamthitta,Total,"416,187","25,604","1,226","1,041","8,855","280,959","95,013","3,489"
District - Pathanamthitta,Rural,"367,686","23,822","1,135",943,"7,960","252,578","78,324","2,924"
District - Pathanamthitta,Urban,"48,501","1,782",91,98,895,"28,381","16,689",565
District - Kollam,Total,"839,219","75,068","2,441","2,545","20,174","578,729","150,711","9,551"
District - Kollam,Rural,"473,683","58,686","1,523","1,598","9,750","329,414","68,342","4,370"
District - Kollam,Urban,"365,536","16,382",918,947,"10,424","249,315","82,369","5,181"
District - Thiruvananthapuram,Total,"1,044,702","142,279","2,138","4,666","33,100","608,566","232,240","21,713"
District - Thiruvananthapuram,Rural,"502,258","93,611","1,166","2,278","12,868","316,566","67,310","8,459"
District - Thiruvananthapuram,Urban,"542,444","48,668",972,"2,388","20,232","292,000","164,930","13,254"
STATE - LAKSHADWEEP,Total,"17,617","2,352",6,10,112,"11,955","3,118",64
STATE - LAKSHADWEEP,Rural,"4,489",818,1,1,6,"3,051",596,16
STATE - LAKSHADWEEP,Urban,"13,128","1,534",5,9,106,"8,904","2,522",48
District - Lakshadweep,Total,"17,617","2,352",6,10,112,"11,955","3,118",64
District - Lakshadweep,Rural,"4,489",818,1,1,6,"3,051",596,16
District - Lakshadweep,Urban,"13,128","1,534",5,9,106,"8,904","2,522",48
STATE - MADHYA PRADESH,Total,"17,427,469","11,646,039","34,006","171,318","856,312","3,465,206","1,229,354","25,234"
STATE - MADHYA PRADESH,Rural,"12,865,680","10,617,415","23,619","122,433","326,511","1,536,869","228,887","9,946"
