Name,Type,Total,Mud,Wood,BurntBrick,Stone,Cement,FloorTiles,Other
District - Darbhanga,Rural,"883,411","772,366","6,097","14,685","1,541","86,702","1,139",881
District - Darbhanga,Urban,"89,692","38,570",588,"4,867",345,"42,871","2,346",105
District - Muzaffarpur,Total,"1,093,030","899,412","11,711","28,921","4,017","139,309","8,078","1,582"
District - Muzaffarpur,Rural,"980,208","864,066","9,933","20,857","2,836","78,748","2,456","1,312"
District - Muzaffarpur,Urban,"112,822","35,346","1,778","8,064","1,181","60,561","5,622",270
District - Gopalganj,Total,"540,096","396,611","6,045","32,186","2,045","100,836","1,592",781
District - Gopalganj,Rural,"505,117","382,613","5,804","28,767","1,918","84,247","1,019",749
District - Gopalganj,Urban,"34,979","13,998",241,"3,419",127,"16,589",573,32
District - Siwan,Total,"655,130","469,439","5,527","43,919","2,239","131,730","1,641",635
District - Siwan,Rural,"616,163","460,406","5,311","39,857","2,060","106,829","1,112",588
District - Siwan,Urban,"38,967","9,033",216,"4,062",179,"24,901",529,47
District - Saran (chhapra),Total,"752,320","550,940","8,994","51,815","3,165","134,003","2,651",752
District - Saran (chhapra),Rural,"681,435","523,627","8,333","44,013","2,640","100,875","1,308",639
District - Saran (chhapra),Urban,"70,885","27,313",661,"7,802",525,"33,128","1,343",113
District - Vaishali,Total,"732,733","616,780","7,132","18,423","1,942","84,585","3,136",735
District - Vaishali,Rural,"685,002","594,390","6,730","15,296","1,732","64,515","1,653",686
District - Vaishali,Urban,"47,731","22,390",402,"3,127",210,"20,070","1,483",49
District - Samastipur,Total,"1,028,897","889,143","10,007","13,154","1,830","111,764","2,272",727
District - Samastipur,Rural,"989,221","876,080","9,479","12,163","1,679","87,724","1,393",703
District - Samastipur,Urban,"39,676","13,063",528,991,151,"24,040",879,24
District - Begusarai,Total,"709,079","562,605","6,939","19,968","1,922","113,132","3,872",641
District - Begusarai,Rural,"579,021","493,605","5,716","14,476","1,376","61,819","1,518",511
District - Begusarai,Urban,"130,058","69,000","1,223","5,492",546,"51,313","2,354",130
District - Khagaria,Total,"385,409","321,522","3,884","12,122","1,463","45,120",884,414
District - Khagaria,Rural,"365,772","313,114","3,752","10,911","1,275","35,734",583,403
District - Khagaria,Urban,"19,637","8,408",132,"1,211",188,"9,386",301,11
District - Bhagalpur,Total,"634,459","433,844","5,561","31,296","2,681","154,807","5,625",645
District - Bhagalpur,Rural,"510,582","391,267","4,632","22,040","2,012","88,968","1,209",454
District - Bhagalpur,Urban,"123,877","42,577",929,"9,256",669,"65,839","4,416",191
District - Banka,Total,"430,293","334,583","1,968","15,309","1,117","76,366",657,293
District - Banka,Rural,"413,158","327,261","1,732","14,453","1,091","67,825",510,286
District - Banka,Urban,"17,135","7,322",236,856,26,"8,541",147,7
District - Munger,Total,"297,253","183,874","1,571","13,112","1,570","94,751","2,094",281
District - Munger,Rural,"216,015","158,874","1,257","8,205","1,157","45,796",545,181
District - Munger,Urban,"81,238","25,000",314,"4,907",413,"48,955","1,549",100
District - Lakhisarai,Total,"198,867","138,753","1,027","6,881",488,"50,833",653,232
District - Lakhisarai,Rural,"169,195","126,625",733,"5,179",347,"35,793",351,167
District - Lakhisarai,Urban,"29,672","12,128",294,"1,702",141,"15,040",302,65
District - Sheikhpura,Total,"126,142","84,544",785,"8,768",588,"30,958",267,232
District - Sheikhpura,Rural,"103,745","75,613",631,"7,348",537,"19,276",139,201
District - Sheikhpura,Urban,"22,397","8,931",154,"1,420",51,"11,682",128,31
District - Nalanda,Total,"584,294","394,227","3,554","47,947","1,790","133,143","2,489","1,144"
District - Nalanda,Rural,"488,739","367,712","2,884","37,413","1,225","77,691",872,942
District - Nalanda,Urban,"95,555","26,515",670,"10,534",565,"55,452","1,617",202
District - Patna,Total,"1,141,382","563,717","6,414","69,616","9,138","418,953","71,748","1,796"
District - Patna,Rural,"633,232","472,857","3,889","39,171","2,820","112,094","1,520",881
District - Patna,Urban,"508,150","90,860","2,525","30,445","6,318","306,859","70,228",915
District - Bhojpur,Total,"492,222","358,300","3,129","22,084","4,292","101,524","2,282",611
District - Bhojpur,Rural,"420,272","335,314","2,764","18,460","3,295","59,150",734,555
District - Bhojpur,Urban,"71,950","22,986",365,"3,624",997,"42,374","1,548",56
District - Buxar,Total,"322,563","240,529","2,461","20,810","3,047","53,695","1,373",648
District - Buxar,Rural,"290,073","231,002","2,145","18,033","2,448","35,205",669,571
District - Buxar,Urban,"32,490","9,527",316,"2,777",599,"18,490",704,77
District - Kaimur (bhabua),Total,"331,029","251,763","1,630","22,560","2,440","51,441",746,449
District - Kaimur (bhabua),Rural,"317,195","248,916","1,585","21,738","2,285","41,685",546,440
District - Kaimur (bhabua),Urban,"13,834","2,847",45,822,155,"9,756",200,9
District - Rohtas,Total,"584,217","380,351","3,066","42,922","6,863","147,682","2,678",655
District - Rohtas,Rural,"496,337","355,309","2,700","37,272","5,345","94,169","1,022",520
District - Rohtas,Urban,"87,880","25,042",366,"5,650","1,518","53,513","1,656",135
