Name,Type,Total,Bank,Radio,Television,ComputerInternet,ComputerNoInternet,Landline,Mobile,Both,Bicycle,Scooter,Car
District - Chittaurgarh,Urban," 58,086 "," 40,164 "," 10,326 "," 43,259 "," 3,907 "," 5,477 "," 2,253 "," 37,227 "," 9,485 "," 27,601 "," 27,927 "," 6,070 "
District - Kota,Total," 379,825 "," 252,633 "," 56,930 "," 236,764 "," 12,843 "," 23,454 "," 11,234 "," 245,637 "," 27,038 "," 150,716 "," 147,206 "," 24,848 "
District - Kota,Rural," 149,275 "," 104,853 "," 17,106 "," 64,371 ", 749 ," 4,497 "," 2,901 "," 92,744 "," 3,698 "," 45,529 "," 41,519 "," 3,681 "
District - Kota,Urban," 230,550 "," 147,780 "," 39,824 "," 172,393 "," 12,094 "," 18,957 "," 8,333 "," 152,893 "," 23,340 "," 105,187 "," 105,687 "," 21,167 "
District - Baran,Total," 240,321 "," 170,217 "," 22,480 "," 88,344 "," 1,363 "," 8,128 "," 4,185 "," 140,980 "," 5,247 "," 61,129 "," 59,954 "," 5,741 "
District - Baran,Rural," 191,575 "," 142,032 "," 18,869 "," 57,565 ", 492 ," 5,498 "," 3,022 "," 107,064 "," 2,765 "," 46,934 "," 43,234 "," 3,394 "
District - Baran,Urban," 48,746 "," 28,185 "," 3,611 "," 30,779 ", 871 ," 2,630 "," 1,163 "," 33,916 "," 2,482 "," 14,195 "," 16,720 "," 2,347 "
District - Jhalawar,Total," 282,208 "," 176,591 "," 29,902 "," 96,225 "," 1,750 "," 7,653 "," 5,026 "," 152,800 "," 9,194 "," 81,160 "," 56,052 "," 5,385 "
District - Jhalawar,Rural," 237,475 "," 149,814 "," 24,451 "," 65,613 ", 712 ," 5,030 "," 3,657 "," 124,366 "," 4,759 "," 67,647 "," 40,919 "," 2,966 "
District - Jhalawar,Urban," 44,733 "," 26,777 "," 5,451 "," 30,612 "," 1,038 "," 2,623 "," 1,369 "," 28,434 "," 4,435 "," 13,513 "," 15,133 "," 2,419 "
District - Udaipur,Total," 617,921 "," 378,407 "," 86,643 "," 180,282 "," 14,211 "," 34,306 "," 13,523 "," 284,548 "," 32,475 "," 145,780 "," 157,259 "," 27,979 "
District - Udaipur,Rural," 496,777 "," 282,292 "," 48,657 "," 79,795 "," 1,855 "," 18,862 "," 6,011 "," 209,428 "," 8,968 "," 102,749 "," 77,028 "," 7,890 "
District - Udaipur,Urban," 121,144 "," 96,115 "," 37,986 "," 100,487 "," 12,356 "," 15,444 "," 7,512 "," 75,120 "," 23,507 "," 43,031 "," 80,231 "," 20,089 "
District - Pratapgarh,Total," 178,046 "," 103,738 "," 20,596 "," 37,216 ", 716 ," 5,245 "," 2,318 "," 72,023 "," 4,004 "," 62,048 "," 31,782 "," 2,803 "
District - Pratapgarh,Rural," 163,574 "," 93,899 "," 18,515 "," 26,470 ", 339 ," 4,317 "," 1,919 "," 61,943 "," 2,463 "," 56,056 "," 25,321 "," 1,861 "
District - Pratapgarh,Urban," 14,472 "," 9,839 "," 2,081 "," 10,746 ", 377 , 928 , 399 ," 10,080 "," 1,541 "," 5,992 "," 6,461 ", 942 
District - Saharanpur,Total," 588,976 "," 373,207 "," 116,358 "," 294,410 "," 9,699 "," 29,117 "," 16,788 "," 386,772 "," 15,910 "," 365,960 "," 151,620 "," 21,310 "
District - Saharanpur,Rural," 404,600 "," 268,494 "," 91,145 "," 172,096 "," 2,755 "," 14,548 "," 9,323 "," 258,901 "," 6,167 "," 267,356 "," 89,961 "," 9,642 "
District - Saharanpur,Urban," 184,376 "," 104,713 "," 25,213 "," 122,314 "," 6,944 "," 14,569 "," 7,465 "," 127,871 "," 9,743 "," 98,604 "," 61,659 "," 11,668 "
District - Muzaffarnagar,Total," 681,387 "," 445,657 "," 152,598 "," 331,760 "," 10,077 "," 46,072 "," 26,827 "," 467,994 "," 17,771 "," 377,807 "," 145,278 "," 32,866 "
District - Muzaffarnagar,Rural," 481,057 "," 322,786 "," 120,385 "," 213,526 "," 3,677 "," 27,221 "," 17,426 "," 328,810 "," 7,675 "," 279,399 "," 90,606 "," 19,357 "
District - Muzaffarnagar,Urban," 200,330 "," 122,871 "," 32,213 "," 118,234 "," 6,400 "," 18,851 "," 9,401 "," 139,184 "," 10,096 "," 98,408 "," 54,672 "," 13,509 "
District - Bijnor,Total," 628,808 "," 463,562 "," 119,245 "," 260,312 "," 7,303 "," 30,038 "," 18,248 "," 414,342 "," 12,524 "," 378,636 "," 131,278 "," 17,143 "
District - Bijnor,Rural," 476,873 "," 371,030 "," 94,594 "," 183,175 "," 3,802 "," 20,086 "," 12,768 "," 308,343 "," 7,693 "," 306,558 "," 98,073 "," 11,116 "
District - Bijnor,Urban," 151,935 "," 92,532 "," 24,651 "," 77,137 "," 3,501 "," 9,952 "," 5,480 "," 105,999 "," 4,831 "," 72,078 "," 33,205 "," 6,027 "
District - Moradabad,Total," 784,739 "," 517,617 "," 133,640 "," 283,005 "," 11,690 "," 50,156 "," 23,837 "," 465,306 "," 15,527 "," 399,563 "," 148,802 "," 19,316 "
District - Moradabad,Rural," 520,831 "," 362,858 "," 103,087 "," 124,326 "," 2,378 "," 28,235 "," 13,000 "," 298,925 "," 5,584 "," 286,028 "," 78,650 "," 7,458 "
District - Moradabad,Urban," 263,908 "," 154,759 "," 30,553 "," 158,679 "," 9,312 "," 21,921 "," 10,837 "," 166,381 "," 9,943 "," 113,535 "," 70,152 "," 11,858 "
District - Rampur,Total," 393,441 "," 258,794 "," 94,941 "," 134,249 "," 3,847 "," 22,113 "," 15,035 "," 232,709 "," 6,043 "," 247,366 "," 73,261 "," 14,386 "
District - Rampur,Rural," 291,440 "," 207,102 "," 73,469 "," 74,429 "," 1,782 "," 16,314 "," 11,042 "," 170,244 "," 3,760 "," 189,132 "," 49,471 "," 9,950 "
District - Rampur,Urban," 102,001 "," 51,692 "," 21,472 "," 59,820 "," 2,065 "," 5,799 "," 3,993 "," 62,465 "," 2,283 "," 58,234 "," 23,790 "," 4,436 "
District - Jyotiba Phule Nagar,Total," 312,836 "," 228,990 "," 60,499 "," 101,804 "," 2,825 "," 15,478 "," 7,487 "," 194,951 "," 4,225 "," 167,023 "," 63,056 "," 7,361 "
District - Jyotiba Phule Nagar,Rural," 234,453 "," 187,264 "," 50,996 "," 63,709 "," 1,261 "," 10,067 "," 5,010 "," 145,237 "," 2,441 "," 135,509 "," 48,420 "," 4,659 "
District - Jyotiba Phule Nagar,Urban," 78,383 "," 41,726 "," 9,503 "," 38,095 "," 1,564 "," 5,411 "," 2,477 "," 49,714 "," 1,784 "," 31,514 "," 14,636 "," 2,702 "
District - Meerut,Total," 568,745 "," 388,224 "," 131,511 "," 354,359 "," 23,717 "," 45,756 "," 28,088 "," 382,571 "," 30,303 "," 331,961 "," 186,553 "," 42,392 "
District - Meerut,Rural," 268,299 "," 191,721 "," 67,275 "," 131,022 "," 2,701 "," 14,842 "," 9,376 "," 179,252 "," 5,809 "," 161,862 "," 64,207 "," 9,748 "
District - Meerut,Urban," 300,446 "," 196,503 "," 64,236 "," 223,337 "," 21,016 "," 30,914 "," 18,712 "," 203,319 "," 24,494 "," 170,099 "," 122,346 "," 32,644 "
District - Baghpat,Total," 207,090 "," 148,047 "," 75,783 "," 111,663 "," 2,989 "," 17,010 "," 11,161 "," 139,547 "," 5,073 "," 114,603 "," 42,998 "," 13,301 "
District - Baghpat,Rural," 162,811 "," 118,889 "," 62,661 "," 83,794 "," 1,515 "," 10,687 "," 7,648 "," 109,050 "," 3,356 "," 94,114 "," 32,994 "," 8,088 "
District - Baghpat,Urban," 44,279 "," 29,158 "," 13,122 "," 27,869 "," 1,474 "," 6,323 "," 3,513 "," 30,497 "," 1,717 "," 20,489 "," 10,004 "," 5,213 "
District - Ghaziabad,Total," 829,843 "," 570,969 "," 218,210 "," 592,753 "," 78,116 "," 101,436 "," 62,944 "," 577,047 "," 60,494 "," 409,265 "," 292,502 "," 119,441 "
District - Ghaziabad,Rural," 242,727 "," 165,097 "," 65,885 "," 129,853 "," 3,198 "," 17,905 "," 12,250 "," 165,389 "," 5,865 "," 144,855 "," 65,822 "," 15,305 "
District - Ghaziabad,Urban," 587,116 "," 405,872 "," 152,325 "," 462,900 "," 74,918 "," 83,531 "," 50,694 "," 411,658 "," 54,629 "," 264,410 "," 226,680 "," 104,136 "
District - Gautam Buddha Nagar,Total," 316,278 "," 237,030 "," 121,832 "," 232,925 "," 53,181 "," 34,007 "," 24,713 "," 219,976 "," 34,293 "," 128,362 "," 124,939 "," 78,631 "
District - Gautam Buddha Nagar,Rural," 109,179 "," 80,874 "," 32,419 "," 67,006 "," 4,661 "," 8,441 "," 5,509 "," 81,723 "," 4,477 "," 54,649 "," 42,770 "," 15,852 "
District - Gautam Buddha Nagar,Urban," 207,099 "," 156,156 "," 89,413 "," 165,919 "," 48,520 "," 25,566 "," 19,204 "," 138,253 "," 29,816 "," 73,713 "," 82,169 "," 62,779 "
District - Bulandshahr,Total," 582,676 "," 369,615 "," 141,619 "," 254,050 "," 7,865 "," 30,360 "," 17,102 "," 381,418 "," 12,104 "," 321,044 "," 136,765 "," 20,979 "
District - Bulandshahr,Rural," 438,742 "," 285,589 "," 117,457 "," 167,426 "," 2,869 "," 17,606 "," 11,121 "," 285,049 "," 6,212 "," 256,377 "," 95,205 "," 12,093 "
District - Bulandshahr,Urban," 143,934 "," 84,026 "," 24,162 "," 86,624 "," 4,996 "," 12,754 "," 5,981 "," 96,369 "," 5,892 "," 64,667 "," 41,560 "," 8,886 "
District - Aligarh,Total," 604,612 "," 387,302 "," 96,490 "," 262,098 "," 13,634 "," 44,702 "," 24,398 "," 407,346 "," 14,169 "," 364,661 "," 151,973 "," 21,667 "
District - Aligarh,Rural," 406,432 "," 271,461 "," 72,878 "," 131,179 "," 2,993 "," 23,485 "," 12,091 "," 274,537 "," 5,726 "," 251,845 "," 83,663 "," 8,221 "
District - Aligarh,Urban," 198,180 "," 115,841 "," 23,612 "," 130,919 "," 10,641 "," 21,217 "," 12,307 "," 132,809 "," 8,443 "," 112,816 "," 68,310 "," 13,446 "
District - Mahamaya Nagar,Total," 259,914 "," 168,138 "," 37,236 "," 121,618 "," 3,087 "," 15,534 "," 9,169 "," 173,221 "," 4,833 "," 175,072 "," 61,172 "," 6,691 "
District - Mahamaya Nagar,Rural," 204,968 "," 134,238 "," 28,911 "," 83,503 "," 1,665 "," 11,750 "," 7,324 "," 134,991 "," 3,078 "," 145,332 "," 45,453 "," 4,395 "
District - Mahamaya Nagar,Urban," 54,946 "," 33,900 "," 8,325 "," 38,115 "," 1,422 "," 3,784 "," 1,845 "," 38,230 "," 1,755 "," 29,740 "," 15,719 "," 2,296 "
District - Mathura,Total," 410,783 "," 290,862 "," 56,649 "," 221,574 "," 8,726 "," 28,870 "," 16,178 "," 287,981 "," 14,830 "," 212,964 "," 124,260 "," 16,580 "
District - Mathura,Rural," 290,944 "," 207,575 "," 41,761 "," 131,137 "," 2,917 "," 17,106 "," 9,870 "," 203,789 "," 6,537 "," 162,978 "," 82,004 "," 7,636 "
District - Mathura,Urban," 119,839 "," 83,287 "," 14,888 "," 90,437 "," 5,809 "," 11,764 "," 6,308 "," 84,192 "," 8,293 "," 49,986 "," 42,256 "," 8,944 "
District - Agra,Total," 672,610 "," 440,213 "," 93,565 "," 433,913 "," 27,183 "," 54,829 "," 36,134 "," 458,049 "," 26,713 "," 444,212 "," 243,761 "," 44,989 "
District - Agra,Rural," 367,102 "," 233,287 "," 38,460 "," 174,203 "," 3,167 "," 21,811 "," 12,569 "," 251,992 "," 5,279 "," 262,732 "," 98,061 "," 9,352 "
District - Agra,Urban," 305,508 "," 206,926 "," 55,105 "," 259,710 "," 24,016 "," 33,018 "," 23,565 "," 206,057 "," 21,434 "," 181,480 "," 145,700 "," 35,637 "
District - Firozabad,Total," 412,147 "," 209,081 "," 42,868 "," 169,583 "," 5,834 "," 25,963 "," 14,099 "," 262,500 "," 6,591 "," 278,168 "," 85,413 "," 10,940 "
District - Firozabad,Rural," 271,428 "," 140,552 "," 28,719 "," 76,656 "," 1,531 "," 14,262 "," 6,785 "," 171,913 "," 3,234 "," 200,695 "," 50,483 "," 4,942 "
District - Firozabad,Urban," 140,719 "," 68,529 "," 14,149 "," 92,927 "," 4,303 "," 11,701 "," 7,314 "," 90,587 "," 3,357 "," 77,473 "," 34,930 "," 5,998 "
District - Mainpuri,Total," 311,184 "," 207,046 "," 49,983 "," 76,780 "," 2,642 "," 21,809 "," 9,035 "," 196,084 "," 4,478 "," 216,358 "," 53,444 "," 7,361 "
District - Mainpuri,Rural," 262,409 "," 173,703 "," 43,487 "," 48,426 "," 1,400 "," 17,574 "," 7,116 "," 162,519 "," 3,164 "," 188,817 "," 39,143 "," 4,427 "
District - Mainpuri,Urban," 48,775 "," 33,343 "," 6,496 "," 28,354 "," 1,242 "," 4,235 "," 1,919 "," 33,565 "," 1,314 "," 27,541 "," 14,301 "," 2,934 "
District - Budaun,Total," 610,904 "," 289,955 "," 125,198 "," 130,433 "," 3,634 "," 26,789 "," 12,391 "," 334,481 "," 7,693 "," 303,758 "," 69,930 "," 9,654 "
District - Budaun,Rural," 501,193 "," 233,191 "," 107,735 "," 79,820 "," 2,036 "," 21,260 "," 9,479 "," 266,910 "," 5,259 "," 256,732 "," 49,044 "," 6,058 "
District - Budaun,Urban," 109,711 "," 56,764 "," 17,463 "," 50,613 "," 1,598 "," 5,529 "," 2,912 "," 67,571 "," 2,434 "," 47,026 "," 20,886 "," 3,596 "
District - Bareilly,Total," 746,222 "," 491,451 "," 192,343 "," 300,504 "," 15,164 "," 41,411 "," 26,144 "," 439,045 "," 16,535 "," 456,654 "," 159,838 "," 24,436 "
District - Bareilly,Rural," 475,575 "," 329,647 "," 122,103 "," 127,002 "," 2,972 "," 19,312 "," 11,584 "," 262,135 "," 6,314 "," 304,307 "," 69,873 "," 7,560 "
District - Bareilly,Urban," 270,647 "," 161,804 "," 70,240 "," 173,502 "," 12,192 "," 22,099 "," 14,560 "," 176,910 "," 10,221 "," 152,347 "," 89,965 "," 16,876 "
District - Pilibhit,Total," 361,470 "," 261,004 "," 70,230 "," 106,945 "," 2,870 "," 15,227 "," 8,642 "," 192,082 "," 5,136 "," 242,225 "," 55,738 "," 7,560 "
District - Pilibhit,Rural," 297,601 "," 223,220 "," 57,897 "," 72,516 "," 1,326 "," 11,739 "," 6,133 "," 154,322 "," 3,703 "," 210,152 "," 40,689 "," 5,079 "
District - Pilibhit,Urban," 63,869 "," 37,784 "," 12,333 "," 34,429 "," 1,544 "," 3,488 "," 2,509 "," 37,760 "," 1,433 "," 32,073 "," 15,049 "," 2,481 "
District - Shahjahanpur,Total," 518,201 "," 346,362 "," 122,562 "," 135,885 "," 3,889 "," 23,644 "," 12,078 "," 268,315 "," 7,979 "," 333,199 "," 73,581 "," 9,927 "
District - Shahjahanpur,Rural," 418,787 "," 289,530 "," 106,430 "," 80,373 "," 1,850 "," 17,400 "," 8,316 "," 209,084 "," 4,984 "," 276,120 "," 49,875 "," 6,280 "
District - Shahjahanpur,Urban," 99,414 "," 56,832 "," 16,132 "," 55,512 "," 2,039 "," 6,244 "," 3,762 "," 59,231 "," 2,995 "," 57,079 "," 23,706 "," 3,647 "
District - Kheri,Total," 710,036 "," 567,416 "," 145,438 "," 141,512 "," 3,402 "," 25,850 "," 11,121 "," 338,710 "," 9,626 "," 486,903 "," 94,806 "," 11,395 "
District - Kheri,Rural," 630,131 "," 512,593 "," 131,356 "," 102,058 "," 1,800 "," 21,406 "," 9,197 "," 290,314 "," 6,701 "," 443,503 "," 75,009 "," 7,922 "
District - Kheri,Urban," 79,905 "," 54,823 "," 14,082 "," 39,454 "," 1,602 "," 4,444 "," 1,924 "," 48,396 "," 2,925 "," 43,400 "," 19,797 "," 3,473 "
District - Sitapur,Total," 793,861 "," 624,484 "," 205,606 "," 123,246 "," 3,874 "," 30,735 "," 13,992 "," 346,907 "," 8,537 "," 575,384 "," 88,916 "," 11,679 "
District - Sitapur,Rural," 710,299 "," 573,076 "," 181,042 "," 83,585 "," 2,120 "," 25,493 "," 10,985 "," 296,093 "," 5,966 "," 527,595 "," 67,850 "," 8,105 "
District - Sitapur,Urban," 83,562 "," 51,408 "," 24,564 "," 39,661 "," 1,754 "," 5,242 "," 3,007 "," 50,814 "," 2,571 "," 47,789 "," 21,066 "," 3,574 "
District - Hardoi,Total," 708,721 "," 481,873 "," 191,429 "," 132,969 "," 3,845 "," 28,220 "," 15,357 "," 362,234 "," 10,212 "," 494,925 "," 82,094 "," 12,396 "
District - Hardoi,Rural," 619,495 "," 425,332 "," 168,454 "," 89,752 "," 1,920 "," 22,592 "," 11,579 "," 307,753 "," 6,907 "," 442,252 "," 60,978 "," 8,034 "
District - Hardoi,Urban," 89,226 "," 56,541 "," 22,975 "," 43,217 "," 1,925 "," 5,628 "," 3,778 "," 54,481 "," 3,305 "," 52,673 "," 21,116 "," 4,362 "
District - Unnao,Total," 567,491 "," 386,631 "," 178,176 "," 134,235 "," 3,476 "," 25,243 "," 14,093 "," 283,343 "," 8,742 "," 417,537 "," 79,130 "," 10,191 "
District - Unnao,Rural," 475,335 "," 328,375 "," 151,726 "," 84,257 "," 1,581 "," 18,801 "," 10,497 "," 227,808 "," 5,824 "," 360,934 "," 55,421 "," 6,236 "
District - Unnao,Urban," 92,156 "," 58,256 "," 26,450 "," 49,978 "," 1,895 "," 6,442 "," 3,596 "," 55,535 "," 2,918 "," 56,603 "," 23,709 "," 3,955 "
District - Lucknow,Total," 822,591 "," 614,655 "," 271,988 "," 506,413 "," 68,506 "," 83,751 "," 44,139 "," 506,004 "," 57,277 "," 539,667 "," 337,254 "," 90,205 "
District - Lucknow,Rural," 274,212 "," 186,831 "," 69,573 "," 71,005 "," 2,376 "," 11,709 "," 6,346 "," 128,886 "," 3,831 "," 215,835 "," 52,482 "," 5,861 "
District - Lucknow,Urban," 548,379 "," 427,824 "," 202,415 "," 435,408 "," 66,130 "," 72,042 "," 37,793 "," 377,118 "," 53,446 "," 323,832 "," 284,772 "," 84,344 "
District - Rae Bareli,Total," 614,353 "," 477,757 "," 174,654 "," 130,197 "," 5,184 "," 29,604 "," 15,715 "," 337,107 "," 11,007 "," 509,053 "," 94,437 "," 13,483 "
District - Rae Bareli,Rural," 561,905 "," 439,270 "," 160,846 "," 98,018 "," 3,307 "," 25,526 "," 13,288 "," 301,230 "," 8,622 "," 471,396 "," 73,807 "," 9,853 "
District - Rae Bareli,Urban," 52,448 "," 38,487 "," 13,808 "," 32,179 "," 1,877 "," 4,078 "," 2,427 "," 35,877 "," 2,385 "," 37,657 "," 20,630 "," 3,630 "
District - Farrukhabad,Total," 308,056 "," 195,508 "," 64,510 "," 87,314 "," 2,624 "," 16,109 "," 8,653 "," 183,442 "," 5,971 "," 204,261 "," 49,592 "," 6,765 "
District - Farrukhabad,Rural," 239,285 "," 152,788 "," 52,328 "," 47,135 "," 1,287 "," 12,210 "," 6,233 "," 137,740 "," 4,010 "," 165,696 "," 32,133 "," 4,216 "
District - Farrukhabad,Urban," 68,771 "," 42,720 "," 12,182 "," 40,179 "," 1,337 "," 3,899 "," 2,420 "," 45,702 "," 1,961 "," 38,565 "," 17,459 "," 2,549 "
District - Kannauj,Total," 278,738 "," 186,968 "," 58,628 "," 64,187 "," 2,488 "," 15,594 "," 7,070 "," 161,683 "," 5,981 "," 178,143 "," 37,935 "," 6,011 "
District - Kannauj,Rural," 232,517 "," 160,106 "," 50,416 "," 42,654 "," 1,377 "," 12,590 "," 5,535 "," 133,515 "," 4,707 "," 157,609 "," 27,901 "," 4,156 "
District - Kannauj,Urban," 46,221 "," 26,862 "," 8,212 "," 21,533 "," 1,111 "," 3,004 "," 1,535 "," 28,168 "," 1,274 "," 20,534 "," 10,034 "," 1,855 "
District - Etawah,Total," 275,333 "," 170,123 "," 41,005 "," 84,543 "," 2,964 "," 18,542 "," 11,732 "," 160,626 "," 5,639 "," 194,564 "," 47,713 "," 7,736 "
District - Etawah,Rural," 214,002 "," 129,161 "," 34,468 "," 44,444 "," 1,434 "," 13,995 "," 8,909 "," 119,828 "," 3,104 "," 158,234 "," 29,151 "," 4,761 "
District - Etawah,Urban," 61,331 "," 40,962 "," 6,537 "," 40,099 "," 1,530 "," 4,547 "," 2,823 "," 40,798 "," 2,535 "," 36,330 "," 18,562 "," 2,975 "
District - Auraiya,Total," 248,370 "," 158,513 "," 59,782 "," 60,174 "," 2,404 "," 11,875 "," 8,361 "," 139,506 "," 4,232 "," 179,939 "," 35,729 "," 5,088 "
District - Auraiya,Rural," 207,674 "," 130,114 "," 49,166 "," 37,201 "," 1,424 "," 9,386 "," 6,164 "," 111,724 "," 3,027 "," 152,981 "," 23,778 "," 3,229 "
District - Auraiya,Urban," 40,696 "," 28,399 "," 10,616 "," 22,973 ", 980 ," 2,489 "," 2,197 "," 27,782 "," 1,205 "," 26,958 "," 11,951 "," 1,859 "
District - Kanpur Dehat,Total," 329,473 "," 222,197 "," 101,117 "," 65,556 "," 2,682 "," 22,672 "," 17,377 "," 163,780 "," 3,816 "," 220,794 "," 40,159 "," 12,752 "
District - Kanpur Dehat,Rural," 299,000 "," 201,586 "," 90,841 "," 52,272 "," 2,011 "," 18,699 "," 14,743 "," 146,098 "," 3,372 "," 203,911 "," 33,666 "," 9,530 "
District - Kanpur Dehat,Urban," 30,473 "," 20,611 "," 10,276 "," 13,284 ", 671 ," 3,973 "," 2,634 "," 17,682 ", 444 ," 16,883 "," 6,493 "," 3,222 "
District - Kanpur Nagar,Total," 821,148 "," 607,637 "," 242,173 "," 469,346 "," 33,966 "," 59,330 "," 33,550 "," 505,552 "," 32,480 "," 518,736 "," 249,207 "," 51,177 "
District - Kanpur Nagar,Rural," 291,529 "," 219,424 "," 93,870 "," 59,804 "," 1,185 "," 11,010 "," 5,505 "," 140,732 "," 2,805 "," 210,036 "," 36,264 "," 3,648 "
District - Kanpur Nagar,Urban," 529,619 "," 388,213 "," 148,303 "," 409,542 "," 32,781 "," 48,320 "," 28,045 "," 364,820 "," 29,675 "," 308,700 "," 212,943 "," 47,529 "
District - Jalaun,Total," 287,219 "," 213,620 "," 68,232 "," 90,428 "," 2,217 "," 16,398 "," 8,950 "," 184,347 "," 6,634 "," 162,840 "," 58,169 "," 7,009 "
District - Jalaun,Rural," 216,920 "," 166,184 "," 56,929 "," 52,632 ", 977 ," 12,228 "," 6,249 "," 137,117 "," 3,694 "," 127,887 "," 38,356 "," 4,059 "
District - Jalaun,Urban," 70,299 "," 47,436 "," 11,303 "," 37,796 "," 1,240 "," 4,170 "," 2,701 "," 47,230 "," 2,940 "," 34,953 "," 19,813 "," 2,950 "
District - Jhansi,Total," 358,220 "," 254,544 "," 78,124 "," 163,900 "," 8,517 "," 32,257 "," 17,140 "," 241,710 "," 11,278 "," 194,290 "," 94,539 "," 18,860 "
District - Jhansi,Rural," 214,711 "," 154,702 "," 51,307 "," 60,763 "," 1,538 "," 15,063 "," 7,608 "," 141,593 "," 3,746 "," 119,440 "," 36,625 "," 6,545 "
District - Jhansi,Urban," 143,509 "," 99,842 "," 26,817 "," 103,137 "," 6,979 "," 17,194 "," 9,532 "," 100,117 "," 7,532 "," 74,850 "," 57,914 "," 12,315 "
District - Lalitpur,Total," 217,878 "," 148,726 "," 39,275 "," 53,524 "," 1,079 "," 8,827 "," 4,266 "," 118,747 "," 3,469 "," 118,185 "," 36,718 "," 5,511 "
District - Lalitpur,Rural," 186,503 "," 129,348 "," 35,959 "," 33,243 ", 444 ," 6,655 "," 3,494 "," 98,285 "," 2,197 "," 102,302 "," 26,639 "," 4,038 "
District - Lalitpur,Urban," 31,375 "," 19,378 "," 3,316 "," 20,281 ", 635 ," 2,172 ", 772 ," 20,462 "," 1,272 "," 15,883 "," 10,079 "," 1,473 "
District - Hamirpur,Total," 209,558 "," 153,082 "," 54,513 "," 48,564 "," 1,196 "," 9,841 "," 4,934 "," 130,019 "," 2,839 "," 99,240 "," 24,522 "," 3,791 "
District - Hamirpur,Rural," 171,971 "," 127,699 "," 46,431 "," 29,170 ", 493 ," 8,047 "," 3,424 "," 104,140 "," 1,876 "," 82,234 "," 15,878 "," 2,331 "
District - Hamirpur,Urban," 37,587 "," 25,383 "," 8,082 "," 19,394 ", 703 ," 1,794 "," 1,510 "," 25,879 ", 963 ," 17,006 "," 8,644 "," 1,460 "
District - Mahoba,Total," 163,474 "," 117,603 "," 42,442 "," 35,422 "," 1,316 "," 9,982 "," 5,417 "," 105,277 "," 2,331 "," 85,723 "," 21,276 "," 5,755 "
District - Mahoba,Rural," 129,475 "," 96,239 "," 35,737 "," 20,158 ", 685 ," 7,641 "," 3,874 "," 81,635 "," 1,327 "," 67,431 "," 14,009 "," 3,993 "
District - Mahoba,Urban," 33,999 "," 21,364 "," 6,705 "," 15,264 ", 631 ," 2,341 "," 1,543 "," 23,642 "," 1,004 "," 18,292 "," 7,267 "," 1,762 "
District - Banda,Total," 322,737 "," 203,797 "," 75,196 "," 52,233 "," 1,655 "," 16,957 "," 6,599 "," 164,115 "," 3,984 "," 183,817 "," 32,236 "," 5,202 "
District - Banda,Rural," 273,445 "," 171,646 "," 66,421 "," 26,484 ", 664 ," 13,789 "," 4,705 "," 132,386 "," 2,557 "," 154,733 "," 19,488 "," 3,142 "
District - Banda,Urban," 49,292 "," 32,151 "," 8,775 "," 25,749 ", 991 ," 3,168 "," 1,894 "," 31,729 "," 1,427 "," 29,084 "," 12,748 "," 2,060 "
District - Chitrakoot,Total," 167,458 "," 113,520 "," 43,000 "," 27,006 ", 827 ," 8,610 "," 2,579 "," 80,095 "," 2,101 "," 105,264 "," 17,911 "," 2,805 "
District - Chitrakoot,Rural," 150,784 "," 103,387 "," 40,213 "," 18,614 ", 449 ," 7,411 "," 2,194 "," 69,967 "," 1,543 "," 96,469 "," 13,871 "," 2,147 "
District - Chitrakoot,Urban," 16,674 "," 10,133 "," 2,787 "," 8,392 ", 378 ," 1,199 ", 385 ," 10,128 ", 558 ," 8,795 "," 4,040 ", 658 
District - Fatehpur,Total," 473,021 "," 320,053 "," 122,320 "," 97,968 "," 3,385 "," 30,116 "," 20,039 "," 244,195 "," 7,211 "," 331,499 "," 59,754 "," 16,758 "
District - Fatehpur,Rural," 416,615 "," 283,812 "," 109,712 "," 68,234 "," 2,173 "," 25,818 "," 17,141 "," 209,423 "," 5,630 "," 297,774 "," 44,989 "," 13,837 "
District - Fatehpur,Urban," 56,406 "," 36,241 "," 12,608 "," 29,734 "," 1,212 "," 4,298 "," 2,898 "," 34,772 "," 1,581 "," 33,725 "," 14,765 "," 2,921 "
District - Pratapgarh,Total," 534,254 "," 441,287 "," 231,339 "," 135,185 "," 5,149 "," 29,251 "," 16,752 "," 369,563 "," 10,950 "," 447,696 "," 104,506 "," 15,781 "
District - Pratapgarh,Rural," 506,922 "," 419,101 "," 219,779 "," 118,863 "," 4,174 "," 27,437 "," 15,434 "," 349,490 "," 9,755 "," 427,845 "," 94,230 "," 13,978 "
District - Pratapgarh,Urban," 27,332 "," 22,186 "," 11,560 "," 16,322 ", 975 ," 1,814 "," 1,318 "," 20,073 "," 1,195 "," 19,851 "," 10,276 "," 1,803 "
District - Kaushambi,Total," 276,393 "," 184,222 "," 81,230 "," 52,946 "," 1,503 "," 13,526 "," 5,468 "," 145,907 "," 3,275 "," 210,669 "," 35,502 "," 4,403 "
District - Kaushambi,Rural," 254,926 "," 170,311 "," 75,030 "," 44,056 "," 1,228 "," 12,290 "," 4,848 "," 132,151 "," 2,950 "," 197,037 "," 30,960 "," 3,666 "
District - Kaushambi,Urban," 21,467 "," 13,911 "," 6,200 "," 8,890 ", 275 ," 1,236 ", 620 ," 13,756 ", 325 ," 13,632 "," 4,542 ", 737 
