Name,Type,Total,Bank,Radio,Television,ComputerInternet,ComputerNoInternet,Landline,Mobile,Both,Bicycle,Scooter,Car
District - Pulwama,Urban," 10,178 "," 8,130 "," 6,917 "," 8,204 ", 454 , 724 , 279 ," 7,376 "," 1,465 ", 707 , 656 ," 1,274 "
District - Shupiyan,Total," 41,947 "," 22,697 "," 30,191 "," 19,896 ", 884 ," 2,556 "," 1,494 "," 29,737 "," 2,555 "," 1,636 "," 4,656 "," 3,634 "
District - Shupiyan,Rural," 39,486 "," 20,557 "," 28,004 "," 17,802 ", 675 ," 2,303 "," 1,302 "," 28,148 "," 1,966 "," 1,471 "," 4,315 "," 3,149 "
District - Shupiyan,Urban," 2,461 "," 2,140 "," 2,187 "," 2,094 ", 209 , 253 , 192 ," 1,589 ", 589 , 165 , 341 , 485 
District - Anantnag,Total," 142,987 "," 89,068 "," 81,666 "," 67,166 "," 2,712 "," 5,900 "," 3,687 "," 91,482 "," 7,514 "," 6,295 "," 5,541 "," 7,846 "
District - Anantnag,Rural," 109,465 "," 63,388 "," 59,252 "," 42,613 "," 1,410 "," 3,720 "," 2,549 "," 67,105 "," 3,546 "," 3,876 "," 3,390 "," 4,223 "
District - Anantnag,Urban," 33,522 "," 25,680 "," 22,414 "," 24,553 "," 1,302 "," 2,180 "," 1,138 "," 24,377 "," 3,968 "," 2,419 "," 2,151 "," 3,623 "
District - Kulgam,Total," 69,203 "," 33,415 "," 42,026 "," 25,825 ", 838 ," 2,704 "," 1,387 "," 46,828 "," 1,390 "," 1,853 "," 3,318 "," 2,421 "
District - Kulgam,Rural," 56,316 "," 25,429 "," 34,190 "," 18,834 ", 612 ," 2,090 "," 1,133 "," 37,274 "," 1,033 "," 1,302 "," 2,495 "," 1,716 "
District - Kulgam,Urban," 12,887 "," 7,986 "," 7,836 "," 6,991 ", 226 , 614 , 254 ," 9,554 ", 357 , 551 , 823 , 705 
District - Doda,Total," 78,620 "," 60,914 "," 24,106 "," 19,244 ", 596 ," 2,481 "," 1,265 "," 44,395 "," 1,371 ", 563 ," 1,550 "," 1,804 "
District - Doda,Rural," 72,580 "," 55,483 "," 22,005 "," 15,181 ", 430 ," 2,065 "," 1,133 "," 39,550 ", 850 , 399 ," 1,064 "," 1,131 "
District - Doda,Urban," 6,040 "," 5,431 "," 2,101 "," 4,063 ", 166 , 416 , 132 ," 4,845 ", 521 , 164 , 486 , 673 
District - Ramban,Total," 54,206 "," 39,424 "," 18,397 "," 8,110 ", 417 ," 2,227 "," 1,028 "," 25,175 "," 1,013 ", 214 , 612 , 958 
District - Ramban,Rural," 52,261 "," 37,642 "," 17,556 "," 6,570 ", 360 ," 2,146 "," 1,001 "," 23,685 ", 783 , 139 , 404 , 664 
District - Ramban,Urban," 1,945 "," 1,782 ", 841 ," 1,540 ", 57 , 81 , 27 ," 1,490 ", 230 , 75 , 208 , 294 
District - Kishtwar,Total," 44,517 "," 34,027 "," 16,289 "," 9,281 ", 274 ," 1,377 ", 497 ," 16,097 "," 1,108 ", 439 ," 1,533 ", 850 
District - Kishtwar,Rural," 41,968 "," 31,825 "," 15,159 "," 7,265 ", 166 ," 1,173 ", 418 ," 14,411 ", 696 , 265 , 980 , 500 
District - Kishtwar,Urban," 2,549 "," 2,202 "," 1,130 "," 2,016 ", 108 , 204 , 79 ," 1,686 ", 412 , 174 , 553 , 350 
District - Udhampur,Total," 93,562 "," 67,644 "," 30,146 "," 37,323 "," 1,214 "," 4,530 "," 1,459 "," 56,859 "," 6,540 "," 3,948 "," 8,953 "," 3,800 "
District - Udhampur,Rural," 77,104 "," 53,217 "," 24,215 "," 23,441 ", 276 ," 2,630 ", 771 ," 46,732 "," 2,401 "," 1,620 "," 3,579 "," 1,229 "
District - Udhampur,Urban," 16,458 "," 14,427 "," 5,931 "," 13,882 ", 938 ," 1,900 ", 688 ," 10,127 "," 4,139 "," 2,328 "," 5,374 "," 2,571 "
District - Reasi,Total," 54,792 "," 40,610 "," 18,452 "," 13,645 ", 602 ," 2,247 ", 848 ," 26,081 "," 1,854 "," 1,340 "," 3,551 "," 1,878 "
District - Reasi,Rural," 49,914 "," 36,350 "," 17,205 "," 9,947 ", 315 ," 1,836 ", 591 ," 22,942 "," 1,169 ", 777 ," 2,197 "," 1,045 "
District - Reasi,Urban," 4,878 "," 4,260 "," 1,247 "," 3,698 ", 287 , 411 , 257 ," 3,139 ", 685 , 563 ," 1,354 ", 833 
District - Jammu,Total," 302,016 "," 252,313 "," 76,236 "," 240,478 "," 19,905 "," 26,752 "," 20,542 "," 179,925 "," 40,739 "," 68,272 "," 113,156 "," 44,063 "
District - Jammu,Rural," 155,851 "," 125,657 "," 29,978 "," 108,565 "," 1,924 "," 7,064 "," 7,983 "," 91,103 "," 10,817 "," 38,795 "," 42,600 "," 7,507 "
District - Jammu,Urban," 146,165 "," 126,656 "," 46,258 "," 131,913 "," 17,981 "," 19,688 "," 12,559 "," 88,822 "," 29,922 "," 29,477 "," 70,556 "," 36,556 "
District - Samba,Total," 62,817 "," 53,534 "," 12,466 "," 47,611 ", 992 ," 3,473 "," 2,587 "," 43,895 "," 4,254 "," 13,653 "," 17,664 "," 4,093 "
