Name,Type,Total,TapwaterTreated,TapwaterUntreated,CoveredWell,UncoveredWell,Handpump,Tubewell,Spring,River,Tank,Other
District - Amreli,Total," 294,071 "," 50,238 "," 150,124 "," 5,311 "," 10,871 "," 31,069 "," 32,323 ", 46 ," 1,332 ", 300 ," 12,457 "
District - Amreli,Rural," 218,891 "," 27,090 "," 110,581 "," 4,908 "," 10,369 "," 27,737 "," 26,496 ", 40 ," 1,293 ", 287 ," 10,090 "
District - Amreli,Urban," 75,180 "," 23,148 "," 39,543 ", 403 , 502 ," 3,332 "," 5,827 ", 6 , 39 , 13 ," 2,367 "
District - Bhavnagar,Total," 542,464 "," 232,152 "," 158,420 "," 18,447 "," 27,398 "," 43,348 "," 35,266 ", 216 ," 1,966 ", 702 ," 24,549 "
District - Bhavnagar,Rural," 303,727 "," 68,201 "," 119,188 "," 16,668 "," 26,038 "," 33,112 "," 26,387 ", 137 ," 1,590 ", 366 ," 12,040 "
District - Bhavnagar,Urban," 238,737 "," 163,951 "," 39,232 "," 1,779 "," 1,360 "," 10,236 "," 8,879 ", 79 , 376 , 336 ," 12,509 "
District - Anand,Total," 427,164 "," 154,335 "," 169,207 "," 11,351 "," 9,141 "," 26,962 "," 51,975 ", 55 , 188 , 71 ," 3,879 "
District - Anand,Rural," 297,069 "," 67,490 "," 148,677 "," 9,458 "," 8,328 "," 22,912 "," 37,347 ", 28 , 178 , 53 ," 2,598 "
District - Anand,Urban," 130,095 "," 86,845 "," 20,530 "," 1,893 ", 813 ," 4,050 "," 14,628 ", 27 , 10 , 18 ," 1,281 "
District - Kheda,Total," 462,134 "," 134,884 "," 167,171 "," 12,584 "," 18,115 "," 56,557 "," 68,378 ", 55 ," 1,194 ", 100 ," 3,096 "
District - Kheda,Rural," 358,132 "," 67,288 "," 145,704 "," 11,312 "," 17,347 "," 53,488 "," 59,466 ", 37 ," 1,158 ", 55 ," 2,277 "
District - Kheda,Urban," 104,002 "," 67,596 "," 21,467 "," 1,272 ", 768 ," 3,069 "," 8,912 ", 18 , 36 , 45 , 819 
District - Panch Mahals,Total," 446,746 "," 46,576 "," 74,887 "," 24,017 "," 91,728 "," 181,725 "," 20,886 ", 446 ," 4,067 ", 376 ," 2,038 "
District - Panch Mahals,Rural," 378,617 "," 16,927 "," 51,307 "," 22,816 "," 90,022 "," 176,470 "," 15,447 ", 428 ," 4,052 ", 372 , 776 
District - Panch Mahals,Urban," 68,129 "," 29,649 "," 23,580 "," 1,201 "," 1,706 "," 5,255 "," 5,439 ", 18 , 15 , 4 ," 1,262 "
District - Dohad,Total," 329,872 "," 23,904 "," 8,383 "," 24,391 "," 107,000 "," 148,377 "," 7,088 "," 2,372 "," 5,575 "," 1,753 "," 1,029 "
District - Dohad,Rural," 294,997 "," 3,776 "," 5,325 "," 23,144 "," 105,645 "," 141,941 "," 4,975 "," 2,219 "," 5,357 "," 1,738 ", 877 
District - Dohad,Urban," 34,875 "," 20,128 "," 3,058 "," 1,247 "," 1,355 "," 6,436 "," 2,113 ", 153 , 218 , 15 , 152 
District - Vadodara,Total," 880,121 "," 465,772 "," 173,230 "," 11,727 "," 16,732 "," 158,163 "," 39,945 "," 1,387 "," 5,373 ", 560 ," 7,232 "
District - Vadodara,Rural," 418,851 "," 78,286 "," 136,541 "," 10,745 "," 16,473 "," 142,186 "," 25,184 "," 1,289 "," 5,212 ", 415 ," 2,520 "
District - Vadodara,Urban," 461,270 "," 387,486 "," 36,689 ", 982 , 259 ," 15,977 "," 14,761 ", 98 , 161 , 145 ," 4,712 "
District - Narmada,Total," 122,039 "," 15,098 "," 26,271 "," 1,521 "," 1,577 "," 68,613 "," 5,565 ", 853 ," 2,028 ", 219 , 294 
District - Narmada,Rural," 109,005 "," 7,152 "," 23,137 "," 1,484 "," 1,554 "," 67,465 "," 4,996 ", 847 ," 2,004 ", 218 , 148 
District - Narmada,Urban," 13,034 "," 7,946 "," 3,134 ", 37 , 23 ," 1,148 ", 569 , 6 , 24 , 1 , 146 
District - Bharuch,Total," 335,098 "," 131,425 "," 121,832 "," 3,960 "," 8,934 "," 34,169 "," 24,691 ", 246 ," 2,217 ", 112 ," 7,512 "
District - Bharuch,Rural," 217,028 "," 59,225 "," 95,325 "," 3,446 "," 8,884 "," 32,543 "," 10,012 ", 220 ," 2,175 ", 43 ," 5,155 "
District - Bharuch,Urban," 118,070 "," 72,200 "," 26,507 ", 514 , 50 ," 1,626 "," 14,679 ", 26 , 42 , 69 ," 2,357 "
District - The Dangs,Total," 48,448 "," 4,068 "," 4,417 "," 4,564 "," 9,763 "," 21,842 "," 1,894 ", 958 , 914 , 9 , 19 
District - The Dangs,Rural," 43,842 "," 2,377 "," 4,096 "," 4,346 "," 9,293 "," 20,275 "," 1,563 ", 957 , 912 , 9 , 14 
District - The Dangs,Urban," 4,606 "," 1,691 ", 321 , 218 , 470 ," 1,567 ", 331 , 1 , 2 , -   , 5 
District - Navsari,Total," 294,176 "," 66,432 "," 81,585 "," 7,619 "," 20,273 "," 64,406 "," 50,626 ", 421 , 385 , 36 ," 2,393 "
District - Navsari,Rural," 203,615 "," 16,499 "," 55,645 "," 7,345 "," 19,745 "," 62,151 "," 39,759 ", 350 , 368 , 20 ," 1,733 "
District - Navsari,Urban," 90,561 "," 49,933 "," 25,940 ", 274 , 528 ," 2,255 "," 10,867 ", 71 , 17 , 16 , 660 
District - Valsad,Total," 361,928 "," 87,264 "," 32,717 "," 15,474 "," 29,603 "," 122,252 "," 66,781 "," 2,348 "," 2,848 ", 513 ," 2,128 "
District - Valsad,Rural," 215,288 "," 17,951 "," 19,273 "," 13,471 "," 27,646 "," 90,587 "," 40,007 "," 2,315 "," 2,723 ", 490 , 825 
District - Valsad,Urban," 146,640 "," 69,313 "," 13,444 "," 2,003 "," 1,957 "," 31,665 "," 26,774 ", 33 , 125 , 23 ," 1,303 "
District - Surat,Total," 1,299,670 "," 831,748 "," 215,654 "," 11,187 "," 12,286 "," 90,110 "," 117,310 ", 167 , 402 , 84 ," 20,722 "
District - Surat,Rural," 263,433 "," 66,654 "," 78,797 "," 7,973 "," 9,706 "," 73,355 "," 25,054 ", 32 , 142 , 12 ," 1,708 "
District - Surat,Urban," 1,036,237 "," 765,094 "," 136,857 "," 3,214 "," 2,580 "," 16,755 "," 92,256 ", 135 , 260 , 72 ," 19,014 "
District - Tapi,Total," 175,717 "," 27,626 "," 18,037 "," 4,496 "," 12,617 "," 97,491 "," 14,494 ", 161 , 413 , 17 , 365 
District - Tapi,Rural," 159,096 "," 14,083 "," 17,141 "," 4,292 "," 12,539 "," 96,321 "," 13,794 ", 156 , 412 , 16 , 342 
District - Tapi,Urban," 16,621 "," 13,543 ", 896 , 204 , 78 ," 1,170 ", 700 , 5 , 1 , 1 , 23 
District - Panchkula,Total," 110,236 "," 92,711 "," 7,009 "," 2,621 ", 558 ," 1,889 "," 3,329 ", 477 , 318 , 444 , 880 
District - Panchkula,Rural," 42,651 "," 34,276 "," 3,038 ", 152 , 291 ," 1,031 "," 2,408 ", 410 , 314 , 269 , 462 
District - Panchkula,Urban," 67,585 "," 58,435 "," 3,971 "," 2,469 ", 267 , 858 , 921 , 67 , 4 , 175 , 418 
District - Ambala,Total," 208,071 "," 155,977 "," 17,883 ", 692 , 252 ," 17,341 "," 14,874 ", 51 , 32 , 106 , 863 
District - Ambala,Rural," 112,525 "," 79,579 "," 12,461 ", 178 , 179 ," 11,382 "," 8,017 ", 27 , 24 , 66 , 612 
District - Ambala,Urban," 95,546 "," 76,398 "," 5,422 ", 514 , 73 ," 5,959 "," 6,857 ", 24 , 8 , 40 , 251 
District - Yamunanagar,Total," 228,163 "," 153,171 "," 23,773 ", 288 , 360 ," 35,844 "," 12,740 ", 46 , 376 , 71 ," 1,494 "
District - Yamunanagar,Rural," 133,009 "," 76,523 "," 18,412 ", 232 , 299 ," 28,901 "," 7,181 ", 25 , 370 , 48 ," 1,018 "
District - Yamunanagar,Urban," 95,154 "," 76,648 "," 5,361 ", 56 , 61 ," 6,943 "," 5,559 ", 21 , 6 , 23 , 476 
District - Kurukshetra,Total," 179,391 "," 130,529 "," 21,942 ", 267 , 40 ," 2,454 "," 23,107 ", 42 , 17 , 59 , 934 
District - Kurukshetra,Rural," 126,220 "," 84,242 "," 16,672 ", 242 , 33 ," 2,378 "," 21,777 ", 34 , 14 , 48 , 780 
District - Kurukshetra,Urban," 53,171 "," 46,287 "," 5,270 ", 25 , 7 , 76 ," 1,330 ", 8 , 3 , 11 , 154 
District - Kaithal,Total," 200,221 "," 80,483 "," 35,856 ", 595 ," 1,443 "," 32,563 "," 45,149 ", 36 , 354 , 897 ," 2,845 "
District - Kaithal,Rural," 154,438 "," 47,554 "," 30,591 ", 562 ," 1,435 "," 30,850 "," 40,008 ", 30 , 165 , 875 ," 2,368 "
District - Kaithal,Urban," 45,783 "," 32,929 "," 5,265 ", 33 , 8 ," 1,713 "," 5,141 ", 6 , 189 , 22 , 477 
District - Karnal,Total," 284,551 "," 198,809 "," 30,691 ", 276 , 151 ," 21,460 "," 29,657 ", 46 , 84 , 277 ," 3,100 "
District - Karnal,Rural," 194,003 "," 124,270 "," 25,314 ", 179 , 112 ," 17,232 "," 24,109 ", 27 , 64 , 244 ," 2,452 "
District - Karnal,Urban," 90,548 "," 74,539 "," 5,377 ", 97 , 39 ," 4,228 "," 5,548 ", 19 , 20 , 33 , 648 
District - Panipat,Total," 220,388 "," 114,020 "," 31,861 ", 539 , 712 ," 28,390 "," 41,486 ", 33 , 208 , 467 ," 2,672 "
District - Panipat,Rural," 114,922 "," 43,217 "," 16,695 ", 315 , 683 ," 25,574 "," 25,900 ", 14 , 69 , 436 ," 2,019 "
District - Panipat,Urban," 105,466 "," 70,803 "," 15,166 ", 224 , 29 ," 2,816 "," 15,586 ", 19 , 139 , 31 , 653 
District - Sonipat,Total," 269,658 "," 113,697 "," 50,708 "," 1,769 "," 5,630 "," 32,056 "," 59,531 ", 29 , 626 , 851 ," 4,761 "
District - Sonipat,Rural," 180,286 "," 54,607 "," 43,942 "," 1,500 "," 5,591 "," 26,480 "," 43,217 ", 18 , 409 , 771 ," 3,751 "
District - Sonipat,Urban," 89,372 "," 59,090 "," 6,766 ", 269 , 39 ," 5,576 "," 16,314 ", 11 , 217 , 80 ," 1,010 "
District - Jind,Total," 244,582 "," 99,041 "," 30,136 "," 3,989 "," 15,600 "," 45,782 "," 43,302 ", 39 , 542 ," 1,170 "," 4,981 "
District - Jind,Rural," 187,059 "," 62,487 "," 26,268 "," 3,740 "," 15,159 "," 40,423 "," 33,289 ", 22 , 418 ," 1,135 "," 4,118 "
District - Jind,Urban," 57,523 "," 36,554 "," 3,868 ", 249 , 441 ," 5,359 "," 10,013 ", 17 , 124 , 35 , 863 
District - Fatehabad,Total," 176,094 "," 111,025 "," 17,683 ", 993 , 228 ," 15,461 "," 25,578 ", 28 ," 1,970 "," 1,773 "," 1,355 "
District - Fatehabad,Rural," 141,266 "," 82,854 "," 15,138 ", 968 , 220 ," 14,831 "," 22,647 ", 23 ," 1,727 "," 1,751 "," 1,107 "
District - Fatehabad,Urban," 34,828 "," 28,171 "," 2,545 ", 25 , 8 , 630 ," 2,931 ", 5 , 243 , 22 , 248 
District - Sirsa,Total," 240,217 "," 186,003 "," 18,472 "," 1,921 ", 178 ," 6,398 "," 19,947 ", 61 ," 3,363 "," 1,906 "," 1,968 "
District - Sirsa,Rural," 178,789 "," 136,688 "," 13,887 "," 1,877 ", 162 ," 5,476 "," 13,865 ", 53 ," 3,325 "," 1,881 "," 1,575 "
District - Sirsa,Urban," 61,428 "," 49,315 "," 4,585 ", 44 , 16 , 922 ," 6,082 ", 8 , 38 , 25 , 393 
District - Hisar,Total," 325,046 "," 201,435 "," 17,100 "," 3,284 "," 12,798 "," 66,878 "," 11,612 ", 53 ," 4,199 "," 4,792 "," 2,895 "
District - Hisar,Rural," 221,028 "," 128,199 "," 13,771 "," 2,761 "," 12,681 "," 43,878 "," 9,801 ", 38 ," 3,499 "," 4,299 "," 2,101 "
District - Hisar,Urban," 104,018 "," 73,236 "," 3,329 ", 523 , 117 ," 23,000 "," 1,811 ", 15 , 700 , 493 , 794 
District - Bhiwani,Total," 308,812 "," 163,504 "," 40,005 "," 4,664 "," 22,116 "," 32,430 "," 36,262 ", 67 , 347 ," 3,557 "," 5,860 "
District - Bhiwani,Rural," 245,761 "," 113,067 "," 36,420 "," 4,512 "," 21,579 "," 25,947 "," 35,544 ", 44 , 327 ," 3,490 "," 4,831 "
District - Bhiwani,Urban," 63,051 "," 50,437 "," 3,585 ", 152 , 537 ," 6,483 ", 718 , 23 , 20 , 67 ," 1,029 "
District - Rohtak,Total," 202,933 "," 136,577 "," 17,433 "," 1,186 "," 8,169 "," 25,032 "," 10,545 ", 34 ," 1,086 ", 440 ," 2,431 "
District - Rohtak,Rural," 115,506 "," 58,709 "," 15,349 "," 1,109 "," 8,075 "," 20,342 "," 9,308 ", 14 , 889 , 345 ," 1,366 "
District - Rohtak,Urban," 87,427 "," 77,868 "," 2,084 ", 77 , 94 ," 4,690 "," 1,237 ", 20 , 197 , 95 ," 1,065 "
District - Jhajjar,Total," 183,400 "," 95,593 "," 37,855 "," 1,408 "," 5,301 "," 22,281 "," 14,363 ", 41 , 173 ," 1,670 "," 4,715 "
District - Jhajjar,Rural," 134,340 "," 60,023 "," 35,752 "," 1,255 "," 5,269 "," 16,260 "," 11,238 ", 30 , 138 ," 1,422 "," 2,953 "
District - Jhajjar,Urban," 49,060 "," 35,570 "," 2,103 ", 153 , 32 ," 6,021 "," 3,125 ", 11 , 35 , 248 ," 1,762 "
District - Mahendragarh,Total," 168,525 "," 53,491 "," 54,898 "," 2,602 "," 4,493 "," 2,196 "," 37,955 ", 51 , 60 ," 5,698 "," 7,081 "
District - Mahendragarh,Rural," 145,235 "," 36,521 "," 53,488 "," 2,340 "," 4,183 "," 1,888 "," 36,397 ", 39 , 53 ," 4,591 "," 5,735 "
District - Mahendragarh,Urban," 23,290 "," 16,970 "," 1,410 ", 262 , 310 , 308 ," 1,558 ", 12 , 7 ," 1,107 "," 1,346 "
District - Rewari,Total," 169,128 "," 81,520 "," 41,088 "," 1,110 "," 2,055 "," 13,230 "," 24,732 ", 34 , 147 ," 1,773 "," 3,439 "
District - Rewari,Rural," 126,261 "," 52,619 "," 38,419 ", 993 ," 2,008 "," 8,929 "," 18,722 ", 27 , 130 ," 1,646 "," 2,768 "
District - Rewari,Urban," 42,867 "," 28,901 "," 2,669 ", 117 , 47 ," 4,301 "," 6,010 ", 7 , 17 , 127 , 671 
District - Gurgaon,Total," 320,642 "," 193,401 "," 25,976 ", 571 , 587 ," 12,557 "," 81,189 ", 71 , 264 ," 1,253 "," 4,773 "
District - Gurgaon,Rural," 88,013 "," 38,517 "," 14,440 ", 198 , 194 ," 6,148 "," 26,421 ", 23 , 28 , 247 ," 1,797 "
District - Gurgaon,Urban," 232,629 "," 154,884 "," 11,536 ", 373 , 393 ," 6,409 "," 54,768 ", 48 , 236 ," 1,006 "," 2,976 "
District - Mewat,Total," 157,020 "," 35,712 "," 22,304 "," 3,507 "," 22,895 "," 36,315 "," 17,363 ", 32 , 37 ," 10,018 "," 8,837 "
District - Mewat,Rural," 137,261 "," 24,611 "," 19,531 "," 3,282 "," 22,724 "," 33,623 "," 15,721 ", 29 , 35 ," 9,609 "," 8,096 "
District - Mewat,Urban," 19,759 "," 11,101 "," 2,773 ", 225 , 171 ," 2,692 "," 1,642 ", 3 , 2 , 409 , 741 
District - Faridabad,Total," 353,066 "," 171,411 "," 39,712 ", 855 , 188 ," 68,137 "," 46,224 ", 117 , 187 ," 5,639 "," 20,596 "
District - Faridabad,Rural," 60,315 "," 20,584 "," 8,988 ", 189 , 54 ," 21,979 "," 6,674 ", 22 , 32 , 88 ," 1,705 "
District - Faridabad,Urban," 292,751 "," 150,827 "," 30,724 ", 666 , 134 ," 46,158 "," 39,550 ", 95 , 155 ," 5,551 "," 18,891 "
District - Palwal,Total," 167,810 "," 67,274 "," 27,758 "," 1,523 "," 4,463 "," 49,148 "," 11,507 ", 33 , 28 , 928 ," 5,148 "
District - Palwal,Rural," 127,165 "," 46,386 "," 23,740 "," 1,462 "," 4,449 "," 36,817 "," 8,870 ", 21 , 19 , 920 ," 4,481 "
District - Palwal,Urban," 40,645 "," 20,888 "," 4,018 ", 61 , 14 ," 12,331 "," 2,637 ", 12 , 9 , 8 , 667 
District - Chamba,Total," 101,972 "," 88,423 "," 8,028 ", 251 , 131 ," 1,022 ", 9 ," 1,834 ", 371 , 154 ," 1,749 "
District - Chamba,Rural," 94,574 "," 81,562 "," 7,713 ", 244 , 131 , 998 , 9 ," 1,728 ", 339 , 151 ," 1,699 "
District - Chamba,Urban," 7,398 "," 6,861 ", 315 , 7 , -   , 24 , -   , 106 , 32 , 3 , 50 
District - Kangra,Total," 336,407 "," 289,165 "," 11,851 "," 6,622 "," 4,712 "," 16,642 "," 1,716 "," 1,441 ", 237 , 644 ," 3,377 "
District - Kangra,Rural," 316,419 "," 270,547 "," 11,259 "," 6,562 "," 4,664 "," 16,321 "," 1,589 "," 1,274 ", 237 , 632 ," 3,334 "
District - Kangra,Urban," 19,988 "," 18,618 ", 592 , 60 , 48 , 321 , 127 , 167 , -   , 12 , 43 
District - Lahul & Spiti,Total," 6,695 "," 4,812 "," 1,311 ", 7 , 1 , 339 , -   , 46 , 78 , -   , 101 
District - Lahul & Spiti,Rural," 6,695 "," 4,812 "," 1,311 ", 7 , 1 , 339 , -   , 46 , 78 , -   , 101 
District - Lahul & Spiti,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District - Kullu,Total," 95,545 "," 80,614 "," 7,234 ", 603 , 568 ," 1,482 ", 271 , 794 , 610 , 451 ," 2,918 "
District - Kullu,Rural," 84,501 "," 70,286 "," 7,055 ", 574 , 565 ," 1,280 ", 44 , 793 , 581 , 420 ," 2,903 "
District - Kullu,Urban," 11,044 "," 10,328 ", 179 , 29 , 3 , 202 , 227 , 1 , 29 , 31 , 15 
District - Mandi,Total," 219,994 "," 201,074 "," 8,301 "," 2,032 "," 1,899 "," 1,718 ", 142 , 470 , 455 ," 1,049 "," 2,854 "
District - Mandi,Rural," 204,051 "," 185,526 "," 8,165 "," 1,932 "," 1,862 "," 1,699 ", 138 , 447 , 450 ," 1,040 "," 2,792 "
District - Mandi,Urban," 15,943 "," 15,548 ", 136 , 100 , 37 , 19 , 4 , 23 , 5 , 9 , 62 
District - Hamirpur,Total," 105,068 "," 92,096 "," 2,711 "," 2,521 "," 1,443 "," 5,483 ", 208 , 91 , 22 , 140 , 353 
District - Hamirpur,Rural," 97,893 "," 85,572 "," 2,625 "," 2,330 "," 1,422 "," 5,228 ", 187 , 81 , 22 , 93 , 333 
District - Hamirpur,Urban," 7,175 "," 6,524 ", 86 , 191 , 21 , 255 , 21 , 10 , -   , 47 , 20 
District - Una,Total," 109,699 "," 89,026 "," 4,847 "," 1,387 "," 2,205 "," 9,208 "," 2,419 ", 78 , 48 , 128 , 353 
District - Una,Rural," 99,791 "," 80,872 "," 4,399 "," 1,297 "," 2,095 "," 8,512 "," 2,051 ", 76 , 42 , 104 , 343 
District - Una,Urban," 9,908 "," 8,154 ", 448 , 90 , 110 , 696 , 368 , 2 , 6 , 24 , 10 
District - Bilaspur,Total," 80,453 "," 65,209 "," 2,638 "," 1,868 "," 2,143 "," 5,140 ", 477 , 513 , 43 , 759 ," 1,663 "
District - Bilaspur,Rural," 74,661 "," 59,666 "," 2,559 "," 1,859 "," 2,137 "," 5,010 ", 471 , 511 , 43 , 751 ," 1,654 "
District - Bilaspur,Urban," 5,792 "," 5,543 ", 79 , 9 , 6 , 130 , 6 , 2 , -   , 8 , 9 
District - Solan,Total," 123,353 "," 97,418 "," 6,546 "," 2,361 "," 2,249 "," 2,957 "," 3,148 "," 1,683 ", 472 ," 1,148 "," 5,371 "
District - Solan,Rural," 97,237 "," 72,994 "," 6,263 "," 2,056 "," 2,191 "," 2,758 "," 2,518 "," 1,554 ", 471 ," 1,122 "," 5,310 "
District - Solan,Urban," 26,116 "," 24,424 ", 283 , 305 , 58 , 199 , 630 , 129 , 1 , 26 , 61 
District - Sirmaur,Total," 97,090 "," 65,411 "," 10,196 "," 2,666 "," 2,064 "," 7,750 "," 1,045 "," 1,993 "," 1,297 "," 1,110 "," 3,558 "
District - Sirmaur,Rural," 84,317 "," 53,448 "," 9,934 "," 2,641 "," 2,045 "," 7,535 ", 862 ," 1,980 "," 1,290 "," 1,082 "," 3,500 "
District - Sirmaur,Urban," 12,773 "," 11,963 ", 262 , 25 , 19 , 215 , 183 , 13 , 7 , 28 , 58 
District - Shimla,Total," 180,770 "," 149,742 "," 16,809 "," 2,280 "," 2,187 "," 1,312 ", 70 ," 1,051 "," 1,134 "," 1,390 "," 4,795 "
District - Shimla,Rural," 130,864 "," 102,789 "," 15,497 "," 1,940 "," 2,021 "," 1,152 ", 63 , 828 ," 1,126 "," 1,247 "," 4,201 "
District - Shimla,Urban," 49,906 "," 46,953 "," 1,312 ", 340 , 166 , 160 , 7 , 223 , 8 , 143 , 594 
District - Kinnaur,Total," 19,535 "," 16,348 "," 1,648 ", 252 , 42 , 44 , 86 , 282 , 174 , 98 , 561 
District - Kinnaur,Rural," 19,535 "," 16,348 "," 1,648 ", 252 , 42 , 44 , 86 , 282 , 174 , 98 , 561 
District - Kinnaur,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District - Kupwara,Total," 106,777 "," 13,928 "," 36,411 "," 5,399 "," 11,127 "," 2,964 "," 2,066 "," 1,902 "," 24,776 "," 1,607 "," 6,597 "
District - Kupwara,Rural," 96,737 "," 11,412 "," 32,400 "," 4,858 "," 10,351 "," 2,705 "," 1,683 "," 1,788 "," 23,972 "," 1,572 "," 5,996 "
District - Kupwara,Urban," 10,040 "," 2,516 "," 4,011 ", 541 , 776 , 259 , 383 , 114 , 804 , 35 , 601 
District - Badgam,Total," 99,219 "," 30,163 "," 43,140 ", 648 , 699 ," 7,543 "," 2,321 ", 453 ," 13,064 ", 136 ," 1,052 "
District - Badgam,Rural," 86,083 "," 22,534 "," 39,284 ", 623 , 689 ," 7,050 "," 1,778 ", 437 ," 12,649 ", 40 , 999 
District - Badgam,Urban," 13,136 "," 7,629 "," 3,856 ", 25 , 10 , 493 , 543 , 16 , 415 , 96 , 53 
District - Leh (ladakh),Total," 20,777 "," 1,968 "," 4,286 ", 113 , 64 ," 5,856 ", 135 , 620 ," 6,115 ", 55 ," 1,565 "
District - Leh (ladakh),Rural," 14,590 ", 576 ," 2,694 ", 73 , 58 ," 4,014 ", 65 , 577 ," 5,886 ", 20 , 627 
District - Leh (ladakh),Urban," 6,187 "," 1,392 "," 1,592 ", 40 , 6 ," 1,842 ", 70 , 43 , 229 , 35 , 938 
District - Kargil,Total," 18,212 "," 1,934 "," 8,835 ", 85 , 1 ," 3,270 ", 19 , 323 ," 2,641 ", 197 , 907 
District - Kargil,Rural," 15,442 "," 1,304 "," 8,150 ", 78 , -   ," 2,192 ", 14 , 323 ," 2,600 ", 170 , 611 
District - Kargil,Urban," 2,770 ", 630 , 685 , 7 , 1 ," 1,078 ", 5 , -   , 41 , 27 , 296 
District - Punch,Total," 88,878 "," 14,336 "," 29,361 "," 3,985 "," 17,702 "," 3,802 ", 234 ," 12,448 "," 1,351 ", 308 ," 5,351 "
District - Punch,Rural," 81,670 "," 9,616 "," 28,320 "," 3,887 "," 16,839 "," 3,588 ", 188 ," 12,362 "," 1,329 ", 267 ," 5,274 "
District - Punch,Urban," 7,208 "," 4,720 "," 1,041 ", 98 , 863 , 214 , 46 , 86 , 22 , 41 , 77 
District - Rajouri,Total," 124,000 "," 20,443 "," 19,185 "," 10,362 "," 17,991 "," 6,447 ", 269 ," 37,100 "," 2,171 ", 458 ," 9,574 "
District - Rajouri,Rural," 117,183 "," 15,119 "," 18,586 "," 10,339 "," 17,925 "," 6,040 ", 265 ," 36,940 "," 1,984 ", 455 ," 9,530 "
District - Rajouri,Urban," 6,817 "," 5,324 ", 599 , 23 , 66 , 407 , 4 , 160 , 187 , 3 , 44 
District - Kathua,Total," 117,836 "," 47,984 "," 13,243 ", 769 ," 8,616 "," 27,582 "," 3,438 "," 8,978 ", 860 , 771 ," 5,595 "
District - Kathua,Rural," 100,283 "," 37,191 "," 12,350 ", 622 ," 8,576 "," 22,581 "," 2,858 "," 8,945 ", 858 , 768 ," 5,534 "
District - Kathua,Urban," 17,553 "," 10,793 ", 893 , 147 , 40 ," 5,001 ", 580 , 33 , 2 , 3 , 61 
District - Baramula,Total," 145,990 "," 54,721 "," 59,173 "," 4,251 "," 2,813 "," 3,162 "," 1,556 "," 2,185 "," 14,344 "," 1,167 "," 2,618 "
District - Baramula,Rural," 119,791 "," 37,148 "," 53,510 "," 2,836 "," 2,453 "," 2,999 "," 1,371 "," 2,076 "," 14,270 ", 792 ," 2,336 "
District - Baramula,Urban," 26,199 "," 17,573 "," 5,663 "," 1,415 ", 360 , 163 , 185 , 109 , 74 , 375 , 282 
District - Bandipore,Total," 56,794 "," 9,617 "," 24,356 ", 964 , 723 ," 1,647 ", 839 ," 2,679 "," 11,725 "," 1,244 "," 3,000 "
District - Bandipore,Rural," 47,620 "," 7,001 "," 18,989 ", 922 , 696 ," 1,365 ", 603 ," 2,678 "," 11,219 "," 1,191 "," 2,956 "
District - Bandipore,Urban," 9,174 "," 2,616 "," 5,367 ", 42 , 27 , 282 , 236 , 1 , 506 , 53 , 44 
District - Srinagar,Total," 167,448 "," 137,350 "," 27,076 ", 316 , 38 , 871 , 692 , 55 , 669 , 64 , 317 
District - Srinagar,Rural," 2,690 "," 1,004 "," 1,367 ", 15 , 1 , 16 , 5 , 4 , 230 , 1 , 47 
District - Srinagar,Urban," 164,758 "," 136,346 "," 25,709 ", 301 , 37 , 855 , 687 , 51 , 439 , 63 , 270 
District - Ganderbal,Total," 43,249 "," 23,678 "," 11,840 ", 224 , 151 , 864 , 569 ," 1,789 "," 3,097 ", 540 , 497 
District - Ganderbal,Rural," 36,626 "," 18,807 "," 11,183 ", 114 , 115 , 581 , 386 ," 1,785 "," 2,755 ", 431 , 469 
District - Ganderbal,Urban," 6,623 "," 4,871 ", 657 , 110 , 36 , 283 , 183 , 4 , 342 , 109 , 28 
District - Pulwama,Total," 81,241 "," 24,257 "," 32,492 ", 806 , 212 ," 9,934 "," 3,413 ", 660 ," 8,108 ", 430 , 929 
District - Pulwama,Rural," 71,063 "," 17,941 "," 30,613 ", 784 , 205 ," 9,174 "," 2,655 ", 499 ," 7,978 ", 382 , 832 
District - Pulwama,Urban," 10,178 "," 6,316 "," 1,879 ", 22 , 7 , 760 , 758 , 161 , 130 , 48 , 97 
District - Shupiyan,Total," 41,947 "," 10,395 "," 20,573 ", 421 , 217 ," 2,663 ", 778 , 392 ," 5,395 ", 146 , 967 
District - Shupiyan,Rural," 39,486 "," 8,444 "," 20,066 ", 419 , 217 ," 2,663 ", 778 , 392 ," 5,394 ", 146 , 967 
District - Shupiyan,Urban," 2,461 "," 1,951 ", 507 , 2 , -   , -   , -   , -   , 1 , -   , -   
District - Anantnag,Total," 142,987 "," 34,276 "," 68,782 "," 1,132 "," 1,024 "," 10,414 "," 2,010 "," 2,531 "," 19,048 "," 1,206 "," 2,564 "
District - Anantnag,Rural," 109,465 "," 21,323 "," 52,153 ", 957 ," 1,011 "," 8,741 "," 1,614 "," 2,347 "," 17,852 "," 1,166 "," 2,301 "
District - Anantnag,Urban," 33,522 "," 12,953 "," 16,629 ", 175 , 13 ," 1,673 ", 396 , 184 ," 1,196 ", 40 , 263 
