Name,Type,Total,TapwaterTreated,TapwaterUntreated,CoveredWell,UncoveredWell,Handpump,Tubewell,Spring,River,Tank,Other
District - Srikakulam,Rural," 580,048 "," 83,757 "," 37,889 "," 6,285 "," 182,702 "," 185,348 "," 67,850 "," 2,702 "," 9,804 "," 1,399 "," 2,312 "
District - Srikakulam,Urban," 109,275 "," 52,887 "," 5,384 "," 3,557 "," 16,459 "," 11,908 "," 17,403 ", 17 , 273 , 168 ," 1,219 "
District - Vizianagaram,Total," 596,605 "," 205,787 "," 53,418 "," 4,548 "," 73,701 "," 186,896 "," 59,276 "," 6,785 "," 2,591 "," 2,588 "," 1,015 "
District - Vizianagaram,Rural," 475,145 "," 115,132 "," 49,364 "," 3,043 "," 68,351 "," 180,456 "," 46,568 "," 6,722 "," 2,585 "," 2,566 ", 358 
District - Vizianagaram,Urban," 121,460 "," 90,655 "," 4,054 "," 1,505 "," 5,350 "," 6,440 "," 12,708 ", 63 , 6 , 22 , 657 
District - Visakhapatnam,Total," 1,126,166 "," 543,184 "," 91,007 "," 11,307 "," 81,562 "," 174,449 "," 145,141 "," 62,111 "," 5,855 "," 1,601 "," 9,949 "
District - Visakhapatnam,Rural," 583,474 "," 184,527 "," 68,557 "," 4,701 "," 66,320 "," 140,253 "," 49,195 "," 61,356 "," 5,751 "," 1,528 "," 1,286 "
District - Visakhapatnam,Urban," 542,692 "," 358,657 "," 22,450 "," 6,606 "," 15,242 "," 34,196 "," 95,946 ", 755 , 104 , 73 ," 8,663 "
District - East Godavari,Total," 1,407,410 "," 750,871 "," 157,935 "," 6,778 "," 121,195 "," 302,370 "," 40,397 "," 4,440 "," 6,523 "," 5,684 "," 11,217 "
District - East Godavari,Rural," 1,063,044 "," 479,762 "," 139,476 "," 5,908 "," 117,272 "," 275,272 "," 22,000 "," 4,291 "," 6,299 "," 5,648 "," 7,116 "
District - East Godavari,Urban," 344,366 "," 271,109 "," 18,459 ", 870 ," 3,923 "," 27,098 "," 18,397 ", 149 , 224 , 36 ," 4,101 "
District - West Godavari,Total," 1,075,780 "," 782,190 "," 118,313 "," 2,157 "," 20,184 "," 108,483 "," 17,816 ", 264 ," 8,333 "," 10,333 "," 7,707 "
District - West Godavari,Rural," 870,607 "," 608,198 "," 110,917 "," 1,739 "," 18,987 "," 95,285 "," 11,950 ", 228 ," 8,080 "," 10,150 "," 5,073 "
District - West Godavari,Urban," 205,173 "," 173,992 "," 7,396 ", 418 ," 1,197 "," 13,198 "," 5,866 ", 36 , 253 , 183 ," 2,634 "
District - Krishna,Total," 1,227,257 "," 774,668 "," 129,324 "," 4,791 "," 87,080 "," 161,701 "," 43,371 "," 1,490 "," 1,097 "," 6,592 "," 17,143 "
District - Krishna,Rural," 754,361 "," 392,519 "," 103,725 "," 3,992 "," 85,226 "," 127,479 "," 20,658 ", 915 , 998 ," 6,487 "," 12,362 "
District - Krishna,Urban," 472,896 "," 382,149 "," 25,599 ", 799 ," 1,854 "," 34,222 "," 22,713 ", 575 , 99 , 105 ," 4,781 "
District - Guntur,Total," 1,287,831 "," 611,480 "," 127,970 "," 4,680 "," 67,710 "," 355,296 "," 73,453 "," 1,299 "," 4,238 "," 5,833 "," 35,872 "
District - Guntur,Rural," 877,109 "," 310,726 "," 110,174 "," 3,779 "," 66,059 "," 291,314 "," 60,572 "," 1,178 "," 4,197 "," 5,473 "," 23,637 "
District - Guntur,Urban," 410,722 "," 300,754 "," 17,796 ", 901 ," 1,651 "," 63,982 "," 12,881 ", 121 , 41 , 360 ," 12,235 "
District - Prakasam,Total," 857,276 "," 286,836 "," 194,185 "," 4,374 "," 91,097 "," 166,016 "," 78,693 "," 3,379 "," 2,055 "," 6,529 "," 24,112 "
District - Prakasam,Rural," 692,542 "," 189,146 "," 167,554 "," 3,457 "," 82,848 "," 151,717 "," 69,881 "," 3,211 "," 2,046 "," 6,471 "," 16,211 "
District - Prakasam,Urban," 164,734 "," 97,690 "," 26,631 ", 917 ," 8,249 "," 14,299 "," 8,812 ", 168 , 9 , 58 ," 7,901 "
District - Sri Potti Sriramulu Nellore,Total," 772,625 "," 339,448 "," 190,390 "," 6,040 "," 51,084 "," 111,551 "," 56,033 ", 798 ," 1,514 "," 1,077 "," 14,690 "
District - Sri Potti Sriramulu Nellore,Rural," 567,914 "," 211,928 "," 175,845 "," 1,781 "," 40,333 "," 97,859 "," 30,772 ", 736 ," 1,486 "," 1,029 "," 6,145 "
District - Sri Potti Sriramulu Nellore,Urban," 204,711 "," 127,520 "," 14,545 "," 4,259 "," 10,751 "," 13,692 "," 25,261 ", 62 , 28 , 48 ," 8,545 "
District - Y.s.r.,Total," 703,136 "," 338,411 "," 259,735 "," 1,100 "," 4,347 "," 57,186 "," 25,759 "," 1,137 "," 2,078 ", 86 ," 13,297 "
District - Y.s.r.,Rural," 475,919 "," 173,552 "," 222,810 ", 631 ," 4,107 "," 48,680 "," 21,299 "," 1,017 "," 2,067 ", 53 ," 1,703 "
District - Y.s.r.,Urban," 227,217 "," 164,859 "," 36,925 ", 469 , 240 ," 8,506 "," 4,460 ", 120 , 11 , 33 ," 11,594 "
District - Kurnool,Total," 877,182 "," 496,042 "," 200,935 "," 3,370 "," 17,204 "," 100,250 "," 38,696 "," 5,694 "," 6,352 "," 3,297 "," 5,342 "
District - Kurnool,Rural," 630,786 "," 287,685 "," 174,176 "," 2,977 "," 16,965 "," 97,632 "," 34,243 "," 5,488 "," 5,801 "," 3,142 "," 2,677 "
District - Kurnool,Urban," 246,396 "," 208,357 "," 26,759 ", 393 , 239 ," 2,618 "," 4,453 ", 206 , 551 , 155 ," 2,665 "
District - Anantapur,Total," 961,165 "," 452,281 "," 367,394 "," 2,132 "," 5,049 "," 73,316 "," 43,685 ", 552 , 469 , 201 ," 16,086 "
District - Anantapur,Rural," 698,439 "," 260,195 "," 321,764 "," 1,743 "," 4,707 "," 68,578 "," 37,397 ", 491 , 440 , 181 ," 2,943 "
District - Anantapur,Urban," 262,726 "," 192,086 "," 45,630 ", 389 , 342 ," 4,738 "," 6,288 ", 61 , 29 , 20 ," 13,143 "
District - Chittoor,Total," 1,022,116 "," 423,929 "," 411,677 "," 2,465 "," 8,192 "," 42,880 "," 92,651 ", 349 , 548 , 494 ," 38,931 "
District - Chittoor,Rural," 727,635 "," 265,019 "," 347,425 "," 1,478 "," 7,555 "," 39,887 "," 62,418 ", 286 , 132 , 299 ," 3,136 "
District - Chittoor,Urban," 294,481 "," 158,910 "," 64,252 ", 987 , 637 ," 2,993 "," 30,233 ", 63 , 416 , 195 ," 35,795 "
District - Tawang,Total," 9,477 "," 4,352 "," 3,291 ", 13 , 16 , -   , 8 , 772 , 165 , 40 , 820 
District - Tawang,Rural," 7,891 "," 2,855 "," 3,217 ", 11 , 16 , -   , 8 , 765 , 164 , 40 , 815 
District - Tawang,Urban," 1,586 "," 1,497 ", 74 , 2 , -   , -   , -   , 7 , 1 , -   , 5 
District - West Kameng,Total," 16,405 "," 8,810 "," 5,264 ", 17 , 30 , -   , 92 , 775 , 693 , 254 , 470 
District - West Kameng,Rural," 12,542 "," 6,102 "," 4,159 ", 14 , 30 , -   , 92 , 744 , 693 , 254 , 454 
