Name,Type,Total,Grass,Plastic,Mud,Wood,Stone,StoneMortar,Metal,BurntBrick,Concrete,Other
District - Khammam,Rural,"641,238","133,119","2,723","74,280","14,410","7,512","67,877","1,401","318,915","7,124","13,877"
District - Khammam,Urban,"188,509","6,047",702,"10,955","1,021","3,190","36,885",623,"119,227","7,816","2,043"
District - Srikakulam,Total,"785,416","45,005","1,068","147,017","12,142","4,779","78,465","1,064","484,731","8,106","3,039"
District - Srikakulam,Rural,"655,255","42,205",894,"136,736","10,759","3,796","60,628",835,"389,819","6,796","2,787"
District - Srikakulam,Urban,"130,161","2,800",174,"10,281","1,383",983,"17,837",229,"94,912","1,310",252
District - Vizianagaram,Total,"666,961","46,761",733,"119,186","11,123","4,732","58,073",909,"418,361","4,923","2,160"
District - Vizianagaram,Rural,"526,975","43,043",539,"109,193","9,202","3,138","39,757",579,"316,863","3,154","1,507"
District - Vizianagaram,Urban,"139,986","3,718",194,"9,993","1,921","1,594","18,316",330,"101,498","1,769",653
District - Visakhapatnam,Total,"1,274,125","52,047","2,422","209,676","27,377","21,734","284,332","4,314","634,570","30,076","7,577"
District - Visakhapatnam,Rural,"670,863","45,444","1,707","178,071","24,816","8,525","104,169",956,"295,434","6,235","5,506"
District - Visakhapatnam,Urban,"603,262","6,603",715,"31,605","2,561","13,209","180,163","3,358","339,136","23,841","2,071"
District - East Godavari,Total,"1,526,058","127,291","3,276","200,182","17,832","24,505","247,816","1,449","857,253","35,406","11,048"
District - East Godavari,Rural,"1,143,795","116,544","2,732","168,968","16,896","15,026","153,616",987,"641,125","18,744","9,157"
District - East Godavari,Urban,"382,263","10,747",544,"31,214",936,"9,479","94,200",462,"216,128","16,662","1,891"
District - West Godavari,Total,"1,195,135","133,686","3,704","152,401","6,285","25,358","225,513","2,021","612,383","21,985","11,799"
District - West Godavari,Rural,"960,754","125,340","3,256","132,350","5,642","19,947","173,669","1,405","473,634","14,496","11,015"
District - West Godavari,Urban,"234,381","8,346",448,"20,051",643,"5,411","51,844",616,"138,749","7,489",784
District - Krishna,Total,"1,411,471","149,469","10,106","146,622","11,614","36,074","532,565","3,952","464,047","31,189","25,833"
District - Krishna,Rural,"870,322","133,159","8,661","124,877","10,349","17,941","264,685","1,833","274,544","11,374","22,899"
District - Krishna,Urban,"541,149","16,310","1,445","21,745","1,265","18,133","267,880","2,119","189,503","19,815","2,934"
District - Guntur,Total,"1,483,016","149,460","6,668","113,839","10,028","56,173","499,645","5,172","583,040","35,068","23,923"
District - Guntur,Rural,"1,006,312","130,711","5,182","94,976","8,707","43,029","314,756","3,345","367,862","16,999","20,745"
District - Guntur,Urban,"476,704","18,749","1,486","18,863","1,321","13,144","184,889","1,827","215,178","18,069","3,178"
District - Prakasam,Total,"985,058","66,681","2,144","86,287","3,759","41,046","225,819","2,050","538,807","10,046","8,419"
District - Prakasam,Rural,"793,598","60,286","1,855","77,792","3,399","35,313","177,892","1,438","422,460","6,076","7,087"
District - Prakasam,Urban,"191,460","6,395",289,"8,495",360,"5,733","47,927",612,"116,347","3,970","1,332"
District - Sri Potti Sriramulu Nellore,Total,"871,597","48,667","1,549","90,619","5,305","15,946","272,545","1,960","419,724","9,451","5,831"
District - Sri Potti Sriramulu Nellore,Rural,"631,129","44,909","1,114","76,916","4,782","12,107","174,151","1,300","306,110","4,439","5,301"
District - Sri Potti Sriramulu Nellore,Urban,"240,468","3,758",435,"13,703",523,"3,839","98,394",660,"113,614","5,012",530
District - Y.s.r.,Total,"783,239","7,524","1,241","70,248","2,508","87,443","225,115","1,176","372,042","8,315","7,627"
District - Y.s.r.,Rural,"523,338","6,524",859,"59,663","1,928","62,988","153,990",724,"227,336","3,968","5,358"
District - Y.s.r.,Urban,"259,901","1,000",382,"10,585",580,"24,455","71,125",452,"144,706","4,347","2,269"
District - Kurnool,Total,"987,543","55,450","2,821","75,835","8,089","169,504","568,082","2,906","75,869","13,662","15,325"
District - Kurnool,Rural,"704,693","47,511","1,780","61,269","6,133","142,008","400,000","1,745","27,267","6,760","10,220"
District - Kurnool,Urban,"282,850","7,939","1,041","14,566","1,956","27,496","168,082","1,161","48,602","6,902","5,105"
