Name,Type,Total,Grass,Plastic,Mud,Wood,Stone,StoneMortar,Metal,BurntBrick,Concrete,Other
District - Sheopur,Rural,"143,024","7,555",164,"38,451","2,523","30,875","55,890",182,"7,188",81,115
District - Sheopur,Urban,"24,134",210,40,"3,835",125,"1,959","8,418",21,"9,240",219,67
District - Morena,Total,"402,045","8,254",893,"56,255","1,181","20,912","66,794",303,"244,242",516,"2,695"
District - Morena,Rural,"312,701","7,899",732,"52,032","1,029","19,403","60,776",106,"168,722",299,"1,703"
District - Morena,Urban,"89,344",355,161,"4,223",152,"1,509","6,018",197,"75,520",217,992
District - Bhind,Total,"344,240","5,849",563,"86,607",338,"4,793","24,166",154,"218,979",500,"2,291"
District - Bhind,Rural,"262,646","5,282",457,"78,024",248,"3,658","18,288",77,"154,436",315,"1,861"
District - Bhind,Urban,"81,594",567,106,"8,583",90,"1,135","5,878",77,"64,543",185,430
District - Gwalior,Total,"419,740","4,380","1,478","77,272","1,218","20,898","47,194",592,"259,061","3,848","3,799"
District - Gwalior,Rural,"166,135","3,718",788,"59,116",646,"13,718","26,526",195,"59,632",423,"1,373"
District - Gwalior,Urban,"253,605",662,690,"18,156",572,"7,180","20,668",397,"199,429","3,425","2,426"
District - Datia,Total,"194,830","1,758",785,"70,092",156,"3,035","9,666",140,"106,775",508,"1,915"
District - Datia,Rural,"155,285","1,432",661,"62,880",87,"2,532","7,906",64,"78,226",232,"1,265"
District - Datia,Urban,"39,545",326,124,"7,212",69,503,"1,760",76,"28,549",276,650
District - Shivpuri,Total,"412,965","10,555",776,"110,586","3,192","67,423","76,162",261,"142,364",654,992
District - Shivpuri,Rural,"351,355","10,277",711,"101,341","2,978","62,928","63,328",145,"108,526",394,727
District - Shivpuri,Urban,"61,610",278,65,"9,245",214,"4,495","12,834",116,"33,838",260,265
District - Tikamgarh,Total,"359,983","2,000","1,239","120,738",246,"2,714","8,456",160,"219,015","2,722","2,693"
District - Tikamgarh,Rural,"305,670","1,724","1,114","108,823",203,"2,061","7,852",136,"179,434","2,127","2,196"
District - Tikamgarh,Urban,"54,313",276,125,"11,915",43,653,604,24,"39,581",595,497
District - Chhatarpur,Total,"438,977","3,668",768,"229,050",695,"11,530","16,083",290,"173,814","1,432","1,647"
District - Chhatarpur,Rural,"354,937","3,242",669,"209,201",631,"10,554","14,210",232,"114,000","1,106","1,092"
District - Chhatarpur,Urban,"84,040",426,99,"19,849",64,976,"1,873",58,"59,814",326,555
District - Panna,Total,"274,547","2,871",458,"192,565",463,"12,997","11,116",160,"52,926",499,492
District - Panna,Rural,"245,513","2,382",404,"182,754",407,"11,769","8,987",99,"38,100",250,361
District - Panna,Urban,"29,034",489,54,"9,811",56,"1,228","2,129",61,"14,826",249,131
District - Sagar,Total,"582,031","11,299","1,730","269,245","6,717","45,023","46,254","1,811","192,373","6,445","1,134"
District - Sagar,Rural,"429,025","9,419","1,253","234,310","5,987","41,088","40,253","1,056","92,917","2,186",556
District - Sagar,Urban,"153,006","1,880",477,"34,935",730,"3,935","6,001",755,"99,456","4,259",578
District - Damoh,Total,"349,239","5,812",875,"130,466","3,034","63,430","43,437",410,"99,548","1,305",922
District - Damoh,Rural,"288,931","5,103",735,"114,827","2,860","62,191","41,384",177,"60,600",409,645
District - Damoh,Urban,"60,308",709,140,"15,639",174,"1,239","2,053",233,"38,948",896,277
District - Satna,Total,"545,443","5,555","1,342","318,399",532,"13,074","13,989",971,"185,959","2,864","2,758"
District - Satna,Rural,"441,830","4,440",991,"294,021",413,"11,973","10,078",807,"115,804","1,606","1,697"
District - Satna,Urban,"103,613","1,115",351,"24,378",119,"1,101","3,911",164,"70,155","1,258","1,061"
District - Rewa,Total,"595,420","8,023","1,492","401,136",884,"9,780","13,478",465,"155,653","2,084","2,425"
District - Rewa,Rural,"508,464","7,027","1,288","375,374",782,"8,766","10,218",370,"101,381","1,424","1,834"
District - Rewa,Urban,"86,956",996,204,"25,762",102,"1,014","3,260",95,"54,272",660,591
District - Umaria,Total,"160,738","2,504",277,"111,045",929,499,"1,372",108,"43,123",634,247
District - Umaria,Rural,"133,415","2,143",234,"104,285",923,363,875,81,"24,008",381,122
District - Umaria,Urban,"27,323",361,43,"6,760",6,136,497,27,"19,115",253,125
District - Neemuch,Total,"224,189","1,799",248,"58,063",952,"23,417","76,401",293,"61,971",817,228
District - Neemuch,Rural,"163,432","1,558",176,"50,252",613,"17,000","58,622",171,"34,530",364,146
District - Neemuch,Urban,"60,757",241,72,"7,811",339,"6,417","17,779",122,"27,441",453,82
District - Mandsaur,Total,"358,690","6,309",892,"165,821","1,036","11,032","33,324","1,179","135,833","2,427",837
District - Mandsaur,Rural,"285,842","5,669",761,"152,777",766,"8,746","27,709",577,"87,290",971,576
District - Mandsaur,Urban,"72,848",640,131,"13,044",270,"2,286","5,615",602,"48,543","1,456",261
District - Ratlam,Total,"351,121","10,581",921,"170,729","1,063","4,282","19,437","1,454","137,576","4,693",385
District - Ratlam,Rural,"253,963","9,743",779,"152,915",874,"3,257","18,111",659,"66,252","1,164",209
District - Ratlam,Urban,"97,158",838,142,"17,814",189,"1,025","1,326",795,"71,324","3,529",176
District - Ujjain,Total,"457,441","9,228",912,"193,923",966,"3,882","8,179","1,384","231,892","6,503",572
District - Ujjain,Rural,"285,033","7,595",635,"167,268",547,"2,386","5,885",736,"97,410","2,282",289
District - Ujjain,Urban,"172,408","1,633",277,"26,655",419,"1,496","2,294",648,"134,482","4,221",283
District - Shajapur,Total,"366,672","6,799",945,"186,638",827,"2,303","4,101",670,"162,027","1,949",413
District - Shajapur,Rural,"298,725","6,276",774,"169,326",676,"1,924","3,494",500,"114,032","1,432",291
District - Shajapur,Urban,"67,947",523,171,"17,312",151,379,607,170,"47,995",517,122
District - Dewas,Total,"355,923","33,463","2,703","125,326","7,767","3,335","4,033","1,150","169,354","6,750","2,042"
District - Dewas,Rural,"261,914","30,049","2,113","106,613","7,442","2,503","2,858",682,"106,187","2,047","1,420"
District - Dewas,Urban,"94,009","3,414",590,"18,713",325,832,"1,175",468,"63,167","4,703",622
District - Dhar,Total,"485,452","21,905","1,915","200,766","14,044","8,819","37,577","1,620","190,673","7,529",604
District - Dhar,Rural,"391,650","19,657","1,615","183,591","13,886","7,939","35,045",949,"125,319","3,173",476
District - Dhar,Urban,"93,802","2,248",300,"17,175",158,880,"2,532",671,"65,354","4,356",128
District - Indore,Total,"720,549","16,888","3,212","118,251","4,273","4,928","4,955","10,021","515,779","40,590","1,652"
District - Indore,Rural,"182,932","11,891",874,"70,714","1,502","1,157","1,185","1,516","89,147","4,530",416
District - Indore,Urban,"537,617","4,997","2,338","47,537","2,771","3,771","3,770","8,505","426,632","36,060","1,236"
District - West Nimar,Total,"432,428","69,523","1,807","174,090","5,095","1,892","4,291","1,334","169,855","4,018",523
District - West Nimar,Rural,"363,585","67,951","1,643","158,708","4,977","1,456","3,805",966,"120,791","2,893",395
District - West Nimar,Urban,"68,843","1,572",164,"15,382",118,436,486,368,"49,064","1,125",128
District - Barwani,Total,"284,421","85,135","1,539","99,187","3,679","1,022","1,974",706,"89,038","1,921",220
District - Barwani,Rural,"240,671","82,677","1,303","88,300","3,522",793,"1,540",441,"60,862","1,066",167
District - Barwani,Urban,"43,750","2,458",236,"10,887",157,229,434,265,"28,176",855,53
District - Rajgarh,Total,"385,133","6,474","1,101","199,651",916,"5,054","19,228",873,"148,836","2,339",661
District - Rajgarh,Rural,"321,159","6,003",989,"182,254",775,"4,534","18,167",427,"105,794","1,739",477
District - Rajgarh,Urban,"63,974",471,112,"17,397",141,520,"1,061",446,"43,042",600,184
District - Vidisha,Total,"359,069","5,256",961,"229,286","1,559","15,727","13,617",589,"88,584","2,204","1,286"
District - Vidisha,Rural,"281,868","4,602",649,"208,937","1,317","13,737","10,810",389,"40,002",969,456
District - Vidisha,Urban,"77,201",654,312,"20,349",242,"1,990","2,807",200,"48,582","1,235",830
District - Bhopal,Total,"604,245","7,561","4,201","111,713","5,766","7,228","11,103","6,455","430,653","16,799","2,766"
District - Bhopal,Rural,"108,762","2,827",532,"65,130",309,"1,792","2,634",374,"33,949","1,022",193
District - Bhopal,Urban,"495,483","4,734","3,669","46,583","5,457","5,436","8,469","6,081","396,704","15,777","2,573"
District - Sehore,Total,"314,065","20,895","1,177","104,148","6,342","1,970","2,602",663,"172,977","2,152","1,139"
District - Sehore,Rural,"259,561","19,700","1,004","94,150","6,079","1,555","2,321",386,"131,886","1,635",845
District - Sehore,Urban,"54,504","1,195",173,"9,998",263,415,281,277,"41,091",517,294
District - Raisen,Total,"312,287","14,277","1,070","153,344","10,307","12,384","20,148",803,"97,323","1,831",800
District - Raisen,Rural,"242,960","12,455",742,"137,129","9,843","10,883","17,949",321,"52,118",955,565
District - Raisen,Urban,"69,327","1,822",328,"16,215",464,"1,501","2,199",482,"45,205",876,235
District - Betul,Total,"379,875","24,091","1,241","211,061","4,406","2,871","6,875","1,168","124,061","3,449",652
District - Betul,Rural,"301,537","22,139",994,"190,621","4,188","2,540","6,375",465,"71,628","2,128",459
District - Betul,Urban,"78,338","1,952",247,"20,440",218,331,500,703,"52,433","1,321",193
District - Harda,Total,"135,418","18,080",801,"39,894","1,489",576,"1,264",398,"70,918","1,482",516
District - Harda,Rural,"107,168","16,938",709,"35,102","1,388",460,"1,021",245,"49,804","1,161",340
District - Harda,Urban,"28,250","1,142",92,"4,792",101,116,243,153,"21,114",321,176
District - Hoshangabad,Total,"295,403","17,141","1,638","87,818","4,139","1,479","2,385","1,913","174,814","3,068","1,008"
District - Hoshangabad,Rural,"200,484","15,630","1,229","74,278","3,762",977,"1,367",426,"100,580","1,629",606
District - Hoshangabad,Urban,"94,919","1,511",409,"13,540",377,502,"1,018","1,487","74,234","1,439",402
District - Katni,Total,"328,017","2,789",496,"197,920",295,"3,447","5,490",353,"115,753",990,484
District - Katni,Rural,"261,954","2,484",391,"185,734",235,"2,743","3,777",162,"65,524",611,293
District - Katni,Urban,"66,063",305,105,"12,186",60,704,"1,713",191,"50,229",379,191
District - Jabalpur,Total,"582,614","8,517","1,713","223,236","1,322","5,105","11,425","1,204","316,839","11,460","1,793"
District - Jabalpur,Rural,"260,902","5,062",641,"156,284",635,"1,561","2,419",286,"91,921","1,621",472
District - Jabalpur,Urban,"321,712","3,455","1,072","66,952",687,"3,544","9,006",918,"224,918","9,839","1,321"
District - Narsimhapur,Total,"272,713","9,565","1,048","143,339","2,927","2,395","2,658",614,"105,996","3,623",548
District - Narsimhapur,Rural,"223,296","8,929",827,"130,640","2,697","1,927","2,068",191,"73,952","1,699",366
District - Narsimhapur,Urban,"49,417",636,221,"12,699",230,468,590,423,"32,044","1,924",182
District - Dindori,Total,"222,130","6,143",782,"161,301","7,324",537,"1,402",293,"43,221",821,306
District - Dindori,Rural,"213,225","5,722",758,"158,503","7,308",438,"1,292",247,"37,975",701,281
District - Dindori,Urban,"8,905",421,24,"2,798",16,99,110,46,"5,246",120,25
District - Mandla,Total,"305,027","6,339",667,"229,033","4,453",709,"1,037",330,"61,359",770,330
District - Mandla,Rural,"271,123","5,289",588,"217,353","4,265",519,766,172,"41,454",444,273
District - Mandla,Urban,"33,904","1,050",79,"11,680",188,190,271,158,"19,905",326,57
District - Chhindwara,Total,"516,274","13,603","1,379","318,530","5,323","3,433","6,631",773,"160,108","5,505",989
District - Chhindwara,Rural,"388,987","11,895","1,016","281,641","5,037","2,665","4,831",442,"78,125","2,618",717
District - Chhindwara,Urban,"127,287","1,708",363,"36,889",286,768,"1,800",331,"81,983","2,887",272
District - Seoni,Total,"364,965","5,142",783,"253,612","5,023","1,163","1,372",376,"94,074","2,810",610
District - Seoni,Rural,"321,827","4,441",667,"241,790","4,826",954,997,258,"65,895","1,525",474
District - Seoni,Urban,"43,138",701,116,"11,822",197,209,375,118,"28,179","1,285",136
District - Balaghat,Total,"450,026","5,718",616,"361,772",614,567,877,214,"77,717","1,631",300
District - Balaghat,Rural,"386,222","4,708",500,"334,926",489,412,474,145,"43,628",763,177
District - Balaghat,Urban,"63,804","1,010",116,"26,846",125,155,403,69,"34,089",868,123
District - Guna,Total,"273,377","6,691",782,"157,910","1,371","7,501","24,588",442,"71,837","1,619",636
District - Guna,Rural,"206,484","5,750",617,"138,226","1,290","6,786","22,260",217,"30,553",432,353
District - Guna,Urban,"66,893",941,165,"19,684",81,715,"2,328",225,"41,284","1,187",283
District - Ashoknagar,Total,"198,633","3,712",279,"116,461",965,"22,053","22,406",220,"31,459",712,366
District - Ashoknagar,Rural,"164,526","3,407",239,"106,959",780,"18,304","16,192",132,"17,843",428,242
District - Ashoknagar,Urban,"34,107",305,40,"9,502",185,"3,749","6,214",88,"13,616",284,124
District - Shahdol,Total,"277,358","2,528",649,"198,615",896,"1,330","2,101",276,"69,482",888,593
District - Shahdol,Rural,"225,424","1,875",503,"184,247",854,910,"1,093",187,"35,111",292,352
District - Shahdol,Urban,"51,934",653,146,"14,368",42,420,"1,008",89,"34,371",596,241
District - Anuppur,Total,"193,048","2,304",452,"126,964",807,635,"1,878",348,"58,122","1,050",488
District - Anuppur,Rural,"141,284","1,790",327,"111,819",662,282,682,101,"24,825",459,337
District - Anuppur,Urban,"51,764",514,125,"15,145",145,353,"1,196",247,"33,297",591,151
District - Sidhi,Total,"262,931","2,259",545,"211,797",280,"2,261","4,112",241,"39,689",853,894
District - Sidhi,Rural,"240,324","2,146",522,"203,364",271,"2,086","3,437",208,"27,093",493,704
District - Sidhi,Urban,"22,607",113,23,"8,433",9,175,675,33,"12,596",360,190
District - Singrauli,Total,"262,536","1,928",652,"203,519",216,"1,990","3,802",252,"48,672",723,782
District - Singrauli,Rural,"212,276","1,323",456,"191,015",145,"1,387","2,505",129,"14,902",130,284
District - Singrauli,Urban,"50,260",605,196,"12,504",71,603,"1,297",123,"33,770",593,498
District - Jhabua,Total,"227,286","17,723",712,"94,686","5,765","9,093","42,080",221,"55,859",828,319
District - Jhabua,Rural,"205,611","17,413",678,"90,465","5,748","8,977","41,883",172,"39,508",469,298
District - Jhabua,Urban,"21,675",310,34,"4,221",17,116,197,49,"16,351",359,21
District - Alirajpur,Total,"145,982","10,657",538,"75,614","4,873",701,"3,049",116,"49,850",432,152
District - Alirajpur,Rural,"133,085","10,527",450,"72,617","4,828",648,"2,984",88,"40,481",369,93
District - Alirajpur,Urban,"12,897",130,88,"2,997",45,53,65,28,"9,369",63,59
District - East Nimar,Total,"307,198","42,922","1,763","130,692","2,058","2,611","5,477","1,842","113,812","5,352",669
District - East Nimar,Rural,"249,334","41,067","1,496","116,331","1,538","1,893","4,297",685,"78,856","2,708",463
District - East Nimar,Urban,"57,864","1,855",267,"14,361",520,718,"1,180","1,157","34,956","2,644",206
District - Burhanpur,Total,"167,617","27,933",484,"63,572","2,853",836,"1,315","1,249","64,856","4,320",199
District - Burhanpur,Rural,"109,619","26,170",352,"43,612","2,469",381,718,742,"32,990","2,046",139
District - Burhanpur,Urban,"57,998","1,763",132,"19,960",384,455,597,507,"31,866","2,274",60
STATE - MAHARASHTRA,Total,"29,596,106","1,682,119","136,434","5,788,328","324,494","980,560","2,881,094","752,643","13,682,038","3,194,187","174,209"
STATE - MAHARASHTRA,Rural,"15,796,550","1,544,785","65,059","4,726,424","187,899","683,207","2,068,593","270,266","5,300,741","845,425","104,151"
STATE - MAHARASHTRA,Urban,"13,799,556","137,334","71,375","1,061,904","136,595","297,353","812,501","482,377","8,381,297","2,348,762","70,058"
District - Nandurbar,Total,"372,551","150,028","1,352","89,135","3,309","5,026","7,101","1,920","104,962","8,761",957
District - Nandurbar,Rural,"309,931","144,766","1,097","78,229","2,317","3,888","4,285","1,100","68,727","4,764",758
District - Nandurbar,Urban,"62,620","5,262",255,"10,906",992,"1,138","2,816",820,"36,235","3,997",199
District - Dhule,Total,"473,772","40,760","1,409","195,161","4,594","9,708","10,852","3,850","189,918","16,378","1,142"
District - Dhule,Rural,"343,266","39,533","1,197","173,294","2,249","6,672","7,374","1,784","101,708","8,612",843
District - Dhule,Urban,"130,506","1,227",212,"21,867","2,345","3,036","3,478","2,066","88,210","7,766",299
District - Jalgaon,Total,"1,050,105","96,557","3,925","315,052","25,876","24,798","41,647","11,717","465,197","61,233","4,103"
District - Jalgaon,Rural,"717,389","90,194","3,015","268,840","8,810","18,242","27,876","6,400","253,473","37,536","3,003"
District - Jalgaon,Urban,"332,716","6,363",910,"46,212","17,066","6,556","13,771","5,317","211,724","23,697","1,100"
District - Buldana,Total,"669,802","85,446","2,251","202,798","7,141","18,096","40,856","17,260","266,063","25,005","4,886"
District - Buldana,Rural,"535,174","78,785","1,870","180,306","5,377","15,850","37,662","8,136","184,667","18,194","4,327"
District - Buldana,Urban,"134,628","6,661",381,"22,492","1,764","2,246","3,194","9,124","81,396","6,811",559
District - Akola,Total,"465,855","43,050","2,030","178,890","2,101","10,053","16,171","4,114","185,133","22,310","2,003"
District - Akola,Rural,"290,794","32,574","1,333","134,193",982,"6,591","10,624","1,994","91,327","9,784","1,392"
District - Akola,Urban,"175,061","10,476",697,"44,697","1,119","3,462","5,547","2,120","93,806","12,526",611
District - Washim,Total,"310,647","27,691","1,303","118,618","2,598","9,020","15,444","4,181","115,680","14,495","1,617"
District - Washim,Rural,"260,061","26,193","1,071","106,651","2,198","7,301","12,668","2,778","90,778","9,067","1,356"
District - Washim,Urban,"50,586","1,498",232,"11,967",400,"1,719","2,776","1,403","24,902","5,428",261
District - Amravati,Total,"728,949","68,081","4,236","307,426","3,577","17,570","25,615","5,807","257,555","35,196","3,886"
District - Amravati,Rural,"480,387","60,134","2,943","250,295","1,869","11,560","14,864","2,994","121,384","12,178","2,166"
District - Amravati,Urban,"248,562","7,947","1,293","57,131","1,708","6,010","10,751","2,813","136,171","23,018","1,720"
District - Wardha,Total,"359,433","30,866","2,251","129,597","1,679","7,787","12,864","3,901","155,698","13,445","1,345"
District - Wardha,Rural,"250,521","27,879","1,658","109,973","1,251","6,054","9,394","2,489","83,455","7,369",999
District - Wardha,Urban,"108,912","2,987",593,"19,624",428,"1,733","3,470","1,412","72,243","6,076",346
District - Nagpur,Total,"1,181,577","47,441","5,354","269,089","11,340","30,562","49,617","11,518","660,469","92,991","3,196"
District - Nagpur,Rural,"390,143","30,972","1,485","175,345","2,464","8,680","15,295","2,532","138,268","13,962","1,140"
District - Nagpur,Urban,"791,434","16,469","3,869","93,744","8,876","21,882","34,322","8,986","522,201","79,029","2,056"
District - Bhandara,Total,"325,162","5,546",962,"186,081",733,"6,108","10,232",595,"107,784","6,569",552
District - Bhandara,Rural,"261,731","5,149",862,"170,807",612,"4,131","6,679",352,"68,028","4,685",426
District - Bhandara,Urban,"63,431",397,100,"15,274",121,"1,977","3,553",243,"39,756","1,884",126
District - Gondiya,Total,"357,806","3,852",744,"249,967",782,"5,013","6,521",451,"85,491","4,587",398
District - Gondiya,Rural,"298,951","3,550",592,"232,172",649,"2,834","3,859",375,"52,272","2,396",252
District - Gondiya,Urban,"58,855",302,152,"17,795",133,"2,179","2,662",76,"33,219","2,191",146
District - Garhchiroli,Total,"309,961","32,674","1,520","134,016","24,458","7,237","11,263",563,"92,026","4,065","2,139"
District - Garhchiroli,Rural,"277,385","31,761","1,400","127,538","24,193","5,803","9,181",416,"72,806","2,285","2,002"
District - Garhchiroli,Urban,"32,576",913,120,"6,478",265,"1,434","2,082",147,"19,220","1,780",137
District - Chandrapur,Total,"632,101","42,486","1,990","226,391","12,484","17,006","28,799","2,662","270,749","27,570","1,964"
District - Chandrapur,Rural,"424,025","38,113","1,289","188,209","11,084","10,289","17,320","1,425","148,129","6,599","1,568"
District - Chandrapur,Urban,"208,076","4,373",701,"38,182","1,400","6,717","11,479","1,237","122,620","20,971",396
District - Yavatmal,Total,"754,763","105,950","3,016","253,732","33,100","16,418","28,451","9,375","269,838","30,700","4,183"
District - Yavatmal,Rural,"600,765","98,928","2,446","229,568","23,773","13,649","24,096","5,334","182,692","16,513","3,766"
District - Yavatmal,Urban,"153,998","7,022",570,"24,164","9,327","2,769","4,355","4,041","87,146","14,187",417
District - Nanded,Total,"766,365","71,058","3,191","208,417","18,472","47,386","140,432","8,532","229,251","35,844","3,782"
District - Nanded,Rural,"558,784","66,266","2,451","162,685","16,783","40,667","124,320","3,808","119,946","18,663","3,195"
District - Nanded,Urban,"207,581","4,792",740,"45,732","1,689","6,719","16,112","4,724","109,305","17,181",587
District - Hingoli,Total,"263,850","15,400",768,"90,704","2,432","11,261","22,518","2,919","103,281","13,920",647
District - Hingoli,Rural,"226,010","14,896",679,"83,449","2,131","9,986","20,430","2,170","81,617","10,100",552
District - Hingoli,Urban,"37,840",504,89,"7,255",301,"1,275","2,088",749,"21,664","3,820",95
District - Parbhani,Total,"405,637","23,623","1,557","108,463","9,197","22,403","49,768","7,447","164,820","16,859","1,500"
District - Parbhani,Rural,"281,122","21,650","1,043","87,899","2,796","18,235","44,022","3,298","92,341","8,832","1,006"
District - Parbhani,Urban,"124,515","1,973",514,"20,564","6,401","4,168","5,746","4,149","72,479","8,027",494
District - Jalna,Total,"459,200","29,842","2,140","130,548","3,810","18,572","37,693","9,608","198,706","26,187","2,094"
District - Jalna,Rural,"372,364","29,212","1,871","116,070","3,291","15,952","33,450","6,897","144,248","19,592","1,781"
District - Jalna,Urban,"86,836",630,269,"14,478",519,"2,620","4,243","2,711","54,458","6,595",313
District - Aurangabad,Total,"876,362","52,334","2,654","184,505","5,050","28,288","54,752","16,106","436,158","93,215","3,300"
District - Aurangabad,Rural,"497,216","50,785","1,879","149,132","3,957","18,370","33,651","7,535","189,891","39,758","2,258"
District - Aurangabad,Urban,"379,146","1,549",775,"35,373","1,093","9,918","21,101","8,571","246,267","53,457","1,042"
District - Nashik,Total,"1,450,332","77,513","6,791","366,360","40,583","39,826","91,753","52,421","633,657","134,483","6,945"
District - Nashik,Rural,"803,230","72,621","4,160","279,196","7,291","28,158","57,929","19,589","281,769","48,304","4,213"
District - Nashik,Urban,"647,102","4,892","2,631","87,164","33,292","11,668","33,824","32,832","351,888","86,179","2,732"
District - Thane,Total,"3,050,540","154,755","15,346","165,161","15,564","50,883","149,171","63,929","1,898,087","522,625","15,019"
District - Thane,Rural,"620,953","137,291","3,425","100,055","5,665","9,801","26,930","4,982","286,912","42,835","3,057"
District - Thane,Urban,"2,429,587","17,464","11,921","65,106","9,899","41,082","122,241","58,947","1,611,175","479,790","11,962"
District - Mumbai Suburban,Total,"2,675,032","5,139","25,939","55,516","10,101","47,183","139,544","80,286","1,732,488","561,155","17,681"
District - Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,0,0
District - Mumbai Suburban,Urban,"2,675,032","5,139","25,939","55,516","10,101","47,183","139,544","80,286","1,732,488","561,155","17,681"
District - Mumbai,Total,"977,440","1,771","3,576","19,408","9,695","20,379","62,625","23,563","613,973","216,717","5,733"
District - Mumbai,Rural,0,0,0,0,0,0,0,0,0,0,0
District - Mumbai,Urban,"977,440","1,771","3,576","19,408","9,695","20,379","62,625","23,563","613,973","216,717","5,733"
District - Raigarh,Total,"767,408","40,650","4,217","106,146","4,633","15,290","54,143","7,510","421,189","108,635","4,995"
District - Raigarh,Rural,"478,329","38,371","2,098","93,082","3,625","11,019","38,327","2,737","246,064","40,080","2,926"
District - Raigarh,Urban,"289,079","2,279","2,119","13,064","1,008","4,271","15,816","4,773","175,125","68,555","2,069"
District - Pune,Total,"2,618,928","45,237","9,132","191,374","8,784","70,537","233,552","141,829","1,344,804","557,681","15,998"
District - Pune,Rural,"958,209","41,747","4,002","116,596","4,881","47,609","158,112","29,584","392,589","155,013","8,076"
District - Pune,Urban,"1,660,719","3,490","5,130","74,778","3,903","22,928","75,440","112,245","952,215","402,668","7,922"
District - Ahmadnagar,Total,"1,182,435","64,850","4,743","203,528","10,980","55,040","136,984","27,464","538,618","120,072","20,156"
District - Ahmadnagar,Rural,"939,538","58,716","3,976","175,537","8,820","48,388","123,423","18,399","406,557","78,570","17,152"
District - Ahmadnagar,Urban,"242,897","6,134",767,"27,991","2,160","6,652","13,561","9,065","132,061","41,502","3,004"
District - Bid,Total,"642,612","44,253","3,364","123,406","5,244","39,838","84,140","24,738","289,888","22,993","4,748"
District - Bid,Rural,"519,448","42,938","2,874","109,134","4,298","36,441","77,956","16,818","208,724","16,291","3,974"
District - Bid,Urban,"123,164","1,315",490,"14,272",946,"3,397","6,184","7,920","81,164","6,702",774
District - Latur,Total,"548,251","21,753","1,714","72,858","4,888","39,556","120,294","19,567","247,471","17,735","2,415"
District - Latur,Rural,"403,195","20,802","1,354","58,447","4,125","33,990","106,287","13,047","153,826","9,604","1,713"
District - Latur,Urban,"145,056",951,360,"14,411",763,"5,566","14,007","6,520","93,645","8,131",702
District - Osmanabad,Total,"407,269","22,686","1,436","73,072","4,212","24,926","67,468","25,490","166,247","19,958","1,774"
District - Osmanabad,Rural,"338,002","21,825","1,216","65,086","3,298","21,110","59,348","17,882","131,072","15,659","1,506"
District - Osmanabad,Urban,"69,267",861,220,"7,986",914,"3,816","8,120","7,608","35,175","4,299",268
District - Solapur,Total,"1,035,213","70,347","3,303","99,032","6,883","65,505","219,084","96,736","401,053","67,341","5,929"
District - Solapur,Rural,"699,278","68,001","2,371","62,602","5,381","54,475","184,195","51,951","231,393","34,087","4,822"
District - Solapur,Urban,"335,935","2,346",932,"36,430","1,502","11,030","34,889","44,785","169,660","33,254","1,107"
District - Satara,Total,"832,684","45,076","3,262","122,612","4,174","42,158","164,490","24,274","317,292","101,210","8,136"
District - Satara,Rural,"667,682","43,256","2,469","107,762","3,497","38,915","152,294","13,997","237,954","60,519","7,019"
District - Satara,Urban,"165,002","1,820",793,"14,850",677,"3,243","12,196","10,277","79,338","40,691","1,117"
District - Ratnagiri,Total,"548,629","35,492","2,884","164,686","5,838","35,096","233,745","3,993","37,038","22,756","7,101"
District - Ratnagiri,Rural,"467,077","34,651","1,594","158,677","5,077","29,737","192,461","2,612","23,440","12,334","6,494"
District - Ratnagiri,Urban,"81,552",841,"1,290","6,009",761,"5,359","41,284","1,381","13,598","10,422",607
District - Sindhudurg,Total,"286,716","11,422","1,306","99,175","4,417","24,093","121,409","1,798","9,110","10,789","3,197"
District - Sindhudurg,Rural,"251,500","10,833",981,"90,201","4,047","20,699","106,697","1,373","6,912","7,008","2,749"
District - Sindhudurg,Urban,"35,216",589,325,"8,974",370,"3,394","14,712",425,"2,198","3,781",448
District - Kolhapur,Total,"1,056,868","25,226","3,935","254,361","7,908","49,404","209,211","11,928","402,277","87,589","5,029"
District - Kolhapur,Rural,"717,435","22,466","2,367","211,236","5,456","36,492","163,923","5,569","233,720","32,988","3,218"
District - Kolhapur,Urban,"339,433","2,760","1,568","43,125","2,452","12,912","45,288","6,359","168,557","54,601","1,811"
District - Sangli,Total,"751,851","43,264","2,833","93,043","7,857","48,534","182,885","24,591","270,067","73,118","5,659"
District - Sangli,Rural,"556,655","39,927","1,991","74,158","5,652","41,619","163,661","9,909","174,052","41,244","4,442"
District - Sangli,Urban,"195,196","3,337",842,"18,885","2,205","6,915","19,224","14,682","96,015","31,874","1,217"
STATE - MANIPUR,Total,"650,891","136,703","4,653","326,182","79,593","4,862","3,623","3,797","80,343","6,915","4,220"
STATE - MANIPUR,Rural,"443,967","109,891","3,669","224,263","66,767","2,505","1,305","2,274","27,722","2,367","3,204"
STATE - MANIPUR,Urban,"206,924","26,812",984,"101,919","12,826","2,357","2,318","1,523","52,621","4,548","1,016"
District - Senapati,Total,"89,783","21,525",818,"38,453","20,207","1,316",302,990,"4,390","1,007",775
District - Senapati,Rural,"87,993","21,348",788,"37,757","19,797","1,306",297,975,"3,970",990,765
District - Senapati,Urban,"1,790",177,30,696,410,10,5,15,420,17,10
