Name,Type,Total,Grass,Plastic,HandmadeTiles,MachinemadeTiles,BurntBrick,Stone,Metal,Concrete,Other
District - Visakhapatnam,Rural,"670,863","138,081",867,"32,451","167,469","1,311","3,163","37,967","288,372","1,182"
District - Visakhapatnam,Urban,"603,262","37,675",721,"9,287","19,329","1,886","5,769","46,630","480,309","1,656"
District - East Godavari,Total,"1,526,058","295,235","1,680","149,056","374,682","4,068","7,330","35,254","656,439","2,314"
District - East Godavari,Rural,"1,143,795","261,490","1,238","126,127","332,205","2,817","4,279","20,225","394,433",981
District - East Godavari,Urban,"382,263","33,745",442,"22,929","42,477","1,251","3,051","15,029","262,006","1,333"
District - West Godavari,Total,"1,195,135","249,116","1,665","119,509","183,209","3,265","9,321","95,023","532,082","1,945"
District - West Godavari,Rural,"960,754","227,207","1,227","100,853","170,151","2,336","6,629","69,353","381,713","1,285"
District - West Godavari,Urban,"234,381","21,909",438,"18,656","13,058",929,"2,692","25,670","150,369",660
District - Krishna,Total,"1,411,471","338,818","3,265","35,372","61,959","3,853","19,694","236,219","707,495","4,796"
District - Krishna,Rural,"870,322","298,921","1,723","25,294","47,235","1,524","8,843","111,085","373,725","1,972"
District - Krishna,Urban,"541,149","39,897","1,542","10,078","14,724","2,329","10,851","125,134","333,770","2,824"
District - Guntur,Total,"1,483,016","322,943","3,129","62,910","57,594","3,793","21,957","237,738","768,407","4,545"
District - Guntur,Rural,"1,006,312","279,032","1,909","50,823","40,334","2,255","13,366","141,129","474,621","2,843"
District - Guntur,Urban,"476,704","43,911","1,220","12,087","17,260","1,538","8,591","96,609","293,786","1,702"
District - Prakasam,Total,"985,058","147,178","1,911","56,990","36,690","1,900","18,165","155,076","563,360","3,788"
District - Prakasam,Rural,"793,598","134,771","1,486","50,413","29,063","1,446","14,628","116,243","442,702","2,846"
District - Prakasam,Urban,"191,460","12,407",425,"6,577","7,627",454,"3,537","38,833","120,658",942
District - Sri Potti Sriramulu Nellore,Total,"871,597","159,995","1,425","6,166","7,669","1,834","9,828","143,688","537,862","3,130"
District - Sri Potti Sriramulu Nellore,Rural,"631,129","140,482",897,"4,134","5,474","1,109","6,556","91,691","378,565","2,221"
District - Sri Potti Sriramulu Nellore,Urban,"240,468","19,513",528,"2,032","2,195",725,"3,272","51,997","159,297",909
District - Y.s.r.,Total,"783,239","152,386","2,111","7,335","15,793","2,346","65,920","78,136","452,341","6,871"
District - Y.s.r.,Rural,"523,338","131,638","1,356","4,052","8,892","1,603","55,541","36,569","279,002","4,685"
District - Y.s.r.,Urban,"259,901","20,748",755,"3,283","6,901",743,"10,379","41,567","173,339","2,186"
District - Kurnool,Total,"987,543","395,943","5,380","4,793","7,681","3,240","72,906","58,822","429,716","9,062"
District - Kurnool,Rural,"704,693","355,661","3,197","3,262","4,456","2,170","55,796","30,507","243,822","5,822"
District - Kurnool,Urban,"282,850","40,282","2,183","1,531","3,225","1,070","17,110","28,315","185,894","3,240"
District - Anantapur,Total,"1,096,262","208,728","2,246","9,494","18,781","7,311","400,209","73,753","348,949","26,791"
District - Anantapur,Rural,"789,853","181,797","1,208","4,355","9,236","5,998","340,079","36,933","190,456","19,791"
District - Anantapur,Urban,"306,409","26,931","1,038","5,139","9,545","1,313","60,130","36,820","158,493","7,000"
District - Chittoor,Total,"1,155,371","139,332","1,490","20,054","42,027","4,741","130,398","94,221","717,198","5,910"
District - Chittoor,Rural,"806,190","124,169",942,"13,814","34,158","2,830","116,110","45,006","465,671","3,490"
District - Chittoor,Urban,"349,181","15,163",548,"6,240","7,869","1,911","14,288","49,215","251,527","2,420"
STATE - ARUNACHAL PRADESH,Total,"339,823","145,239","1,521","1,249",463,861,"3,419","165,637","17,877","3,557"
STATE - ARUNACHAL PRADESH,Rural,"249,860","131,972","1,157",827,203,318,"1,898","106,948","3,853","2,684"
STATE - ARUNACHAL PRADESH,Urban,"89,963","13,267",364,422,260,543,"1,521","58,689","14,024",873
District - Tawang,Total,"11,151",938,15,10,6,10,99,"9,137",871,65
District - Tawang,Rural,"9,052",912,14,10,6,9,81,"7,667",294,59
District - Tawang,Urban,"2,099",26,1,0,0,1,18,"1,470",577,6
District - West Kameng,Total,"20,542","3,582",154,15,11,83,67,"14,898","1,361",371
District - West Kameng,Rural,"15,129","3,295",141,12,8,41,60,"10,943",303,326
District - West Kameng,Urban,"5,413",287,13,3,3,42,7,"3,955","1,058",45
District - East Kameng,Total,"18,173","5,382",73,124,54,56,154,"11,568",610,152
