Name,Type,Total,Grass,Plastic,HandmadeTiles,MachinemadeTiles,BurntBrick,Stone,Metal,Concrete,Other
District - Puri,Total,"450,031","209,684","1,559","2,593","1,361","1,371","4,569","103,718","124,573",603
District - Puri,Rural,"383,667","197,439","1,315","2,238",972,709,"3,888","86,463","90,210",433
District - Puri,Urban,"66,364","12,245",244,355,389,662,681,"17,255","34,363",170
District - Ganjam,Total,"905,957","241,111","2,452","9,436","8,668","1,634","16,663","155,656","468,751","1,586"
District - Ganjam,Rural,"713,223","223,130","1,747","6,598","6,754","1,282","12,785","115,047","344,731","1,149"
District - Ganjam,Urban,"192,734","17,981",705,"2,838","1,914",352,"3,878","40,609","124,020",437
District - Gajapati,Total,"157,341","69,885",635,"1,710","1,888",235,"1,593","45,588","35,397",410
District - Gajapati,Rural,"137,379","66,452",528,"1,169","1,488",212,"1,387","39,985","25,841",317
District - Gajapati,Urban,"19,962","3,433",107,541,400,23,206,"5,603","9,556",93
District - Kandhamal,Total,"225,204","78,253","1,509","20,183","3,085",331,"1,422","105,152","14,721",548
District - Kandhamal,Rural,"203,836","76,425","1,457","19,809","2,704",299,"1,150","93,217","8,279",496
District - Kandhamal,Urban,"21,368","1,828",52,374,381,32,272,"11,935","6,442",52
District - Bauda,Total,"134,141","94,738",138,"9,774","3,750",135,"1,089","5,535","18,864",118
District - Bauda,Rural,"128,088","92,930",132,"9,592","3,539",129,"1,016","4,147","16,502",101
District - Bauda,Urban,"6,053","1,808",6,182,211,6,73,"1,388","2,362",17
District - Subarnapur,Total,"186,465","91,301",422,"37,124","8,571",361,"6,793","8,104","33,575",214
District - Subarnapur,Rural,"171,210","89,004",384,"33,777","6,930",322,"6,191","6,414","27,992",196
District - Subarnapur,Urban,"15,255","2,297",38,"3,347","1,641",39,602,"1,690","5,583",18
District - Balangir,Total,"513,828","56,168","2,134","353,074","3,260","3,155","7,874","10,104","76,176","1,883"
District - Balangir,Rural,"457,008","53,759","1,893","330,262","2,526","2,840","6,935","5,073","52,453","1,267"
District - Balangir,Urban,"56,820","2,409",241,"22,812",734,315,939,"5,031","23,723",616
District - Nuapada,Total,"197,830","7,685",728,"170,303",240,368,337,"1,749","16,223",197
District - Nuapada,Rural,"187,341","7,464",683,"164,656",164,333,263,"1,224","12,499",55
District - Nuapada,Urban,"10,489",221,45,"5,647",76,35,74,525,"3,724",142
District - Kalahandi,Total,"475,211","25,265","1,733","394,885","1,226","1,893","1,742","11,635","36,489",343
District - Kalahandi,Rural,"440,256","24,378","1,555","377,598","1,048","1,766","1,271","7,152","25,271",217
District - Kalahandi,Urban,"34,955",887,178,"17,287",178,127,471,"4,483","11,218",126
District - Rayagada,Total,"266,795","86,477","1,700","46,314","17,448",577,"2,396","69,211","42,163",509
District - Rayagada,Rural,"223,581","80,828","1,154","45,137","16,803",532,"1,570","54,645","22,466",446
District - Rayagada,Urban,"43,214","5,649",546,"1,177",645,45,826,"14,566","19,697",63
District - Nabarangapur,Total,"359,181","128,248","1,258","147,773","18,303",891,"2,950","43,987","15,194",577
District - Nabarangapur,Rural,"332,392","123,842","1,129","143,165","16,653",797,"2,269","35,600","8,603",334
District - Nabarangapur,Urban,"26,789","4,406",129,"4,608","1,650",94,681,"8,387","6,591",243
District - Koraput,Total,"436,787","157,904","1,398","17,360","80,070",732,"3,588","129,830","45,071",834
District - Koraput,Rural,"366,776","152,237",679,"15,584","76,355",586,"2,493","103,839","14,534",469
District - Koraput,Urban,"70,011","5,667",719,"1,776","3,715",146,"1,095","25,991","30,537",365
District - Malkangiri,Total,"176,810","57,301",435,"18,859","40,282",200,"1,092","49,909","7,971",761
District - Malkangiri,Rural,"162,610","55,315",366,"18,303","39,505",179,915,"42,324","4,962",741
District - Malkangiri,Urban,"14,200","1,986",69,556,777,21,177,"7,585","3,009",20
STATE - PUDUCHERRY,Total,"348,848","65,157","1,310","9,878","19,799","3,215","2,991","23,428","221,451","1,619"
STATE - PUDUCHERRY,Rural,"110,380","41,375",230,"4,472","7,022",746,959,"5,736","49,596",244
STATE - PUDUCHERRY,Urban,"238,468","23,782","1,080","5,406","12,777","2,469","2,032","17,692","171,855","1,375"
District - Yanam,Total,"14,544","1,652",2,234,566,8,51,583,"11,443",5
District - Yanam,Rural,0,0,0,0,0,0,0,0,0,0
District - Yanam,Urban,"14,544","1,652",2,234,566,8,51,583,"11,443",5
District - Puducherry,Total,"263,504","43,419","1,061","4,690","14,383","2,864","2,524","20,769","172,387","1,407"
District - Puducherry,Rural,"79,015","27,394",131,"2,001","5,860",653,797,"4,770","37,222",187
District - Puducherry,Urban,"184,489","16,025",930,"2,689","8,523","2,211","1,727","15,999","135,165","1,220"
District - Mahe,Total,"10,442",67,43,171,"2,836",11,37,189,"7,088",0
District - Mahe,Rural,0,0,0,0,0,0,0,0,0,0
District - Mahe,Urban,"10,442",67,43,171,"2,836",11,37,189,"7,088",0
District - Karaikal,Total,"60,358","20,019",204,"4,783","2,014",332,379,"1,887","30,533",207
District - Karaikal,Rural,"31,365","13,981",99,"2,471","1,162",93,162,966,"12,374",57
District - Karaikal,Urban,"28,993","6,038",105,"2,312",852,239,217,921,"18,159",150
STATE - PUNJAB,Total,"7,139,767","565,370","22,889","867,072","117,770","1,750,008","81,086","173,140","3,525,752","36,680"
STATE - PUNJAB,Rural,"4,325,977","437,821","9,251","750,430","91,819","1,371,628","51,704","121,195","1,468,297","23,832"
STATE - PUNJAB,Urban,"2,813,790","127,549","13,638","116,642","25,951","378,380","29,382","51,945","2,057,455","12,848"
District - Gurdaspur,Total,"562,421","59,169","1,345","52,883","6,079","44,099","8,508","12,959","375,235","2,144"
District - Gurdaspur,Rural,"396,535","49,184",833,"48,815","5,383","38,296","7,112","10,244","235,018","1,650"
District - Gurdaspur,Urban,"165,886","9,985",512,"4,068",696,"5,803","1,396","2,715","140,217",494
District - Kapurthala,Total,"229,661","12,618",790,"30,060","3,355","61,886","1,805","4,992","112,907","1,248"
District - Kapurthala,Rural,"148,825","9,214",500,"25,814","2,812","51,512","1,220","3,533","53,582",638
District - Kapurthala,Urban,"80,836","3,404",290,"4,246",543,"10,374",585,"1,459","59,325",610
District - Jalandhar,Total,"611,159","30,317","1,697","55,296","8,166","159,040","6,393","12,985","334,010","3,255"
District - Jalandhar,Rural,"284,276","18,117",430,"41,733","5,098","119,892","3,205","6,378","87,860","1,563"
District - Jalandhar,Urban,"326,883","12,200","1,267","13,563","3,068","39,148","3,188","6,607","246,150","1,692"
District - Hoshiarpur,Total,"486,618","25,165","1,811","42,410","6,579","107,670","10,128","36,554","253,198","3,103"
District - Hoshiarpur,Rural,"379,021","21,616","1,073","37,574","5,508","97,970","9,359","33,335","170,116","2,470"
District - Hoshiarpur,Urban,"107,597","3,549",738,"4,836","1,071","9,700",769,"3,219","83,082",633
District - Shahid Bhagat Singh Nagar,Total,"196,689","9,574",452,"15,622",946,"87,789","2,055","7,474","71,124","1,653"
District - Shahid Bhagat Singh Nagar,Rural,"158,728","7,858",199,"13,495",593,"78,313","1,649","6,372","49,002","1,247"
District - Shahid Bhagat Singh Nagar,Urban,"37,961","1,716",253,"2,127",353,"9,476",406,"1,102","22,122",406
District - Fatehgarh Sahib,Total,"160,116","9,625",412,"6,994","1,563","36,102","1,831","5,914","96,268","1,407"
District - Fatehgarh Sahib,Rural,"108,852","8,535",197,"6,167","1,235","29,548","1,231","4,178","56,567","1,194"
District - Fatehgarh Sahib,Urban,"51,264","1,090",215,827,328,"6,554",600,"1,736","39,701",213
District - Ludhiana,Total,"934,122","31,319","5,031","49,975","8,573","207,772","11,968","19,579","595,396","4,509"
District - Ludhiana,Rural,"357,575","16,438",666,"38,690","4,391","143,374","4,716","8,447","138,596","2,257"
District - Ludhiana,Urban,"576,547","14,881","4,365","11,285","4,182","64,398","7,252","11,132","456,800","2,252"
District - Moga,Total,"268,577","28,804",797,"71,711","7,014","68,804","4,476","3,580","82,721",670
District - Moga,Rural,"201,548","25,683",339,"64,998","6,040","58,266","3,399","2,471","39,936",416
District - Moga,Urban,"67,029","3,121",458,"6,713",974,"10,538","1,077","1,109","42,785",254
District - Firozpur,Total,"473,301","66,385","1,211","96,074","13,646","142,589","4,132","5,787","140,811","2,666"
District - Firozpur,Rural,"334,811","56,427",683,"80,017","11,141","109,740","2,798","4,136","67,721","2,148"
District - Firozpur,Urban,"138,490","9,958",528,"16,057","2,505","32,849","1,334","1,651","73,090",518
District - Muktsar,Total,"211,456","28,821",549,"25,900","7,030","95,339","2,050","2,744","48,309",714
District - Muktsar,Rural,"144,502","25,385",328,"19,512","5,555","71,241","1,121","1,956","18,861",543
District - Muktsar,Urban,"66,954","3,436",221,"6,388","1,475","24,098",929,788,"29,448",171
District - Faridkot,Total,"149,489","9,594",337,"38,482","6,650","35,555",984,"2,037","54,974",876
District - Faridkot,Rural,"95,313","7,132",150,"32,525","5,722","26,916",665,"1,452","20,085",666
District - Faridkot,Urban,"54,176","2,462",187,"5,957",928,"8,639",319,585,"34,889",210
District - Bathinda,Total,"326,915","19,547",975,"23,361","5,163","158,958","3,008","10,613","104,283","1,007"
District - Bathinda,Rural,"204,994","15,155",391,"21,231","4,353","124,384","1,876","8,376","28,623",605
District - Bathinda,Urban,"121,921","4,392",584,"2,130",810,"34,574","1,132","2,237","75,660",402
District - Mansa,Total,"183,435","22,948",310,"26,619","3,002","78,439","1,531","2,472","47,702",412
District - Mansa,Rural,"138,748","20,516",191,"25,196","2,722","62,491","1,076","1,695","24,644",217
District - Mansa,Urban,"44,687","2,432",119,"1,423",280,"15,948",455,777,"23,058",195
District - Patiala,Total,"477,607","44,639","1,706","57,521","8,995","97,058","4,778","8,502","251,551","2,857"
District - Patiala,Rural,"281,158","36,256",572,"53,500","7,789","79,191","2,305","5,379","94,393","1,773"
District - Patiala,Urban,"196,449","8,383","1,134","4,021","1,206","17,867","2,473","3,123","157,158","1,084"
District - Amritsar,Total,"612,122","62,790","1,808","79,255","7,864","82,034","4,614","7,426","362,779","3,552"
District - Amritsar,Rural,"261,685","36,844",719,"65,768","5,277","49,565","1,972","3,366","96,685","1,489"
District - Amritsar,Urban,"350,437","25,946","1,089","13,487","2,587","32,469","2,642","4,060","266,094","2,063"
District - Tarn Taran,Total,"251,637","24,658",828,"91,791","10,171","41,035","2,236","2,766","76,954","1,198"
District - Tarn Taran,Rural,"212,722","20,481",640,"86,070","9,083","37,413","1,864","2,323","53,790","1,058"
District - Tarn Taran,Urban,"38,915","4,177",188,"5,721","1,088","3,622",372,443,"23,164",140
District - Rupnagar,Total,"185,555","15,240",622,"6,809","2,317","15,099","1,610","6,973","135,883","1,002"
District - Rupnagar,Rural,"135,099","13,352",338,"5,874","1,300","11,638","1,307","6,019","94,529",742
District - Rupnagar,Urban,"50,456","1,888",284,935,"1,017","3,461",303,954,"41,354",260
District - Sahibzada Ajit Singh Nagar,Total,"255,432","29,892",953,"10,337","3,999","14,346","3,139","9,921","181,854",991
District - Sahibzada Ajit Singh Nagar,Rural,"107,952","24,487",397,"8,547","2,973","10,141",974,"4,600","55,359",474
District - Sahibzada Ajit Singh Nagar,Urban,"147,480","5,405",556,"1,790","1,026","4,205","2,165","5,321","126,495",517
District - Sangrur,Total,"418,327","27,325",963,"62,013","5,394","151,869","4,344","7,398","156,598","2,423"
District - Sangrur,Rural,"277,535","19,888",459,"54,587","3,985","123,031","2,755","5,091","65,705","2,034"
District - Sangrur,Urban,"140,792","7,437",504,"7,426","1,409","28,838","1,589","2,307","90,893",389
District - Barnala,Total,"145,128","6,940",292,"23,959","1,264","64,525","1,496","2,464","43,195",993
District - Barnala,Rural,"96,098","5,253",146,"20,317",859,"48,706","1,100","1,844","17,225",648
District - Barnala,Urban,"49,030","1,687",146,"3,642",405,"15,819",396,620,"25,970",345
STATE - RAJASTHAN,Total,"16,152,834","2,182,197","56,908","1,730,515","329,312","708,094","8,178,323","999,639","1,884,448","83,398"
STATE - RAJASTHAN,Rural,"12,063,832","2,060,434","41,748","1,677,868","301,277","502,021","5,918,405","782,466","715,675","63,938"
STATE - RAJASTHAN,Urban,"4,089,002","121,763","15,160","52,647","28,035","206,073","2,259,918","217,173","1,168,773","19,460"
District - Ganganagar,Total,"500,677","209,101",521,"3,624",712,"246,077","5,092","4,682","30,025",843
District - Ganganagar,Rural,"357,415","191,203",264,"2,304",468,"153,430","1,681","2,987","4,478",600
District - Ganganagar,Urban,"143,262","17,898",257,"1,320",244,"92,647","3,411","1,695","25,547",243
District - Hanumangarh,Total,"454,087","187,535",480,"4,730",648,"181,167","47,153","3,339","26,770","2,265"
District - Hanumangarh,Rural,"359,152","170,129",256,"4,151",417,"139,399","33,314","2,191","7,184","2,111"
District - Hanumangarh,Urban,"94,935","17,406",224,579,231,"41,768","13,839","1,148","19,586",154
District - Bikaner,Total,"453,045","125,976",694,"1,440","3,811","23,706","274,001","7,755","13,480","2,182"
District - Bikaner,Rural,"287,379","119,928",423,"1,071","1,928","17,501","133,906","4,554","6,589","1,479"
District - Bikaner,Urban,"165,666","6,048",271,369,"1,883","6,205","140,095","3,201","6,891",703
District - Churu,Total,"440,005","47,972",407,880,"1,595","14,374","340,861","15,212","10,732","7,972"
District - Churu,Rural,"314,941","45,427",278,663,"1,095","11,641","232,819","10,821","5,484","6,713"
District - Churu,Urban,"125,064","2,545",129,217,500,"2,733","108,042","4,391","5,248","1,259"
District - Jhunjhunun,Total,"564,990","36,807",398,547,"1,406","30,288","378,911","47,307","66,441","2,885"
District - Jhunjhunun,Rural,"444,605","34,979",255,376,"1,042","21,562","298,843","41,055","44,567","1,926"
District - Jhunjhunun,Urban,"120,385","1,828",143,171,364,"8,726","80,068","6,252","21,874",959
District - Alwar,Total,"907,598","96,167","1,106","1,915","2,904","18,097","565,959","51,650","166,222","3,578"
District - Alwar,Rural,"731,275","93,508",839,"1,492","2,321","15,025","479,149","43,756","92,271","2,914"
District - Alwar,Urban,"176,323","2,659",267,423,583,"3,072","86,810","7,894","73,951",664
District - Bharatpur,Total,"577,588","65,327",766,"1,544","1,583","42,606","432,566","11,145","19,576","2,475"
District - Bharatpur,Rural,"460,874","62,713",577,"1,330","1,359","38,180","331,886","8,892","13,855","2,082"
District - Bharatpur,Urban,"116,714","2,614",189,214,224,"4,426","100,680","2,253","5,721",393
District - Dhaulpur,Total,"258,608","39,460",568,640,687,"8,290","192,740","5,544","9,148","1,531"
District - Dhaulpur,Rural,"205,356","36,398",395,538,465,"6,858","149,999","4,316","5,334","1,053"
District - Dhaulpur,Urban,"53,252","3,062",173,102,222,"1,432","42,741","1,228","3,814",478
District - Karauli,Total,"338,927","17,494",209,"1,917",907,"4,075","280,974","1,968","30,819",564
District - Karauli,Rural,"286,902","16,685",177,"1,827",696,"2,807","241,565","1,479","21,145",521
District - Karauli,Urban,"52,025",809,32,90,211,"1,268","39,409",489,"9,674",43
District - Sawai Madhopur,Total,"326,049","36,998",741,"36,257","1,777","4,648","196,603","12,177","33,983","2,865"
District - Sawai Madhopur,Rural,"264,060","35,382",568,"35,673","1,473","3,188","155,917","9,754","19,935","2,170"
District - Sawai Madhopur,Urban,"61,989","1,616",173,584,304,"1,460","40,686","2,423","14,048",695
District - Dausa,Total,"388,743","41,228",316,"1,075",949,"2,901","274,328","10,475","56,306","1,165"
District - Dausa,Rural,"337,831","40,527",274,"1,028",782,"2,579","242,840","9,021","39,713","1,067"
District - Dausa,Urban,"50,912",701,42,47,167,322,"31,488","1,454","16,593",98
District - Jaipur,Total,"1,516,302","93,154","3,370","2,911","5,496","13,587","661,393","146,576","582,862","6,953"
District - Jaipur,Rural,"683,477","85,822","1,162","1,288","1,806","5,188","404,474","68,492","112,233","3,012"
District - Jaipur,Urban,"832,825","7,332","2,208","1,623","3,690","8,399","256,919","78,084","470,629","3,941"
District - Sikar,Total,"623,309","38,016",980,786,"1,833","12,820","494,564","36,055","34,785","3,470"
District - Sikar,Rural,"477,740","36,221",455,636,"1,456","9,450","383,994","30,726","12,520","2,282"
District - Sikar,Urban,"145,569","1,795",525,150,377,"3,370","110,570","5,329","22,265","1,188"
District - Nagaur,Total,"741,183","59,871","1,314","1,727","1,639","5,621","588,650","43,541","33,966","4,854"
District - Nagaur,Rural,"599,208","57,417",953,"1,447","1,022","4,088","464,691","39,328","26,249","4,013"
District - Nagaur,Urban,"141,975","2,454",361,280,617,"1,533","123,959","4,213","7,717",841
District - Jodhpur,Total,"773,262","121,930","2,783","5,790","4,054","8,205","536,982","34,379","55,858","3,281"
District - Jodhpur,Rural,"508,293","117,793","1,184","4,353","2,148","3,804","320,209","28,906","27,624","2,272"
District - Jodhpur,Urban,"264,969","4,137","1,599","1,437","1,906","4,401","216,773","5,473","28,234","1,009"
District - Jaisalmer,Total,"149,457","58,445",454,457,624,"1,020","60,263","8,821","18,109","1,264"
District - Jaisalmer,Rural,"127,348","54,519",323,412,564,807,"45,316","8,275","16,037","1,095"
District - Jaisalmer,Urban,"22,109","3,926",131,45,60,213,"14,947",546,"2,072",169
District - Barmer,Total,"532,081","220,511","1,523","16,540","5,456","3,717","137,257","124,146","15,876","7,055"
District - Barmer,Rural,"487,327","218,721","1,385","16,271","5,185","2,412","104,095","121,309","11,324","6,625"
District - Barmer,Urban,"44,754","1,790",138,269,271,"1,305","33,162","2,837","4,552",430
District - Jalor,Total,"395,007","47,463","1,480","74,411","41,654","2,888","101,405","91,089","31,380","3,237"
District - Jalor,Rural,"357,322","45,419","1,288","71,879","40,878","2,282","84,754","85,586","22,343","2,893"
District - Jalor,Urban,"37,685","2,044",192,"2,532",776,606,"16,651","5,503","9,037",344
District - Sirohi,Total,"250,255","22,591","2,280","68,607","12,962","1,482","83,734","24,399","33,034","1,166"
District - Sirohi,Rural,"194,916","20,506","1,932","64,109","12,260","1,149","60,554","18,508","15,177",721
District - Sirohi,Urban,"55,339","2,085",348,"4,498",702,333,"23,180","5,891","17,857",445
District - Pali,Total,"534,973","42,528","1,665","71,327","6,574","7,818","335,671","43,526","23,595","2,269"
District - Pali,Rural,"420,395","39,801","1,238","67,718","5,946","6,090","254,718","32,152","10,968","1,764"
District - Pali,Urban,"114,578","2,727",427,"3,609",628,"1,728","80,953","11,374","12,627",505
District - Ajmer,Total,"607,674","55,213","1,142","17,221","5,129","9,539","445,021","18,771","53,966","1,672"
District - Ajmer,Rural,"364,222","52,952",730,"16,597","2,821","6,108","260,652","10,628","12,765",969
District - Ajmer,Urban,"243,452","2,261",412,624,"2,308","3,431","184,369","8,143","41,201",703
District - Tonk,Total,"352,085","78,479",797,"46,084","3,050","2,300","139,432","49,609","30,705","1,629"
District - Tonk,Rural,"280,350","73,234",614,"44,609","2,742","1,627","99,026","44,191","12,875","1,432"
District - Tonk,Urban,"71,735","5,245",183,"1,475",308,673,"40,406","5,418","17,830",197
District - Bundi,Total,"277,278","21,702","2,259","78,548","6,670","4,943","117,086","29,514","15,625",931
District - Bundi,Rural,"220,312","20,014","1,856","75,786","6,303","3,580","79,987","26,229","5,775",782
District - Bundi,Urban,"56,966","1,688",403,"2,762",367,"1,363","37,099","3,285","9,850",149
District - Bhilwara,Total,"620,293","74,193","1,178","105,081","14,357","21,142","332,505","16,099","54,088","1,650"
District - Bhilwara,Rural,"492,126","70,724",923,"102,482","12,343","17,590","260,451","12,343","13,858","1,412"
District - Bhilwara,Urban,"128,167","3,469",255,"2,599","2,014","3,552","72,054","3,756","40,230",238
District - Rajsamand,Total,"321,459","25,826",563,"43,182","2,391","6,337","215,531","6,072","20,432","1,125"
District - Rajsamand,Rural,"269,649","24,424",455,"42,682","2,037","5,543","179,075","4,848","9,627",958
District - Rajsamand,Urban,"51,810","1,402",108,500,354,794,"36,456","1,224","10,805",167
District - Dungarpur,Total,"327,917","31,423",845,"149,008","61,509","1,340","52,101","5,656","25,474",561
District - Dungarpur,Rural,"302,513","29,946",806,"147,025","60,433","1,118","42,184","4,925","15,582",494
District - Dungarpur,Urban,"25,404","1,477",39,"1,983","1,076",222,"9,917",731,"9,892",67
District - Banswara,Total,"409,902","54,755","6,559","220,960","31,321","1,617","44,806","9,674","39,276",934
District - Banswara,Rural,"375,602","52,373","6,487","219,080","30,746","1,212","33,800","7,625","23,566",713
District - Banswara,Urban,"34,300","2,382",72,"1,880",575,405,"11,006","2,049","15,710",221
District - Chittaurgarh,Total,"418,290","39,027","2,763","106,229","17,166","4,285","171,886","20,792","54,204","1,938"
District - Chittaurgarh,Rural,"340,732","37,065","2,101","103,546","16,062","3,781","137,609","15,510","23,388","1,670"
District - Chittaurgarh,Urban,"77,558","1,962",662,"2,683","1,104",504,"34,277","5,282","30,816",268
District - Kota,Total,"467,092","22,455","5,072","60,424","7,440","4,536","213,745","44,329","105,483","3,608"
District - Kota,Rural,"188,290","16,328","1,549","57,045","5,733","2,110","68,606","24,761","10,529","1,629"
District - Kota,Urban,"278,802","6,127","3,523","3,379","1,707","2,426","145,139","19,568","94,954","1,979"
District - Baran,Total,"297,760","31,051","3,213","96,687","14,275","2,932","94,970","22,033","29,621","2,978"
District - Baran,Rural,"234,760","27,261","2,567","89,850","12,528","2,402","66,723","17,622","13,121","2,686"
District - Baran,Urban,"63,000","3,790",646,"6,837","1,747",530,"28,247","4,411","16,500",292
District - Jhalawar,Total,"341,444","31,470","4,719","97,048","27,126","4,284","134,910","21,040","18,169","2,678"
District - Jhalawar,Rural,"284,176","29,158","4,213","94,834","26,256","3,070","98,434","17,831","7,990","2,390"
District - Jhalawar,Urban,"57,268","2,312",506,"2,214",870,"1,214","36,476","3,209","10,179",288
District - Udaipur,Total,"766,187","89,208","2,942","299,664","24,421","10,106","191,791","15,707","131,012","1,336"
District - Udaipur,Rural,"606,414","85,612","2,576","293,560","23,198","5,506","141,369","10,094","43,429","1,070"
District - Udaipur,Urban,"159,773","3,596",366,"6,104","1,223","4,600","50,422","5,613","87,583",266
District - Pratapgarh,Total,"219,307","18,821","2,801","113,254","17,186","1,346","35,432","16,557","13,426",484
District - Pratapgarh,Rural,"198,870","18,245","2,645","112,206","16,764",934,"25,765","13,751","8,140",420
District - Pratapgarh,Urban,"20,437",576,156,"1,048",422,412,"9,667","2,806","5,286",64
STATE - SIKKIM,Total,"151,772","8,176","1,420",351,126,645,"1,781","99,761","39,339",173
STATE - SIKKIM,Rural,"105,001","7,740","1,211",292,73,198,"1,069","81,634","12,642",142
STATE - SIKKIM,Urban,"46,771",436,209,59,53,447,712,"18,127","26,697",31
District - North  District,Total,"11,017",932,128,31,25,31,268,"7,796","1,788",18
District - North  District,Rural,"9,303",906,126,26,24,28,267,"7,065",844,17
District - North  District,Urban,"1,714",26,2,5,1,3,1,731,944,1
District - West District,Total,"31,618","2,572",337,142,26,30,238,"24,923","3,310",40
District - West District,Rural,"29,974","2,553",318,132,26,30,233,"24,185","2,459",38
District - West District,Urban,"1,644",19,19,10,0,0,5,738,851,2
District - South District,Total,"34,964","2,249",388,93,33,55,286,"24,670","7,156",34
District - South District,Rural,"28,661","2,218",360,84,17,43,217,"22,460","3,232",30
District - South District,Urban,"6,303",31,28,9,16,12,69,"2,210","3,924",4
District - East District,Total,"74,173","2,423",567,85,42,529,989,"42,372","27,085",81
District - East District,Rural,"37,063","2,063",407,50,6,97,352,"27,924","6,107",57
District - East District,Urban,"37,110",360,160,35,36,432,637,"14,448","20,978",24
STATE - TAMIL NADU,Total,"21,398,122","3,320,518","31,372","1,837,224","4,135,387","278,621","286,576","1,774,153","9,649,601","84,670"
STATE - TAMIL NADU,Rural,"10,930,031","2,597,132","15,014","1,073,766","2,538,350","121,965","122,731","873,511","3,550,103","37,459"
STATE - TAMIL NADU,Urban,"10,468,091","723,386","16,358","763,458","1,597,037","156,656","163,845","900,642","6,099,498","47,211"
District - Thiruvallur,Total,"1,056,332","153,277","2,320","53,052","62,222","7,488","21,553","91,596","662,047","2,777"
District - Thiruvallur,Rural,"364,218","98,829",775,"25,791","30,572","2,342","6,882","32,602","165,234","1,191"
District - Thiruvallur,Urban,"692,114","54,448","1,545","27,261","31,650","5,146","14,671","58,994","496,813","1,586"
District - Chennai,Total,"1,260,298","44,059","3,387","24,678","35,779","18,021","27,701","106,705","994,617","5,351"
District - Chennai,Rural,0,0,0,0,0,0,0,0,0,0
District - Chennai,Urban,"1,260,298","44,059","3,387","24,678","35,779","18,021","27,701","106,705","994,617","5,351"
District - Kancheepuram,Total,"1,134,127","200,576","2,265","64,879","53,889","8,753","20,219","101,594","678,921","3,031"
District - Kancheepuram,Rural,"405,261","133,013",816,"31,628","25,997","2,751","5,891","32,128","171,761","1,276"
District - Kancheepuram,Urban,"728,866","67,563","1,449","33,251","27,892","6,002","14,328","69,466","507,160","1,755"
District - Vellore,Total,"1,070,716","199,948","1,410","99,320","81,628","7,038","13,413","84,928","578,614","4,417"
District - Vellore,Rural,"609,543","153,045",761,"56,003","51,892","2,924","7,527","51,762","283,868","1,761"
District - Vellore,Urban,"461,173","46,903",649,"43,317","29,736","4,114","5,886","33,166","294,746","2,656"
District - Tiruvannamalai,Total,"664,904","150,683",870,"81,561","69,464","3,194","6,694","47,598","303,079","1,761"
District - Tiruvannamalai,Rural,"526,747","138,470",687,"65,293","59,151","2,078","5,152","39,796","214,788","1,332"
District - Tiruvannamalai,Urban,"138,157","12,213",183,"16,268","10,313","1,116","1,542","7,802","88,291",429
District - Viluppuram,Total,"904,882","335,295","1,403","49,767","98,241","6,180","9,375","54,189","348,272","2,160"
District - Viluppuram,Rural,"756,679","312,598","1,056","43,389","84,022","4,236","7,140","46,014","256,353","1,871"
District - Viluppuram,Urban,"148,203","22,697",347,"6,378","14,219","1,944","2,235","8,175","91,919",289
District - Salem,Total,"1,076,495","180,448",950,"62,911","341,102","4,526","8,406","89,125","387,148","1,879"
District - Salem,Rural,"525,262","134,215",528,"29,776","164,187","1,988","4,153","55,128","134,419",868
District - Salem,Urban,"551,233","46,233",422,"33,135","176,915","2,538","4,253","33,997","252,729","1,011"
District - Namakkal,Total,"572,919","73,198",571,"33,324","191,027","2,193","5,754","71,862","193,746","1,244"
District - Namakkal,Rural,"335,606","58,384",344,"18,364","111,386","1,299","3,640","48,082","93,498",609
District - Namakkal,Urban,"237,313","14,814",227,"14,960","79,641",894,"2,114","23,780","100,248",635
District - Erode,Total,"773,768","87,515",866,"80,284","253,131","3,685","9,648","88,035","248,805","1,799"
District - Erode,Rural,"373,593","60,739",467,"42,508","133,722","1,717","4,866","43,709","85,002",863
District - Erode,Urban,"400,175","26,776",399,"37,776","119,409","1,968","4,782","44,326","163,803",936
District - The Nilgiris,Total,"229,918","3,506","1,418","23,086","96,997",988,"3,842","42,135","56,884","1,062"
District - The Nilgiris,Rural,"95,835","1,829",711,"9,602","45,508",295,"1,374","14,776","21,360",380
District - The Nilgiris,Urban,"134,083","1,677",707,"13,484","51,489",693,"2,468","27,359","35,524",682
District - Dindigul,Total,"655,487","70,597",991,"63,863","199,807","4,064","9,932","74,982","226,718","4,533"
District - Dindigul,Rural,"404,310","51,741",739,"40,031","144,657","2,503","5,793","49,946","106,848","2,052"
District - Dindigul,Urban,"251,177","18,856",252,"23,832","55,150","1,561","4,139","25,036","119,870","2,481"
District - Karur,Total,"333,871","34,209",275,"24,537","91,122","1,972","4,016","46,927","129,752","1,061"
District - Karur,Rural,"193,392","24,869",132,"16,287","63,553",937,"2,185","27,619","57,240",570
District - Karur,Urban,"140,479","9,340",143,"8,250","27,569","1,035","1,831","19,308","72,512",491
District - Tiruchirappalli,Total,"807,010","117,525",732,"48,585","171,850","6,711","7,923","50,213","399,739","3,732"
District - Tiruchirappalli,Rural,"410,053","82,658",427,"28,255","117,475","2,378","3,616","28,573","145,396","1,275"
District - Tiruchirappalli,Urban,"396,957","34,867",305,"20,330","54,375","4,333","4,307","21,640","254,343","2,457"
