Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
District - Khammam,Rural," 	578,490 "," 	505,386 "," 	65,166 "," 	1,453 "," 	2,089 ", 	778 ," 	3,618 "
District - Khammam,Urban," 	169,096 "," 	163,133 "," 	4,856 ", 	320 , 	168 , 	190 , 	429 
District - Srikakulam,Total," 	689,323 "," 	615,432 "," 	69,572 ", 	931 ," 	1,396 ", 	256 ," 	1,736 "
District - Srikakulam,Rural," 	580,048 "," 	510,272 "," 	65,946 ", 	850 ," 	1,315 ", 	223 ," 	1,442 "
District - Srikakulam,Urban," 	109,275 "," 	105,160 "," 	3,626 ", 	81 , 	81 , 	33 , 	294 
District - Vizianagaram,Total," 	596,605 "," 	527,736 "," 	65,540 ", 	758 ," 	1,166 ", 	195 ," 	1,210 "
District - Vizianagaram,Rural," 	475,145 "," 	411,882 "," 	60,417 ", 	642 , 	988 , 	175 ," 	1,041 "
District - Vizianagaram,Urban," 	121,460 "," 	115,854 "," 	5,123 ", 	116 , 	178 , 	20 , 	169 
District - Visakhapatnam,Total," 	1,126,166 "," 	1,010,250 "," 	106,249 "," 	4,369 "," 	1,966 ", 	548 ," 	2,784 "
District - Visakhapatnam,Rural," 	583,474 "," 	485,509 "," 	92,084 "," 	2,078 "," 	1,572 ", 	370 ," 	1,861 "
District - Visakhapatnam,Urban," 	542,692 "," 	524,741 "," 	14,165 "," 	2,291 ", 	394 , 	178 , 	923 
District - East Godavari,Total," 	1,407,410 "," 	1,297,273 "," 	102,146 "," 	2,776 "," 	1,397 ", 	523 ," 	3,295 "
District - East Godavari,Rural," 	1,063,044 "," 	962,059 "," 	94,372 "," 	2,161 "," 	1,170 ", 	421 ," 	2,861 "
District - East Godavari,Urban," 	344,366 "," 	335,214 "," 	7,774 ", 	615 , 	227 , 	102 , 	434 
District - West Godavari,Total," 	1,075,780 "," 	1,017,568 "," 	52,448 "," 	1,026 "," 	1,246 ", 	316 ," 	3,176 "
District - West Godavari,Rural," 	870,607 "," 	817,534 "," 	48,102 ", 	812 ," 	1,128 ", 	286 ," 	2,745 "
District - West Godavari,Urban," 	205,173 "," 	200,034 "," 	4,346 ", 	214 , 	118 , 	30 , 	431 
District - Krishna,Total," 	1,227,257 "," 	1,163,932 "," 	53,310 "," 	3,440 "," 	1,850 ", 	660 ," 	4,065 "
District - Krishna,Rural," 	754,361 "," 	701,904 "," 	45,622 "," 	1,956 "," 	1,355 ", 	463 ," 	3,061 "
District - Krishna,Urban," 	472,896 "," 	462,028 "," 	7,688 "," 	1,484 ", 	495 , 	197 ," 	1,004 "
District - Guntur,Total," 	1,287,831 "," 	1,186,028 "," 	90,231 "," 	2,960 "," 	2,187 "," 	1,001 "," 	5,424 "
District - Guntur,Rural," 	877,109 "," 	791,217 "," 	77,239 "," 	1,705 "," 	1,697 ", 	741 ," 	4,510 "
District - Guntur,Urban," 	410,722 "," 	394,811 "," 	12,992 "," 	1,255 ", 	490 , 	260 , 	914 
District - Prakasam,Total," 	857,276 "," 	763,746 "," 	84,769 "," 	1,920 "," 	1,893 ", 	502 ," 	4,446 "
District - Prakasam,Rural," 	692,542 "," 	606,603 "," 	78,484 "," 	1,551 "," 	1,618 ", 	415 ," 	3,871 "
District - Prakasam,Urban," 	164,734 "," 	157,143 "," 	6,285 ", 	369 , 	275 , 	87 , 	575 
District - Sri Potti Sriramulu Nellore,Total," 	772,625 "," 	696,024 "," 	71,049 "," 	1,098 "," 	1,377 ", 	523 ," 	2,554 "
District - Sri Potti Sriramulu Nellore,Rural," 	567,914 "," 	498,049 "," 	65,361 ", 	740 ," 	1,077 ", 	443 ," 	2,244 "
District - Sri Potti Sriramulu Nellore,Urban," 	204,711 "," 	197,975 "," 	5,688 ", 	358 , 	300 , 	80 , 	310 
District - Y.s.r.,Total," 	703,136 "," 	671,764 "," 	27,291 "," 	1,709 ", 	674 , 	409 ," 	1,289 "
District - Y.s.r.,Rural," 	475,919 "," 	449,954 "," 	23,102 "," 	1,023 ", 	517 , 	313 ," 	1,010 "
District - Y.s.r.,Urban," 	227,217 "," 	221,810 "," 	4,189 ", 	686 , 	157 , 	96 , 	279 
District - Kurnool,Total," 	877,182 "," 	816,721 "," 	50,591 "," 	3,649 "," 	1,806 ", 	779 ," 	3,636 "
