Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
District - Yamunanagar,Urban," 	95,154 "," 	93,032 "," 	1,544 ", 	96 , 	50 , 	221 , 	211 
District - Kurukshetra,Total," 	179,391 "," 	171,908 "," 	6,361 ", 	65 , 	182 , 	595 , 	280 
District - Kurukshetra,Rural," 	126,220 "," 	120,028 "," 	5,447 ", 	57 , 	147 , 	351 , 	190 
District - Kurukshetra,Urban," 	53,171 "," 	51,880 ", 	914 , 	8 , 	35 , 	244 , 	90 
District - Kaithal,Total," 	200,221 "," 	187,349 "," 	10,675 ", 	108 , 	432 , 	692 , 	965 
District - Kaithal,Rural," 	154,438 "," 	143,624 "," 	9,255 ", 	83 , 	352 , 	377 , 	747 
District - Kaithal,Urban," 	45,783 "," 	43,725 "," 	1,420 ", 	25 , 	80 , 	315 , 	218 
District - Karnal,Total," 	284,551 "," 	267,223 "," 	13,405 ", 	316 , 	681 ," 	1,751 "," 	1,175 "
District - Karnal,Rural," 	194,003 "," 	179,174 "," 	11,726 ", 	241 , 	509 ," 	1,389 ", 	964 
District - Karnal,Urban," 	90,548 "," 	88,049 "," 	1,679 ", 	75 , 	172 , 	362 , 	211 
District - Panipat,Total," 	220,388 "," 	209,965 "," 	7,896 ", 	280 , 	254 ," 	1,183 ", 	810 
District - Panipat,Rural," 	114,922 "," 	107,572 "," 	5,558 ", 	202 , 	148 ," 	1,043 ", 	399 
District - Panipat,Urban," 	105,466 "," 	102,393 "," 	2,338 ", 	78 , 	106 , 	140 , 	411 
District - Sonipat,Total," 	269,658 "," 	253,054 "," 	13,984 ", 	213 , 	464 , 	899 ," 	1,044 "
District - Sonipat,Rural," 	180,286 "," 	166,412 "," 	12,050 ", 	137 , 	355 , 	588 , 	744 
District - Sonipat,Urban," 	89,372 "," 	86,642 "," 	1,934 ", 	76 , 	109 , 	311 , 	300 
District - Jind,Total," 	244,582 "," 	222,462 "," 	19,055 ", 	205 , 	570 ," 	1,359 ", 	931 
District - Jind,Rural," 	187,059 "," 	167,911 "," 	16,749 ", 	184 , 	472 ," 	1,061 ", 	682 
District - Jind,Urban," 	57,523 "," 	54,551 "," 	2,306 ", 	21 , 	98 , 	298 , 	249 
District - Fatehabad,Total," 	176,094 "," 	153,301 "," 	18,463 ", 	413 , 	722 ," 	1,494 "," 	1,701 "
District - Fatehabad,Rural," 	141,266 "," 	119,934 "," 	17,624 ", 	408 , 	691 ," 	1,322 "," 	1,287 "
District - Fatehabad,Urban," 	34,828 "," 	33,367 ", 	839 , 	5 , 	31 , 	172 , 	414 
District - Sirsa,Total," 	240,217 "," 	215,527 "," 	20,796 ", 	448 , 	856 ," 	1,030 "," 	1,560 "
District - Sirsa,Rural," 	178,789 "," 	156,134 "," 	19,558 ", 	334 , 	757 , 	728 ," 	1,278 "
District - Sirsa,Urban," 	61,428 "," 	59,393 "," 	1,238 ", 	114 , 	99 , 	302 , 	282 
District - Hisar,Total," 	325,046 "," 	285,004 "," 	33,599 ", 	763 ," 	1,485 "," 	2,454 "," 	1,741 "
District - Hisar,Rural," 	221,028 "," 	185,842 "," 	30,062 ", 	685 ," 	1,289 "," 	1,966 "," 	1,184 "
District - Hisar,Urban," 	104,018 "," 	99,162 "," 	3,537 ", 	78 , 	196 , 	488 , 	557 
District - Bhiwani,Total," 	308,812 "," 	266,244 "," 	38,362 ", 	347 , 	794 ," 	1,429 "," 	1,636 "
District - Bhiwani,Rural," 	245,761 "," 	207,729 "," 	34,862 ", 	317 , 	662 , 	911 ," 	1,280 "
District - Bhiwani,Urban," 	63,051 "," 	58,515 "," 	3,500 ", 	30 , 	132 , 	518 , 	356 
District - Rohtak,Total," 	202,933 "," 	193,120 "," 	8,089 ", 	171 , 	273 , 	592 , 	688 
District - Rohtak,Rural," 	115,506 "," 	107,878 "," 	6,485 ", 	114 , 	183 , 	329 , 	517 
District - Rohtak,Urban," 	87,427 "," 	85,242 "," 	1,604 ", 	57 , 	90 , 	263 , 	171 
District - Jhajjar,Total," 	183,400 "," 	168,558 "," 	12,717 ", 	170 , 	702 , 	684 , 	569 
District - Jhajjar,Rural," 	134,340 "," 	121,439 "," 	11,437 ", 	156 , 	357 , 	529 , 	422 
District - Jhajjar,Urban," 	49,060 "," 	47,119 "," 	1,280 ", 	14 , 	345 , 	155 , 	147 
District - Mahendragarh,Total," 	168,525 "," 	135,455 "," 	31,034 ", 	207 , 	494 , 	553 , 	782 
District - Mahendragarh,Rural," 	145,235 "," 	113,554 "," 	29,852 ", 	191 , 	464 , 	479 , 	695 
District - Mahendragarh,Urban," 	23,290 "," 	21,901 "," 	1,182 ", 	16 , 	30 , 	74 , 	87 
District - Rewari,Total," 	169,128 "," 	152,651 "," 	14,409 ", 	330 , 	450 , 	420 , 	868 
District - Rewari,Rural," 	126,261 "," 	111,136 "," 	13,399 ", 	292 , 	409 , 	353 , 	672 
District - Rewari,Urban," 	42,867 "," 	41,515 "," 	1,010 ", 	38 , 	41 , 	67 , 	196 
District - Gurgaon,Total," 	320,642 "," 	305,751 "," 	11,124 ", 	378 , 	525 ," 	1,792 "," 	1,072 "
District - Gurgaon,Rural," 	88,013 "," 	80,082 "," 	6,667 ", 	215 , 	289 , 	416 , 	344 
District - Gurgaon,Urban," 	232,629 "," 	225,669 "," 	4,457 ", 	163 , 	236 ," 	1,376 ", 	728 
District - Mewat,Total," 	157,020 "," 	96,309 "," 	56,534 ", 	754 , 	848 ," 	1,208 "," 	1,367 "
District - Mewat,Rural," 	137,261 "," 	79,109 "," 	54,447 ", 	733 , 	804 , 	961 ," 	1,207 "
District - Mewat,Urban," 	19,759 "," 	17,200 "," 	2,087 ", 	21 , 	44 , 	247 , 	160 
District - Faridabad,Total," 	353,066 "," 	333,171 "," 	14,433 ", 	752 , 	755 ," 	1,702 "," 	2,253 "
District - Faridabad,Rural," 	60,315 "," 	53,784 "," 	5,373 ", 	171 , 	181 , 	360 , 	446 
District - Faridabad,Urban," 	292,751 "," 	279,387 "," 	9,060 ", 	581 , 	574 ," 	1,342 "," 	1,807 "
District - Palwal,Total," 	167,810 "," 	132,606 "," 	31,452 ", 	497 , 	693 , 	908 ," 	1,654 "
District - Palwal,Rural," 	127,165 "," 	94,441 "," 	29,811 ", 	275 , 	601 , 	763 ," 	1,274 "
District - Palwal,Urban," 	40,645 "," 	38,165 "," 	1,641 ", 	222 , 	92 , 	145 , 	380 
STATE - HIMACHAL PRADESH,Total," 	1,476,581 "," 	1,428,783 "," 	41,589 "," 	1,834 "," 	1,187 "," 	1,286 "," 	1,902 "
STATE - HIMACHAL PRADESH,Rural," 	1,310,538 "," 	1,265,897 "," 	38,895 "," 	1,762 "," 	1,037 "," 	1,158 "," 	1,789 "
STATE - HIMACHAL PRADESH,Urban," 	166,043 "," 	162,886 "," 	2,694 ", 	72 , 	150 , 	128 , 	113 
District - Chamba,Total," 	101,972 "," 	96,082 "," 	5,539 ", 	110 , 	131 , 	34 , 	76 
District - Chamba,Rural," 	94,574 "," 	88,753 "," 	5,488 ", 	107 , 	119 , 	33 , 	74 
District - Chamba,Urban," 	7,398 "," 	7,329 ", 	51 , 	3 , 	12 , 	1 , 	2 
District - Kangra,Total," 	336,407 "," 	330,081 "," 	5,528 ", 	221 , 	173 , 	78 , 	326 
District - Kangra,Rural," 	316,419 "," 	310,502 "," 	5,175 ", 	199 , 	156 , 	72 , 	315 
District - Kangra,Urban," 	19,988 "," 	19,579 ", 	353 , 	22 , 	17 , 	6 , 	11 
District - Lahul & Spiti,Total," 	6,695 "," 	5,618 ", 	300 , 	752 , 	9 , 	7 , 	9 
District - Lahul & Spiti,Rural," 	6,695 "," 	5,618 ", 	300 , 	752 , 	9 , 	7 , 	9 
District - Lahul & Spiti,Urban, 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
District - Kullu,Total," 	95,545 "," 	91,322 "," 	3,943 ", 	45 , 	88 , 	53 , 	94 
District - Kullu,Rural," 	84,501 "," 	80,411 "," 	3,826 ", 	44 , 	87 , 	49 , 	84 
District - Kullu,Urban," 	11,044 "," 	10,911 ", 	117 , 	1 , 	1 , 	4 , 	10 
District - Mandi,Total," 	219,994 "," 	214,491 "," 	4,648 ", 	131 , 	188 , 	193 , 	343 
District - Mandi,Rural," 	204,051 "," 	198,748 "," 	4,510 ", 	129 , 	151 , 	173 , 	340 
District - Mandi,Urban," 	15,943 "," 	15,743 ", 	138 , 	2 , 	37 , 	20 , 	3 
District - Hamirpur,Total," 	105,068 "," 	104,120 ", 	795 , 	44 , 	28 , 	21 , 	60 
District - Hamirpur,Rural," 	97,893 "," 	97,034 ", 	708 , 	44 , 	27 , 	21 , 	59 
District - Hamirpur,Urban," 	7,175 "," 	7,086 ", 	87 , 	-00 , 	1 , 	-00 , 	1 
District - Una,Total," 	109,699 "," 	105,929 "," 	3,281 ", 	92 , 	101 , 	121 , 	175 
District - Una,Rural," 	99,791 "," 	96,544 "," 	2,822 ", 	87 , 	58 , 	112 , 	168 
District - Una,Urban," 	9,908 "," 	9,385 ", 	459 , 	5 , 	43 , 	9 , 	7 
District - Bilaspur,Total," 	80,453 "," 	79,146 "," 	1,169 ", 	33 , 	24 , 	23 , 	58 
District - Bilaspur,Rural," 	74,661 "," 	73,414 "," 	1,116 ", 	30 , 	24 , 	21 , 	56 
District - Bilaspur,Urban," 	5,792 "," 	5,732 ", 	53 , 	3 , 	-00 , 	2 , 	2 
District - Solan,Total," 	123,353 "," 	119,866 "," 	3,089 ", 	62 , 	73 , 	104 , 	159 
District - Solan,Rural," 	97,237 "," 	94,507 "," 	2,388 ", 	56 , 	70 , 	91 , 	125 
District - Solan,Urban," 	26,116 "," 	25,359 ", 	701 , 	6 , 	3 , 	13 , 	34 
District - Sirmaur,Total," 	97,090 "," 	91,509 "," 	5,148 ", 	84 , 	123 , 	66 , 	160 
District - Sirmaur,Rural," 	84,317 "," 	78,883 "," 	5,021 ", 	75 , 	116 , 	65 , 	157 
District - Sirmaur,Urban," 	12,773 "," 	12,626 ", 	127 , 	9 , 	7 , 	1 , 	3 
District - Shimla,Total," 	180,770 "," 	172,754 "," 	6,707 ", 	149 , 	229 , 	527 , 	404 
District - Shimla,Rural," 	130,864 "," 	123,618 "," 	6,099 ", 	128 , 	200 , 	455 , 	364 
District - Shimla,Urban," 	49,906 "," 	49,136 ", 	608 , 	21 , 	29 , 	72 , 	40 
District - Kinnaur,Total," 	19,535 "," 	17,865 "," 	1,442 ", 	111 , 	20 , 	59 , 	38 
District - Kinnaur,Rural," 	19,535 "," 	17,865 "," 	1,442 ", 	111 , 	20 , 	59 , 	38 
District - Kinnaur,Urban, 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
STATE - JAMMU & KASHMIR,Total," 	2,015,088 "," 	1,715,557 "," 	195,290 "," 	20,813 "," 	4,285 "," 	39,778 "," 	39,365 "
STATE - JAMMU & KASHMIR,Rural," 	1,497,920 "," 	1,208,527 "," 	189,124 "," 	20,260 "," 	3,969 "," 	37,710 "," 	38,330 "
STATE - JAMMU & KASHMIR,Urban," 	517,168 "," 	507,030 "," 	6,166 ", 	553 , 	316 ," 	2,068 "," 	1,035 "
District - Kupwara,Total," 	106,777 "," 	83,071 "," 	11,092 "," 	2,968 "," 	1,224 "," 	5,109 "," 	3,313 "
District - Kupwara,Rural," 	96,737 "," 	74,011 "," 	10,767 "," 	2,939 "," 	1,121 "," 	4,759 "," 	3,140 "
District - Kupwara,Urban," 	10,040 "," 	9,060 ", 	325 , 	29 , 	103 , 	350 , 	173 
District - Badgam,Total," 	99,219 "," 	90,190 "," 	5,979 "," 	1,403 ", 	97 ," 	1,150 ", 	400 
District - Badgam,Rural," 	86,083 "," 	77,328 "," 	5,752 "," 	1,394 ", 	87 ," 	1,144 ", 	378 
District - Badgam,Urban," 	13,136 "," 	12,862 ", 	227 , 	9 , 	10 , 	6 , 	22 
District - Leh (ladakh),Total," 	20,777 "," 	17,250 ", 	734 ," 	2,645 ", 	16 , 	52 , 	80 
District - Leh (ladakh),Rural," 	14,590 "," 	11,130 ", 	708 ," 	2,623 ", 	15 , 	45 , 	69 
District - Leh (ladakh),Urban," 	6,187 "," 	6,120 ", 	26 , 	22 , 	1 , 	7 , 	11 
District - Kargil,Total," 	18,212 "," 	15,824 ", 	525 ," 	1,811 ", 	10 , 	8 , 	34 
District - Kargil,Rural," 	15,442 "," 	13,068 ", 	514 ," 	1,810 ", 	8 , 	8 , 	34 
District - Kargil,Urban," 	2,770 "," 	2,756 ", 	11 , 	1 , 	2 , 	-00 , 	-00 
District - Punch,Total," 	88,878 "," 	62,900 "," 	19,258 ", 	236 , 	215 ," 	1,690 "," 	4,579 "
District - Punch,Rural," 	81,670 "," 	55,857 "," 	19,213 ", 	234 , 	207 ," 	1,689 "," 	4,470 "
District - Punch,Urban," 	7,208 "," 	7,043 ", 	45 , 	2 , 	8 , 	1 , 	109 
District - Rajouri,Total," 	124,000 "," 	96,012 "," 	21,625 ", 	401 , 	313 ," 	1,183 "," 	4,466 "
District - Rajouri,Rural," 	117,183 "," 	89,328 "," 	21,528 ", 	387 , 	313 ," 	1,181 "," 	4,446 "
District - Rajouri,Urban," 	6,817 "," 	6,684 ", 	97 , 	14 , 	-00 , 	2 , 	20 
District - Kathua,Total," 	117,836 "," 	109,422 "," 	7,370 ", 	93 , 	90 , 	76 , 	785 
District - Kathua,Rural," 	100,283 "," 	92,022 "," 	7,252 ", 	93 , 	62 , 	74 , 	780 
District - Kathua,Urban," 	17,553 "," 	17,400 ", 	118 , 	-00 , 	28 , 	2 , 	5 
District - Baramula,Total," 	145,990 "," 	138,180 "," 	4,491 ", 	330 , 	124 ," 	1,691 "," 	1,174 "
District - Baramula,Rural," 	119,791 "," 	112,637 "," 	4,044 ", 	301 , 	118 ," 	1,543 "," 	1,148 "
District - Baramula,Urban," 	26,199 "," 	25,543 ", 	447 , 	29 , 	6 , 	148 , 	26 
District - Bandipore,Total," 	56,794 "," 	45,469 "," 	5,843 "," 	2,004 ", 	225 ," 	1,160 "," 	2,093 "
District - Bandipore,Rural," 	47,620 "," 	36,709 "," 	5,500 "," 	1,995 ", 	219 ," 	1,123 "," 	2,074 "
District - Bandipore,Urban," 	9,174 "," 	8,760 ", 	343 , 	9 , 	6 , 	37 , 	19 
District - Srinagar,Total," 	167,448 "," 	165,403 ", 	562 , 	195 , 	42 , 	948 , 	298 
District - Srinagar,Rural," 	2,690 "," 	2,651 ", 	14 , 	-00 , 	-00 , 	2 , 	23 
District - Srinagar,Urban," 	164,758 "," 	162,752 ", 	548 , 	195 , 	42 , 	946 , 	275 
District - Ganderbal,Total," 	43,249 "," 	38,487 "," 	1,580 ", 	134 , 	128 ," 	1,775 "," 	1,145 "
District - Ganderbal,Rural," 	36,626 "," 	32,150 "," 	1,522 ", 	129 , 	126 ," 	1,608 "," 	1,091 "
District - Ganderbal,Urban," 	6,623 "," 	6,337 ", 	58 , 	5 , 	2 , 	167 , 	54 
District - Pulwama,Total," 	81,241 "," 	73,629 "," 	4,192 ", 	495 , 	99 ," 	2,347 ", 	479 
District - Pulwama,Rural," 	71,063 "," 	63,682 "," 	4,093 ", 	487 , 	97 ," 	2,229 ", 	475 
District - Pulwama,Urban," 	10,178 "," 	9,947 ", 	99 , 	8 , 	2 , 	118 , 	4 
District - Shupiyan,Total," 	41,947 "," 	35,282 "," 	4,747 ", 	356 , 	76 ," 	1,053 ", 	433 
District - Shupiyan,Rural," 	39,486 "," 	32,827 "," 	4,744 ", 	356 , 	76 ," 	1,050 ", 	433 
District - Shupiyan,Urban," 	2,461 "," 	2,455 ", 	3 , 	-00 , 	-00 , 	3 , 	-00 
District - Anantnag,Total," 	142,987 "," 	114,899 "," 	19,691 ", 	407 , 	361 ," 	4,964 "," 	2,665 "
District - Anantnag,Rural," 	109,465 "," 	82,740 "," 	18,672 ", 	351 , 	313 ," 	4,777 "," 	2,612 "
District - Anantnag,Urban," 	33,522 "," 	32,159 "," 	1,019 ", 	56 , 	48 , 	187 , 	53 
District - Kulgam,Total," 	69,203 "," 	47,913 "," 	18,608 "," 	1,043 ", 	78 ," 	1,093 ", 	468 
District - Kulgam,Rural," 	56,316 "," 	36,078 "," 	17,625 "," 	1,018 ", 	71 ," 	1,081 ", 	443 
District - Kulgam,Urban," 	12,887 "," 	11,835 ", 	983 , 	25 , 	7 , 	12 , 	25 
District - Doda,Total," 	78,620 "," 	61,831 "," 	8,400 ", 	654 , 	198 ," 	3,519 "," 	4,018 "
District - Doda,Rural," 	72,580 "," 	55,848 "," 	8,362 ", 	651 , 	196 ," 	3,518 "," 	4,005 "
District - Doda,Urban," 	6,040 "," 	5,983 ", 	38 , 	3 , 	2 , 	1 , 	13 
District - Ramban,Total," 	54,206 "," 	34,243 "," 	14,576 ", 	196 , 	184 ," 	2,125 "," 	2,882 "
District - Ramban,Rural," 	52,261 "," 	32,319 "," 	14,558 ", 	196 , 	183 ," 	2,125 "," 	2,880 "
District - Ramban,Urban," 	1,945 "," 	1,924 ", 	18 , 	-00 , 	1 , 	-00 , 	2 
District - Kishtwar,Total," 	44,517 "," 	24,067 "," 	6,157 "," 	4,564 ", 	406 ," 	4,508 "," 	4,815 "
District - Kishtwar,Rural," 	41,968 "," 	21,539 "," 	6,137 "," 	4,564 ", 	406 ," 	4,507 "," 	4,815 "
District - Kishtwar,Urban," 	2,549 "," 	2,528 ", 	20 , 	-00 , 	-00 , 	1 , 	-00 
District - Udhampur,Total," 	93,562 "," 	73,999 "," 	14,283 ", 	165 , 	202 ," 	2,771 "," 	2,142 "
District - Udhampur,Rural," 	77,104 "," 	57,792 "," 	14,080 ", 	156 , 	195 ," 	2,753 "," 	2,128 "
District - Udhampur,Urban," 	16,458 "," 	16,207 ", 	203 , 	9 , 	7 , 	18 , 	14 
District - Reasi,Total," 	54,792 "," 	31,588 "," 	18,469 ", 	298 , 	72 ," 	2,077 "," 	2,288 "
District - Reasi,Rural," 	49,914 "," 	26,894 "," 	18,296 ", 	298 , 	72 ," 	2,077 "," 	2,277 "
District - Reasi,Urban," 	4,878 "," 	4,694 ", 	173 , 	-00 , 	-00 , 	-00 , 	11 
District - Jammu,Total," 	302,016 "," 	294,739 "," 	5,677 ", 	356 , 	103 , 	431 , 	710 
District - Jammu,Rural," 	155,851 "," 	150,235 "," 	4,424 ", 	247 , 	62 , 	370 , 	513 
District - Jammu,Urban," 	146,165 "," 	144,504 "," 	1,253 ", 	109 , 	41 , 	61 , 	197 
District - Samba,Total," 	62,817 "," 	61,159 "," 	1,431 ", 	59 , 	22 , 	48 , 	98 
District - Samba,Rural," 	53,197 "," 	51,682 "," 	1,319 ", 	31 , 	22 , 	47 , 	96 
District - Samba,Urban," 	9,620 "," 	9,477 ", 	112 , 	28 , 	-00 , 	1 , 	2 
STATE - JHARKHAND,Total," 	6,181,607 "," 	2,829,867 "," 	3,284,079 "," 	44,919 "," 	13,634 "," 	5,258 "," 	3,850 "
STATE - JHARKHAND,Rural," 	4,685,965 "," 	1,514,050 "," 	3,113,279 "," 	41,723 "," 	11,258 "," 	3,574 "," 	2,081 "
STATE - JHARKHAND,Urban," 	1,495,642 "," 	1,315,817 "," 	170,800 "," 	3,196 "," 	2,376 "," 	1,684 "," 	1,769 "
District - Garhwa,Total," 	254,710 "," 	29,373 "," 	222,916 "," 	1,973 ", 	300 , 	103 , 	45 
District - Garhwa,Rural," 	241,497 "," 	21,027 "," 	218,094 "," 	1,951 ", 	290 , 	99 , 	36 
District - Garhwa,Urban," 	13,213 "," 	8,346 "," 	4,822 ", 	22 , 	10 , 	4 , 	9 
District - Chatra,Total," 	180,912 "," 	27,037 "," 	151,457 "," 	1,762 ", 	505 , 	99 , 	52 
District - Chatra,Rural," 	170,239 "," 	19,196 "," 	148,659 "," 	1,745 ", 	492 , 	97 , 	50 
District - Chatra,Urban," 	10,673 "," 	7,841 "," 	2,798 ", 	17 , 	13 , 	2 , 	2 
District - Kodarma,Total," 	114,060 "," 	62,318 "," 	50,748 ", 	340 , 	386 , 	132 , 	136 
District - Kodarma,Rural," 	90,207 "," 	41,961 "," 	47,338 ", 	326 , 	330 , 	124 , 	128 
District - Kodarma,Urban," 	23,853 "," 	20,357 "," 	3,410 ", 	14 , 	56 , 	8 , 	8 
District - Giridih,Total," 	391,448 "," 	125,431 "," 	261,699 "," 	2,826 "," 	1,051 ", 	250 , 	191 
District - Giridih,Rural," 	356,247 "," 	95,872 "," 	256,334 "," 	2,763 ", 	959 , 	215 , 	104 
District - Giridih,Urban," 	35,201 "," 	29,559 "," 	5,365 ", 	63 , 	92 , 	35 , 	87 
District - Deoghar,Total," 	260,316 "," 	130,193 "," 	128,716 ", 	789 , 	339 , 	212 , 	67 
District - Deoghar,Rural," 	214,896 "," 	89,935 "," 	123,780 ", 	717 , 	234 , 	182 , 	48 
District - Deoghar,Urban," 	45,420 "," 	40,258 "," 	4,936 ", 	72 , 	105 , 	30 , 	19 
District - Godda,Total," 	251,018 "," 	43,230 "," 	205,218 "," 	1,361 ", 	726 , 	428 , 	55 
District - Godda,Rural," 	239,500 "," 	34,249 "," 	202,756 "," 	1,334 ", 	685 , 	424 , 	52 
District - Godda,Urban," 	11,518 "," 	8,981 "," 	2,462 ", 	27 , 	41 , 	4 , 	3 
District - Sahibganj,Total," 	224,517 "," 	34,879 "," 	187,703 "," 	1,043 ", 	599 , 	212 , 	81 
District - Sahibganj,Rural," 	193,809 "," 	16,515 "," 	175,523 ", 	972 , 	553 , 	177 , 	69 
District - Sahibganj,Urban," 	30,708 "," 	18,364 "," 	12,180 ", 	71 , 	46 , 	35 , 	12 
District - Pakur,Total," 	180,578 "," 	31,414 "," 	148,175 ", 	551 , 	245 , 	108 , 	85 
District - Pakur,Rural," 	167,362 "," 	22,444 "," 	144,011 ", 	545 , 	234 , 	106 , 	22 
District - Pakur,Urban," 	13,216 "," 	8,970 "," 	4,164 ", 	6 , 	11 , 	2 , 	63 
District - Dhanbad,Total," 	499,179 "," 	427,173 "," 	68,537 "," 	1,689 ", 	753 , 	504 , 	523 
District - Dhanbad,Rural," 	207,157 "," 	153,837 "," 	51,985 ", 	627 , 	428 , 	113 , 	167 
District - Dhanbad,Urban," 	292,022 "," 	273,336 "," 	16,552 "," 	1,062 ", 	325 , 	391 , 	356 
District - Bokaro,Total," 	391,438 "," 	274,726 "," 	112,539 "," 	2,268 "," 	1,312 ", 	447 , 	146 
District - Bokaro,Rural," 	204,021 "," 	110,216 "," 	90,896 "," 	1,802 ", 	970 , 	96 , 	41 
District - Bokaro,Urban," 	187,417 "," 	164,510 "," 	21,643 ", 	466 , 	342 , 	351 , 	105 
District - Lohardaga,Total," 	91,302 "," 	28,769 "," 	61,875 ", 	239 , 	353 , 	50 , 	16 
District - Lohardaga,Rural," 	80,295 "," 	20,009 "," 	59,659 ", 	234 , 	336 , 	44 , 	13 
District - Lohardaga,Urban," 	11,007 "," 	8,760 "," 	2,216 ", 	5 , 	17 , 	6 , 	3 
District - Purbi Singhbhum,Total," 	469,702 "," 	382,507 "," 	85,273 ", 	729 , 	437 , 	193 , 	563 
District - Purbi Singhbhum,Rural," 	215,676 "," 	146,987 "," 	68,012 ", 	361 , 	125 , 	49 , 	142 
District - Purbi Singhbhum,Urban," 	254,026 "," 	235,520 "," 	17,261 ", 	368 , 	312 , 	144 , 	421 
District - Palamu,Total," 	355,515 "," 	68,238 "," 	283,967 "," 	1,551 ", 	990 , 	362 , 	407 
District - Palamu,Rural," 	316,135 "," 	41,155 "," 	272,061 "," 	1,485 ", 	944 , 	260 , 	230 
District - Palamu,Urban," 	39,380 "," 	27,083 "," 	11,906 ", 	66 , 	46 , 	102 , 	177 
District - Latehar,Total," 	132,685 "," 	38,194 "," 	91,094 "," 	2,498 ", 	469 , 	239 , 	191 
District - Latehar,Rural," 	122,902 "," 	31,449 "," 	88,211 "," 	2,480 ", 	455 , 	193 , 	114 
District - Latehar,Urban," 	9,783 "," 	6,745 "," 	2,883 ", 	18 , 	14 , 	46 , 	77 
District - Hazaribagh,Total," 	301,227 "," 	176,888 "," 	122,163 "," 	1,011 ", 	733 , 	271 , 	161 
District - Hazaribagh,Rural," 	252,871 "," 	132,695 "," 	118,263 ", 	907 , 	648 , 	254 , 	104 
District - Hazaribagh,Urban," 	48,356 "," 	44,193 "," 	3,900 ", 	104 , 	85 , 	17 , 	57 
District - Ramgarh,Total," 	177,197 "," 	149,265 "," 	27,111 ", 	334 , 	288 , 	132 , 	67 
District - Ramgarh,Rural," 	97,889 "," 	75,611 "," 	21,781 ", 	241 , 	183 , 	46 , 	27 
District - Ramgarh,Urban," 	79,308 "," 	73,654 "," 	5,330 ", 	93 , 	105 , 	86 , 	40 
District - Dumka,Total," 	272,925 "," 	62,110 "," 	208,586 "," 	1,055 ", 	690 , 	324 , 	160 
District - Dumka,Rural," 	255,926 "," 	48,227 "," 	205,543 "," 	1,022 ", 	664 , 	321 , 	149 
District - Dumka,Urban," 	16,999 "," 	13,883 "," 	3,043 ", 	33 , 	26 , 	3 , 	11 
District - Jamtara,Total," 	150,103 "," 	49,419 "," 	99,961 ", 	316 , 	148 , 	202 , 	57 
District - Jamtara,Rural," 	135,540 "," 	37,315 "," 	97,563 ", 	301 , 	122 , 	199 , 	40 
District - Jamtara,Urban," 	14,563 "," 	12,104 "," 	2,398 ", 	15 , 	26 , 	3 , 	17 
District - Ranchi,Total," 	556,789 "," 	350,908 "," 	201,601 "," 	1,744 "," 	1,491 ", 	517 , 	528 
District - Ranchi,Rural," 	322,679 "," 	139,416 "," 	180,372 "," 	1,336 ", 	983 , 	253 , 	319 
District - Ranchi,Urban," 	234,110 "," 	211,492 "," 	21,229 ", 	408 , 	508 , 	264 , 	209 
District - Khunti,Total," 	102,654 "," 	29,157 "," 	68,974 "," 	4,142 ", 	310 , 	51 , 	20 
District - Khunti,Rural," 	93,762 "," 	22,098 "," 	67,194 "," 	4,117 ", 	294 , 	46 , 	13 
District - Khunti,Urban," 	8,892 "," 	7,059 "," 	1,780 ", 	25 , 	16 , 	5 , 	7 
District - Gumla,Total," 	188,849 "," 	31,687 "," 	155,295 "," 	1,006 ", 	759 , 	37 , 	65 
District - Gumla,Rural," 	176,770 "," 	22,226 "," 	152,763 ", 	934 , 	753 , 	33 , 	61 
District - Gumla,Urban," 	12,079 "," 	9,461 "," 	2,532 ", 	72 , 	6 , 	4 , 	4 
District - Simdega,Total," 	116,606 "," 	16,865 "," 	98,853 ", 	728 , 	85 , 	54 , 	21 
District - Simdega,Rural," 	108,683 "," 	11,520 "," 	96,333 ", 	692 , 	72 , 	47 , 	19 
District - Simdega,Urban," 	7,923 "," 	5,345 "," 	2,520 ", 	36 , 	13 , 	7 , 	2 
District - Pashchimi Singhbhum,Total," 	299,883 "," 	121,955 "," 	166,199 "," 	10,919 ", 	416 , 	237 , 	157 
District - Pashchimi Singhbhum,Rural," 	256,019 "," 	87,673 "," 	156,904 "," 	10,843 ", 	352 , 	134 , 	113 
District - Pashchimi Singhbhum,Urban," 	43,864 "," 	34,282 "," 	9,295 ", 	76 , 	64 , 	103 , 	44 
District - Saraikela-kharsawan,Total," 	217,994 "," 	138,131 "," 	75,419 "," 	4,045 ", 	249 , 	94 , 	56 
District - Saraikela-kharsawan,Rural," 	165,883 "," 	92,417 "," 	69,244 "," 	3,988 ", 	152 , 	62 , 	20 
District - Saraikela-kharsawan,Urban," 	52,111 "," 	45,714 "," 	6,175 ", 	57 , 	97 , 	32 , 	36 
STATE - KARNATAKA,Total," 	13,179,911 "," 	11,945,467 "," 	1,128,659 "," 	25,080 "," 	18,188 "," 	8,753 "," 	53,764 "
